出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/04/11","111/3","1101","台泥","水泥工業","9971650","5456068","9779716","82.76256820846075","1.9625723282761995","22945614","22037652","4.120048723884015","以上營收不包含停業部門營收:111年3月 0 仟元暨110年3月1,367,351仟元；111年1-3月 0 仟元暨110年1-3月2,242,525仟元"
"114/04/11","111/3","1102","亞泥","水泥工業","8160414","4100676","7006606","99.00167679670376","16.46743087880209","19681816","17893141","9.9964282402961","-"
"114/04/11","111/3","1103","嘉泥","水泥工業","220463","134062","203954","64.44853873580881","8.094472282965766","512577","544527","-5.867477645736575","-"
"114/04/11","111/3","1104","環泥","水泥工業","591593","348338","575019","69.83303572966487","2.8823395400847622","1532253","1440498","6.36967215504638","-"
"114/04/11","111/3","1108","幸福","水泥工業","345612","210635","349527","64.08099318726707","-1.1200851436369723","880911","1045953","-15.779102885120077","-"
"114/04/11","111/3","1109","信大","水泥工業","490643","181644","882786","170.1124176961529","-44.42107147145514","1239184","1812351","-31.625606739533346","-"
"114/04/11","111/3","1110","東泥","水泥工業","178972","97391","146368","83.76646712735263","22.275360734586794","443221","387342","14.426269291737018","-"
"114/04/11","111/3","1201","味全","食品工業","1589975","1291903","1507135","23.07232044511082","5.496521545846922","4550665","4369688","4.141645810867962","-"
"114/04/11","111/3","1203","味王","食品工業","517118","453678","500102","13.983486084844317","3.402505888798685","1534896","1487992","3.1521674847714234","-"
"114/04/11","111/3","1210","大成","食品工業","8558697","7516358","8072006","13.86760715761543","6.029368660033206","26031973","22372328","16.357908752276472","-"
"114/04/11","111/3","1213","大飲","食品工業","30575","24520","30196","24.694127243066884","1.2551331302159225","100928","102266","-1.3083527272016116","-"
"114/04/11","111/3","1215","卜蜂","食品工業","2477639","2048952","2030023","20.92225684154631","22.04979943576994","7199414","5718985","25.8862193203864","-"
"114/04/11","111/3","1216","統一","食品工業","42112136","34113196","38463882","23.44822806986481","9.484882467141512","124274817","115428161","7.664209429794173","-"
"114/04/11","111/3","1217","愛之味","食品工業","385888","312887","367154","23.331426361593802","5.102491052800732","1141588","1095839","4.174792099934388","-"
"114/04/11","111/3","1218","泰山","食品工業","927607","744482","799575","24.597639701161345","16.01250664415471","2650681","2274492","16.53947342967133","-"
"114/04/11","111/3","1219","福壽","食品工業","1651054","1130681","1257299","46.02297199652245","31.317530674883223","4214902","3718059","13.3629670750249","-"
"114/04/11","111/3","1220","台榮","食品工業","285720","207781","269619","37.510166954630115","5.971760150434502","816490","708760","15.199785540944749","-"
"114/04/11","111/3","1225","福懋油","食品工業","1279502","934637","1125109","36.89828243478484","13.722492665155109","3505862","3095539","13.25530061162208","-"
"114/04/11","111/3","1227","佳格","食品工業","2249275","1311370","1938626","71.52100475075684","16.024184138663156","6730455","8264616","-18.563004016157556","-"
"114/04/11","111/3","1229","聯華","食品工業","1081223","643594","864164","67.99768176831978","25.11780171356363","2598567","2225293","16.774150639938203","-"
"114/04/11","111/3","1231","聯華食","食品工業","810325","689899","705431","17.455598573124472","14.869491133789131","2524332","2373553","6.352459793398336","-"
"114/04/11","111/3","1232","大統益","食品工業","2167843","1467011","1805442","47.77278425315148","20.072702418576725","5698170","4842731","17.664392261308752","-"
"114/04/11","111/3","1233","天仁","食品工業","138421","131798","148313","5.0251141898966605","-6.669678315454478","458342","482671","-5.04049342098448","-"
