出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/02/23","110/11","1240","茂生農經","農業科技","264170","293671","192888","-10.045595240932881","36.95512421716229","2704984","2045074","32.26826999903182","-"
"114/02/23","110/11","1259","安心","觀光餐旅","423554","462531","435750","-8.426894629765357","-2.7988525530694206","4586887","4904805","-6.481766349528677","-"
"114/02/23","110/11","1264","德麥","食品工業","478574","376190","399682","27.21603445067652","19.738692260346976","4365474","3875511","12.642539267724953","-"
"114/02/23","110/11","1268","漢來美食","觀光餐旅","312488","284966","310479","9.657994287037752","0.6470646968071915","2550540","3102523","-17.79142330290541","-"
"114/02/23","110/11","1294","漢田生技","食品工業","14888","19298","22488","-22.85210902684216","-33.795802205620774","218057","235868","-7.551257482998966","-"
"114/02/23","110/11","1336","台翰","電子零組件業","203362","207467","178490","-1.978627926369013","13.934674211440417","1908195","1729977","10.301755456864456","-"
"114/02/23","110/11","1565","精華","生技醫療業","503424","417506","463464","20.578865932465643","8.62202889544819","4995073","4498401","11.041078818895869","-"
"114/02/23","110/11","1569","濱川","電腦及週邊設備業","525781","511846","402071","2.7224985640212096","30.768197656632783","4360444","4518330","-3.494344149276392","-"
"114/02/23","110/11","1570","力肯","電機機械","62112","60964","47361","1.8830785381536645","31.145879521124975","624603","503662","24.012333668214","-"
"114/02/23","110/11","1580","新麥","電機機械","439077","341612","327093","28.530906408439986","34.23613467729361","3883525","2888589","34.443667825363875","-"
"114/02/23","110/11","1584","精剛","其他","127970","133784","62207","-4.345811158284997","105.71639847605574","978676","715537","36.775037489326195","110年11月營收增加，主要係因鎳基產品銷售增加所致。"
"114/02/23","110/11","1586","和勤","電機機械","237596","209880","236919","13.205641318848865","0.28575167040212057","2394539","2052813","16.64671842978391","合併營業收入係將母子公司及各子公司間重複營收部分消除後所得數字"
"114/02/23","110/11","1591","駿吉-KY","電機機械","40474","22900","57767","76.74235807860262","-29.935776481382103","531537","553957","-4.047245544329253","-"
"114/02/23","110/11","1593","祺驊","運動休閒","84992","87714","101123","-3.103267437353216","-15.951860605401343","1094765","775385","41.18986052090252","-"
"114/02/23","110/11","1595","川寶","電子零組件業","214620","253639","186355","-15.383675223447499","15.16728824018674","2218998","1550032","43.15820576607451","-"
"114/02/23","110/11","1599","宏佳騰","電機機械","322249","284481","337206","13.276106312899632","-4.435567575903157","3226979","2889454","11.681272655664356","-"
"114/02/23","110/11","1742","台蠟","化學工業","27602","21029","12078","31.25683579818346","128.53121377711543","458035","301868","51.73353916281288","本期營收較去年同期增加，係水產部份較去年同期增加"
"114/02/23","110/11","1777","生泰","生技醫療業","51281","31319","86709","63.7376672307545","-40.85850373086992","693694","921246","-24.700460029134454","-"
"114/02/23","110/11","1781","合世","生技醫療業","84934","75257","80921","12.8586045151946","4.959157697013136","742451","712271","4.237151308982115","-"
"114/02/23","110/11","1784","訊聯","生技醫療業","72632","67499","70952","7.604557104549697","2.367797947908445","842425","725175","16.168511049057123","-"
"114/02/23","110/11","1785","光洋科","其他電子業","2441058","2607310","2460482","-6.376380253978238","-0.7894388172723881","28338581","23996388","18.095194160054422","-"
"114/02/23","110/11","1788","杏昌","生技醫療業","291257","287740","264577","1.2222840063946618","10.084020908846952","3360710","3107628","8.143896244981702","-"
"114/02/23","110/11","1796","金穎生技","食品工業","49196","43131","39466","14.061811689967772","24.654132671159985","461054","328203","40.47830153898654","-"
"114/02/23","110/11","1799","易威","生技醫療業","20479","9312","21320","119.92053264604812","-3.944652908067542","189969","233101","-18.503567123264165","-"
"114/02/23","110/11","1813","寶利徠","生技醫療業","33933","36817","41186","-7.833337860227612","-17.610353032583888","416665","405203","2.8287056117550957","-"
"114/02/23","110/11","1815","富喬","電子零組件業","422936","421662","320364","0.3021377311685663","32.01733028679877","4838628","3021757","60.12631061994727","產業需求回升，價量較去年同期大幅成長，致本月營收較去年同期增加32.02%。"
"114/02/23","110/11","2035","唐榮公司","鋼鐵工業","1545990","1668664","848353","-7.351629806839483","82.2342821914934","15572324","9973069","56.14375073510471","受惠於國際鎳價持續上漲，市場需求提升，本期銷售單價及銷售數量均較去年同期明顯增加。"
"114/02/23","110/11","2061","風青","電器電纜","70316","80008","81826","-12.113788621137886","-14.066433651895485","879869","675834","30.190105854396197","-"
"114/02/23","110/11","2063","世鎧","鋼鐵工業","124981","148571","91043","-15.877930417106972","37.27689113935173","1307118","948805","37.76466186413436","-"
"114/02/23","110/11","2064","晉椿","鋼鐵工業","222373","211011","170666","5.3845534119074365","30.297188660893205","2480474","1491702","66.2848209629001","主要係市場回溫訂單上升"
"114/02/23","110/11","2065","世豐","鋼鐵工業","243155","247243","228898","-1.653434070934263","6.228538475652911","2604492","1999144","30.280359994077465","-"
"114/02/23","110/11","2066","世德","電機機械","200039","190101","174112","5.227747355353207","14.890989707774306","2113036","1831707","15.358842871703827","-"
"114/02/23","110/11","2067","嘉鋼","電機機械","88571","102069","76011","-13.224387424193438","16.523924168870295","912811","649795","40.476765749197824","11011及10911自結數"
"114/02/23","110/11","2070","精湛","電機機械","52411","57611","54117","-9.026054052177535","-3.152428996433653","533820","405602","31.611777062243284","-"
