出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/04/10","110/12","1101","台泥","水泥工業","10821264","9752687","10106165","10.956744536146807","7.075869036375321","107044614","105911461","1.0699059283111958","以上營收不包含停業部門營收:110年12月 0 仟元暨109年12月826,870仟元；110年1-12月8,113,370仟元暨109年1-12月8,453,624仟元"
"114/04/10","110/12","1102","亞泥","水泥工業","9403723","8985672","8320877","4.652417760185326","13.013604215036468","89654713","78241985","14.586449973118652","-"
"114/04/10","110/12","1103","嘉泥","水泥工業","171518","197773","200989","-13.275320695949397","-14.662991506997896","2217656","2057081","7.805963887664122","-"
"114/04/10","110/12","1104","環泥","水泥工業","569625","592281","555150","-3.8252113439397855","2.6074034044852743","6079074","5426099","12.033967681017247","-"
"114/04/10","110/12","1108","幸福","水泥工業","319368","268037","388046","19.150714267060145","-17.698417197961067","3769145","4530172","-16.79907517860249","-"
"114/04/10","110/12","1109","信大","水泥工業","777783","781722","852626","-0.5038875712849324","-8.77794015195408","7378229","7574940","-2.5968654537197655","-"
"114/04/10","110/12","1110","東泥","水泥工業","184874","160698","160628","15.044368940497082","15.094504071519287","1840595","1590987","15.688877407546384","-"
"114/04/10","110/12","1201","味全","食品工業","1614562","1636605","1472723","-1.3468735583723623","9.631071151873096","19816447","18657684","6.2106475809109","-"
"114/04/10","110/12","1203","味王","食品工業","507831","388602","519264","30.681519909830623","-2.2017701978184507","5817509","6027250","-3.4798788834045378","-"
"114/04/10","110/12","1210","大成","食品工業","9224406","8855770","8214226","4.162664567846726","12.297932878885971","101597703","80528084","26.164311819464125","-"
"114/04/10","110/12","1213","大飲","食品工業","31545","35048","31241","-9.994864186258845","0.973080247111168","428881","409605","4.705997241244614","-"
"114/04/10","110/12","1215","卜蜂","食品工業","2438193","2255138","2057868","8.117241605613492","18.481506102432228","24841345","22189635","11.950219100043782","-"
"114/04/10","110/12","1216","統一","食品工業","37291418","39352262","34159430","-5.236913700157821","9.168736129379209","473494402","447293289","5.857703132228304","-"
