出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/02/21","106/11","1240","茂生農經","農業科技","127804","116302","125733","9.889769737407784","1.6471411642130547","1285995","1149838","11.841407224322035","-"
"114/02/21","106/11","1259","安心","觀光餐旅","387638","426481","364606","-9.107791437367666","6.316955837259946","4511782","4281966","5.367067370455533","-"
"114/02/21","106/11","1264","德麥","食品工業","328718","287366","326095","14.39001134441792","0.8043668256183014","3308157","3391338","-2.4527487381086757","-"
"114/02/21","106/11","1268","漢來美食","觀光餐旅","257757","309874","235499","-16.81877150067447","9.45142017588185","3042333","2857104","6.4831031702031146","-"
"114/02/21","106/11","1336","台翰","電子零組件業","220129","216358","183515","1.74294456410209","19.951502601967142","2084209","1618940","28.739113246939354","-"
"114/02/21","106/11","1565","精華","生技醫療業","569106","522995","580677","8.81671908909263","-1.9926740683719175","5867585","5866413","0.019978136554654437","-"
"114/02/21","106/11","1569","濱川","電腦及週邊設備業","380676","330245","319187","15.27078381201835","19.264255749764246","3254766","2582583","26.02754683973371","-"
"114/02/21","106/11","1570","力肯","電機機械","45693","55243","74367","-17.28725811415021","-38.55742466416556","739943","651116","13.642269580228408","-"
"114/02/21","106/11","1580","新麥","電機機械","466671","377523","425749","23.613925509174276","9.611766557290798","4165065","3843679","8.36141623689179","-"
"114/02/21","106/11","1584","精剛","其他","64380","62863","62565","2.413184226015303","2.9009829777031886","896633","651729","37.577582093170626","-"
"114/02/21","106/11","1586","和勤","電機機械","210968","197685","189459","6.719275615246478","11.352852068257512","1995922","1735496","15.005854234178587","-"
"114/02/21","106/11","1591","駿吉-KY","電機機械","36863","32899","47760","12.048998449800905","-22.816164154103852","386461","490987","-21.28895469737488","-"
"114/02/21","106/11","1593","祺驊","運動休閒","75182","77501","71516","-2.992219455232836","5.12612562223838","762499","743032","2.619940998503429","-"
"114/02/21","106/11","1595","川寶","電子零組件業","125994","130791","62194","-3.667683556207996","102.58224266006367","1196668","696598","71.78745847676852","106年8月份起併入子公司寶虹之營收"
"114/02/21","106/11","1599","宏佳騰","電機機械","314254","376768","131250","-16.592173432987938","139.43161904761905","2308457","2377867","-2.919002618733512","主要客戶因調整產品結構,訂單延後"
"114/02/21","106/11","1742","台蠟","化學工業","26737","29397","42234","-9.04854236826887","-36.693185585073635","385207","576605","-33.19395426678575","-"
"114/02/21","106/11","1777","生泰","生技醫療業","52309","38164","72236","37.06372497641757","-27.58596821529431","638483","702967","-9.1731190795585","-"
"114/02/21","106/11","1781","合世","生技醫療業","33233","56126","56977","-40.7885828314863","-41.672955754076206","490694","569319","-13.810359394293885","-"
"114/02/21","106/11","1784","訊聯","生技醫療業","57659","70906","53663","-18.682481031224437","7.446471498052662","635169","618760","2.6519167366992047","-"
"114/02/21","106/11","1785","光洋科","其他電子業","2143075","1564053","1362808","37.020612472850985","57.25436011529137","14457782","23771893","-39.18119183861378","本月營收增加主係LBMA鑄錠出貨"
"114/02/21","106/11","1788","杏昌","生技醫療業","249356","241044","227079","3.4483330844161233","9.810242250494321","2702182","2560489","5.533825765312797","-"
"114/02/21","106/11","1796","金穎生技","食品工業","22463","21997","37677","2.118470700550075","-40.38007272341216","319621","425041","-24.80231318861004","-"
"114/02/21","106/11","1799","易威","生技醫療業","26162","24939","52882","4.90396567625005","-50.52758972807383","352762","302283","16.699252025419888","因105年上半年供應商產線調整而影響供貨，導致訂單延後，故去年本月營收較高。"
"114/02/21","106/11","1813","寶利徠","生技醫療業","29181","32669","24587","-10.67678839266583","18.684670760971244","370694","285545","29.819818242308568","-"
"114/02/21","106/11","1815","富喬","電子零組件業","318420","362823","382417","-12.238198791146097","-16.734873188168937","4439846","4384829","1.2547125554953227","-"
"114/02/21","106/11","2035","唐榮公司","鋼鐵工業","1610697","1573165","1561015","2.3857637310771596","3.1826728122407535","17628147","11212880","57.21337426245532","本年累計營收較上年同期累計增加57.21%，係因銷售量及售價都較上年同期同步明顯提升所致。"
"114/02/21","106/11","2061","風青","電器電纜","129934","123292","99209","5.3872108490413","30.969972482335272","1160911","831292","39.65141009416667","-"
"114/02/21","106/11","2063","世鎧","鋼鐵工業","66455","87424","63465","-23.98540446559297","4.711258173796581","850667","694989","22.40006676364662","-"
"114/02/21","106/11","2064","晉椿","鋼鐵工業","267322","215127","221887","24.26241243544511","20.476639009946503","2263739","1926859","17.48337579449249","-"
"114/02/21","106/11","2065","世豐","鋼鐵工業","80072","84277","93809","-4.989498914294529","-14.64358430427784","999151","1036495","-3.602911736187825","-"
"114/02/21","106/11","2066","世德","電機機械","114677","104938","110237","9.280718138329298","4.027685804221813","1215989","1158550","4.957835225065815","-"
"114/02/21","106/11","2067","嘉鋼","電機機械","123369","123769","114042","-0.32318270326172144","8.178565791550481","1128555","909258","24.118237068026897","10611及10511自結數"
"114/02/21","106/11","2070","精湛","電機機械","64196","60367","80480","6.342869448539765","-20.233598409542743","667312","706621","-5.562953832393886","-"
"114/02/21","106/11","2221","大甲","其他","97959","83344","130325","17.535755423305815","-24.83483598695569","833949","806125","3.451573887424407","-"
"114/02/21","106/11","2230","泰茂","電機機械","53397","44663","37134","19.55533663211159","43.795443528841496","489855","417303","17.385928210437022","-"
"114/02/21","106/11","2235","謚源","電機機械","61974","70603","76623","-12.22186026089543","-19.11828041188677","773148","827508","-6.569120781913891","-"
"114/02/21","106/11","2596","綠意","建材營造","58811","52570","351253","11.871789994293323","-83.25679780670913","958067","1201028","-20.229420130088556","本公司完工個案「中山一號」本月起開始交屋,致106年11月單月營收較105年同期減少"
