出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/04/10","110/2","1101","台泥","水泥工業","4536849","8596261","5000692","-47.22299613750676","-9.275576260245582","13133110","12502833","5.041073491103976","-"
"114/04/10","110/2","1102","亞泥","水泥工業","3450204","7436331","2851105","-53.60341006875568","21.01287044847524","10886535","8061424","35.04481342254172","-"
"114/04/10","110/2","1103","嘉泥","水泥工業","145091","195482","150813","-25.777820975844325","-3.7941026304098453","340573","315842","7.830180913241431","-"
"114/04/10","110/2","1104","環泥","水泥工業","354013","511466","414075","-30.784646486765492","-14.505101732777879","865479","774041","11.813069333536596","-"
"114/04/10","110/2","1108","幸福","水泥工業","279071","417355","390288","-33.13342358423884","-28.49613618661091","696426","686683","1.4188497458070173","-"
"114/04/10","110/2","1109","信大","水泥工業","190339","739226","199776","-74.25158206015482","-4.723790645522985","929565","676491","37.40981033007091","-"
"114/04/10","110/2","1110","東泥","水泥工業","103108","137866","115270","-25.21143719263633","-10.55088054133773","240974","241532","-0.2310252885745988","-"
"114/04/10","110/2","1201","味全","食品工業","1401435","1461118","1108658","-4.084748801944812","26.40823409924431","2862553","2550785","12.222433486162103","-"
"114/04/10","110/2","1203","味王","食品工業","442622","545268","502344","-18.824871439365598","-11.888665934100935","987890","1019043","-3.0570839503337934","-"
"114/04/10","110/2","1210","大成","食品工業","5817609","8480630","5847338","-31.401216654894743","-0.5084193867363235","14300322","12022872","18.942645318023846","-"
"114/04/10","110/2","1213","大飲","食品工業","39520","32550","23944","21.41321044546851","65.05178750417642","72070","55798","29.162335567583067","2月適逢農曆春節假期，消費需求增加及去年基期較低所致。"
"114/04/10","110/2","1215","卜蜂","食品工業","1651502","2037460","1643656","-18.94309581537797","0.47735049183040734","3688962","3329962","10.7809038061095","-"
"114/04/10","110/2","1216","統一","食品工業","31769464","45194815","30787526","-29.70551157251114","3.189402097459861","76964279","72316611","6.426833248587935","-"
"114/04/10","110/2","1217","愛之味","食品工業","317669","411016","302786","-22.71128131264963","4.91535275739301","728685","708194","2.8934162108122914","-"
"114/04/10","110/2","1218","泰山","食品工業","629161","845756","505641","-25.609632092471113","24.42839880468554","1474917","1242615","18.694607742542942","-"
"114/04/10","110/2","1219","福壽","食品工業","1134676","1326083","911889","-14.434013557220778","24.43137267803428","2460760","1928847","27.576733665241463","-"
"114/04/10","110/2","1220","台榮","食品工業","176717","262424","178161","-32.65974148705911","-0.810502859772902","439141","379672","15.663256705788154","-"
"114/04/10","110/2","1225","福懋油","食品工業","893451","1076979","785185","-17.041000799458484","13.788597591650376","1970430","1635262","20.496287445069964","-"
"114/04/10","110/2","1227","佳格","食品工業","1740003","4585987","1493010","-62.058265756095686","16.5432917395061","6325990","4424485","42.976866234149284","-"
"114/04/10","110/2","1229","聯華","食品工業","599791","761338","658504","-21.218827905608283","-8.91611896055301","1361129","1260914","7.947806115246559","-"
"114/04/10","110/2","1231","聯華食","食品工業","718678","949444","514965","-24.305382939910096","39.55861077937335","1668122","1398035","19.31904422993702","-"
"114/04/10","110/2","1232","大統益","食品工業","1377370","1659919","1229139","-17.021854680860933","12.059742632851126","3037289","2709066","12.115725493583398","-"
"114/04/10","110/2","1233","天仁","食品工業","163783","170575","147563","-3.9818261761688407","10.991915317525397","334358","371452","-9.986216254051667","-"
"114/04/10","110/2","1234","黑松","食品工業","646038","835074","524531","-22.637035759705128","23.164884439623208","1481112","1355866","9.237343513297036","-"
"114/04/10","110/2","1235","興泰","食品工業","979","1833","1285","-46.59028914348063","-23.813229571984436","2812","2635","6.717267552182163","-"
"114/04/10","110/2","1236","宏亞","食品工業","95806","329513","86037","-70.92497109370495","11.354417285586434","425319","294521","44.41041555610636","-"
"114/04/10","110/2","1256","鮮活果汁-KY","食品工業","173645","470300","20613","-63.07782266638316","742.405278222481","643945","219570","193.27549300906318","去年因受新冠疫情影響，2月出貨較少"
"114/04/10","110/2","1301","台塑","塑膠工業","16367396","19215607","12760661","-14.822383700915616","28.264484104702728","35583003","26618712","33.67665197324349","-"
"114/04/10","110/2","1303","南亞","塑膠工業","25991621","29346765","19999005","-11.432755876158753","29.964570737394187","55338386","42312700","30.784341344324517","-"
"114/04/10","110/2","1304","台聚","塑膠工業","4669544","5316928","3643881","-12.17590307786752","28.147543786418932","9986472","7201751","38.66727688863445","-"
"114/04/10","110/2","1305","華夏","塑膠工業","1551446","1603671","1269527","-3.25659065980491","22.20661711015205","3155117","2311543","36.49397826473486","-"
"114/04/10","110/2","1307","三芳","塑膠工業","706825","949887","833964","-25.588517371013605","-15.245142476174031","1656712","1582851","4.6663267736508365","-"
"114/04/10","110/2","1308","亞聚","塑膠工業","519823","653244","430415","-20.42437435322789","20.77251025173379","1173067","814139","44.08682055521231","-"
"114/04/10","110/2","1309","台達化","塑膠工業","1233649","1456463","890685","-15.298294567043584","38.50564453201749","2690112","1924579","39.776647256361","-"
"114/04/10","110/2","1310","台苯","塑膠工業","730574","730042","510293","0.07287251966325226","43.16755275890518","1460616","1278722","14.224671195146405","-"
"114/04/10","110/2","1312","國喬","塑膠工業","1660203","1739674","1028691","-4.568154723241251","61.38986342837645","3399877","2500632","35.960709132731246","係因本月產品 SM及ABS之數量及價格均較去年同月增加,尤以ABS數量較去年本月成長83%"
"114/04/10","110/2","1313","聯成","塑膠工業","3932791","5994488","1753579","-34.39321256460936","124.27224550476483","9923881","5127845","93.52927009299228","去年同期因新冠肺炎疫情延燒，石油價格重挫、大陸地區下游客戶延長復工、交通管制等影響，營收下滑。"
"114/04/10","110/2","1314","中石化","塑膠工業","1979742","2541752","1668882","-22.111126498572638","18.626841202673408","4521495","3732314","21.14455000302761","-"
"114/04/10","110/2","1315","達新","塑膠工業","170163","185347","160344","-8.192201654194564","6.12370902559497","355510","325759","9.132825186717788","-"
"114/04/10","110/2","1316","上曜","建材營造","44527","107981","38705","-58.764041822172416","15.041984239762305","152508","69068","120.80847860079922","本年度增加房地收入"
"114/04/10","110/2","1319","東陽","汽車工業","1342805","1486448","1624986","-9.663506560606224","-17.36513422269484","2829253","3184306","-11.150090474973197","-"
"114/04/10","110/2","1321","大洋","塑膠工業","437107","464301","343433","-5.8569764010846415","27.27577140228225","901401","700677","28.64715125514324","-"
"114/04/10","110/2","1323","永裕","塑膠工業","244003","279444","218708","-12.68268418717167","11.565649176070377","523447","456634","14.631630583793585","-"
"114/04/10","110/2","1324","地球","塑膠工業","58498","82015","101024","-28.67402304456502","-42.09494773519164","140513","177567","-20.867616167418497","-"
