出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/04/12","113/10","1240","茂生農經","農業科技","243146","217975","245925","11.547654547539855","-1.1300193148317577","2359340","2371277","-0.5033996450014064","-"
"114/04/12","113/10","1259","安心","觀光餐旅","496296","502555","505925","-1.2454358229447524","-1.9032465286356672","5069794","5032272","0.7456274223650868","-"
"114/04/12","113/10","1264","德麥","食品工業","519130","596871","458599","-13.024757443400668","13.199112950529766","5407727","4666406","15.886337365415697","-"
"114/04/12","113/10","1268","漢來美食","觀光餐旅","442164","519891","402771","-14.950633882871601","9.780495616615893","4868358","4012263","21.336961211166866","-"
"114/04/12","113/10","1294","漢田生技","食品工業","41765","50102","66959","-16.64005428924993","-37.6260099463851","637152","491707","29.57960736780237","-"
"114/04/12","113/10","1336","台翰","電子零組件業","252664","210433","190371","20.06862041599939","32.721895666882034","2115033","1953361","8.276606321105008","-"
"114/04/12","113/10","1565","精華","生技醫療業","413055","414850","371738","-0.43268651319754126","11.114548418509811","3733232","3631234","2.8089073852029367","-"
"114/04/12","113/10","1569","濱川","電腦及週邊設備業","256385","285532","284785","-10.207962680189961","-9.972435345962744","2495965","3063275","-18.51972153985522","-"
"114/04/12","113/10","1570","力肯","電機機械","48993","54937","24795","-10.819666163059505","97.59225650332728","626233","331119","89.12626578360046","新產品出貨,去年同期基期低"
"114/04/12","113/10","1580","新麥","電機機械","421050","412209","375983","2.1447857761475366","11.986446195705657","3835062","3681992","4.157260526367249","-"
"114/04/12","113/10","1584","精剛","其他","208837","202144","273357","3.3110060155136933","-23.602834388729757","2448863","2236355","9.50242694026664","-"
"114/04/12","113/10","1586","和勤","電機機械","197521","222481","226050","-11.218935549552546","-12.620659146206592","2114414","1839694","14.932918191829728","-"
"114/04/12","113/10","1591","駿吉-KY","電機機械","11170","13793","6338","-19.016892626694702","76.23856106027138","173919","59326","193.15814314128713","本期銷量增加所致"
"114/04/12","113/10","1593","祺驊","運動休閒","92983","83760","87937","11.011222540592168","5.738198937875979","889420","870075","2.223371548429733","-"
"114/04/12","113/10","1595","川寶","電子零組件業","74409","127794","128317","-41.774261702427346","-42.01158069468582","751570","1278448","-41.21231368033741","-"
"114/04/12","113/10","1599","宏佳騰","電機機械","246818","256296","170654","-3.6980678590379874","44.63065618151347","2054023","1838582","11.717780332886974","-"
"114/04/12","113/10","1742","台蠟","化學工業","18693","18003","27277","3.832694550908182","-31.469736407962753","203905","318662","-36.01213825307065","-"
"114/04/12","113/10","1777","生泰","生技醫療業","111275","106413","75329","4.568990630843976","47.71867408302248","1054668","918123","14.872190327439787","-"
"114/04/12","113/10","1781","合世","生技醫療業","60859","76162","33902","-20.09269714555815","79.51448292136158","606213","519647","16.658616329931665","本月營收較去年同期增加主要係因出貨量增加所致。"
"114/04/12","113/10","1784","訊聯","生技醫療業","96319","90963","93338","5.888108351747414","3.1937688829844224","987580","936078","5.501891936355731","-"
"114/04/12","113/10","1785","光洋科","其他電子業","2269000","2847120","1882916","-20.305431453539015","20.50457906778635","23801645","18429439","29.15013311040016","-"
"114/04/12","113/10","1788","杏昌","生技醫療業","336545","338157","314933","-0.4767016504168182","6.862412005093147","3407420","3228560","5.539931114800407","-"
