出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/04/10","111/5","1240","茂生農經","農業科技","292443","290585","237572","0.6393998313746408","23.096577037698044","1344600","1132388","18.74021978332515","-"
"114/04/10","111/5","1259","安心","觀光餐旅","475404","457469","404651","3.920484229532493","17.484943815781996","2271563","2123462","6.97450672533815","-"
"114/04/10","111/5","1264","德麥","食品工業","382058","448442","351555","-14.803252148549868","8.676593989560667","2046428","1953114","4.777703708027284","-"
"114/04/10","111/5","1268","漢來美食","觀光餐旅","143303","203488","171316","-29.576682654505426","-16.35165425295944","1383424","1485692","-6.883526329818024","-"
"114/04/10","111/5","1294","漢田生技","食品工業","21712","20306","22037","6.924061853639318","-1.4747923946090666","87439","105099","-16.80320459756991","-"
"114/04/10","111/5","1336","台翰","電子零組件業","203868","200544","183841","1.657491622786022","10.893652667250505","929749","747867","24.320099696871235","-"
"114/04/10","111/5","1565","精華","生技醫療業","384201","371717","440278","3.358468942770979","-12.736725432567605","2101680","2147102","-2.115502663590272","-"
"114/04/10","111/5","1569","濱川","電腦及週邊設備業","428843","436259","296170","-1.6999076236822621","44.79623189384475","2359920","1701805","38.67158693269793","-"
"114/04/10","111/5","1570","力肯","電機機械","70824","43253","59429","63.74355536032183","19.17414057110165","272607","261939","4.072703950156334","-"
"114/04/10","111/5","1580","新麥","電機機械","371223","295592","331926","25.58628109015129","11.839084615245566","1469422","1505942","-2.4250601948813433","-"
"114/04/10","111/5","1584","精剛","其他","131223","132880","69915","-1.2469897652016857","87.68933705213473","596689","323130","84.65911552625879","主要係因鎳基產品銷售增加所致。"
"114/04/10","111/5","1586","和勤","電機機械","176548","172468","208039","2.365656237678874","-15.137065646345157","1070316","1039958","2.919156350544926","合併營業收入係將母子公司及各子公司間重複營收部分消除後所得數字"
"114/04/10","111/5","1591","駿吉-KY","電機機械","68649","70732","54910","-2.944918848611661","25.02094336186487","317646","328675","-3.355594432189853","-"
"114/04/10","111/5","1593","祺驊","運動休閒","28980","51202","109194","-43.4006484121714","-73.46008022418815","250898","492798","-49.08704986627381","因客戶庫存尚未去化，導致訂單量減少。"
"114/04/10","111/5","1595","川寶","電子零組件業","162270","192211","170708","-15.577152192122199","-4.942943505869672","854432","822161","3.9251436154232566","-"
"114/04/10","111/5","1599","宏佳騰","電機機械","276384","259565","294811","6.479687168917227","-6.2504452004843785","1429891","1280727","11.646822468800924","-"
"114/04/10","111/5","1742","台蠟","化學工業","35961","32909","39458","9.274058768118143","-8.862588068325815","205071","161630","26.876817422508196","-"
"114/04/10","111/5","1777","生泰","生技醫療業","87240","75449","86175","15.627775053347294","1.23585726718886","358646","392878","-8.713137411613783","本公司於111/7/1發行新股取得母公司合成部門，屬集團內組織重組，依解釋函令視為自始合併，故追溯調整納入該部門對外營業收入。"
"114/04/10","111/5","1781","合世","生技醫療業","41304","44675","68987","-7.545607162842753","-40.12785017467059","232600","362094","-35.762536799836504","-"
"114/04/10","111/5","1784","訊聯","生技醫療業","82030","82096","69524","-0.08039368544143442","17.988032909498877","393862","383179","2.787992035054113","-"
"114/04/10","111/5","1785","光洋科","其他電子業","2613049","1704757","2352114","53.27985161521554","11.093637468251965","11953051","12229611","-2.261396539922652","-"
"114/04/10","111/5","1788","杏昌","生技醫療業","981653","316201","292056","210.4522123585947","236.11807324622674","2279736","1469881","55.09663707470197","因新增快篩試劑銷售業務，故本月及本年累計營業額較去年同期增加"
"114/04/10","111/5","1796","金穎生技","食品工業","52817","49112","40632","7.543981104414399","29.988678873794054","245840","194775","26.217430368373766","-"
"114/04/10","111/5","1799","易威","生技醫療業","9336","5222","26326","78.78207583301418","-64.53695965965206","49629","110555","-55.10922165438017","原料藥產品線因受加徵25%關稅影響，故該產品營收減少"
"114/04/10","111/5","1813","寶利徠","生技醫療業","33865","29161","38016","16.13113404890093","-10.9190867003367","153917","217370","-29.191240741592676","-"
"114/04/10","111/5","1815","富喬","電子零組件業","397780","503762","452806","-21.03810926588349","-12.152224131305681","2013393","2100533","-4.148470888103162","-"
"114/04/10","111/5","2035","唐榮公司","鋼鐵工業","1343096","1443303","1488655","-6.942894180916966","-9.777886750120075","6820816","5728741","19.06308908013122","-"
"114/04/10","111/5","2061","風青","電器電纜","64730","87241","87601","-25.8032347176213","-26.10814945034874","363145","400149","-9.247555285656093","-"
"114/04/10","111/5","2063","世鎧","鋼鐵工業","159513","137231","114580","16.23685610394153","39.21539535695584","615907","515591","19.456507192716707","-"
"114/04/10","111/5","2064","晉椿","鋼鐵工業","224272","208387","248612","7.622836357354346","-9.790356056827507","1074390","1030415","4.267697966353363","-"
"114/04/10","111/5","2065","世豐","鋼鐵工業","200859","212710","243895","-5.5714352874806075","-17.645298181594537","1064694","1220021","-12.731502162667692","-"
"114/04/10","111/5","2066","世德","電機機械","250045","230314","194104","8.56699983500786","28.82011705065326","1144960","983912","16.368130483213946","-"
"114/04/10","111/5","2067","嘉鋼","電機機械","115119","95596","76050","20.42240261098791","51.37278106508876","479466","396329","20.97676425394054","子公司因疫情收入遞延至本月"
"114/04/10","111/5","2070","精湛","電機機械","29233","46918","37989","-37.693422567031845","-23.048777277633","192259","244595","-21.397003209386945","-"
"114/04/10","111/5","2073","雄順","鋼鐵工業","52664","54036","56398","-2.5390480420460433","-6.620802156104826","252784","245051","3.1556696361165635","-"
"114/04/10","111/5","2221","大甲","其他","136665","141885","120105","-3.679035838883603","13.78793555638816","704394","502135","40.27980523166081","-"
"114/04/10","111/5","2230","泰茂","電機機械","31311","43174","49100","-27.477185343030527","-36.23014256619145","192514","251352","-23.408606257360194","因COVID-19影響大陸子公司營收，致增減百分比達50%"
"114/04/10","111/5","2235","謚源","電機機械","51170","66083","58483","-22.567074739342946","-12.504488483832908","303367","248713","21.974725888875934","-"
"114/04/10","111/5","2596","綠意","建材營造","4321","5268","228201","-17.976461655277145","-98.1064938365739","274816","246142","11.649373126081693","本公司「綠意東居A」建案尚未完工交屋,故111年5月單月營收較110年同期減少。"
"114/04/10","111/5","2640","大車隊","數位雲端","191285","196404","163037","-2.6063623958778845","17.32612842483608","1014169","867099","16.961154377989136","-"
"114/04/10","111/5","2641","正德","航運業","126555","121980","114225","3.750614854894245","10.794484569927775","619987","385170","60.96450917776566","全球散裝航運需求增加，換約租金調升及運費增加所致。"
"114/04/10","111/5","2643","捷迅","航運業","468094","492452","397943","-4.946268874936035","17.628404067919274","2242269","1819465","23.237819908599505","-"
"114/04/10","111/5","2718","全心投控","建材營造","10876","9934","4797","9.482585061405274","126.72503648113404","42860","23014","86.23446597723125","本公司營運轉型並自110年2月起開始認列營建收入,與去年同期差異主要因依各期完工進度不同致工程收入差異"
"114/04/10","111/5","2719","燦星旅","觀光餐旅","6153","4559","5580","34.96380785259925","10.268817204301076","16448","18480","-10.995670995670995","-"
"114/04/10","111/5","2724","藝舍-KY","觀光餐旅","4119","4218","5504","-2.3470839260312943","-25.163517441860463","20905","34872","-40.05219086946548","-"
"114/04/10","111/5","2726","雅茗-KY","觀光餐旅","50784","64715","127303","-21.526693965850267","-60.10777436509744","341301","683656","-50.07708555179798","本月營收較去年同期衰退60.11%，主要係大陸地區持續核酸檢疫及封城的管控下，各城市的店舖營運及貿易貨運受到影響之故。"
"114/04/10","111/5","2729","瓦城","觀光餐旅","261238","282172","302877","-7.41887926512907","-13.747825024679985","1749107","1972437","-11.322541607159062","-"
"114/04/10","111/5","2732","六角","觀光餐旅","320060","319598","300023","0.1445565992277799","6.678487982588002","1625256","1740768","-6.635691832570451","-"
"114/04/10","111/5","2734","易飛網","觀光餐旅","35945","35588","15383","1.003147128245476","133.66703503867907","110577","103964","6.360855680812589","因去年5月全國升三級警戒營收大減，故與本月相比增減達133.67%。"
"114/04/10","111/5","2736","富野","觀光餐旅","13809","36928","20529","-62.605610918544194","-32.734180914803446","225816","256410","-11.931671931671932","-"
"114/04/10","111/5","2740","天蔥","觀光餐旅","4040","4959","7281","-18.53196208913087","-44.51311633017443","34639","60461","-42.708522849440136","-"
"114/04/10","111/5","2743","山富","觀光餐旅","24674","18988","20106","29.94522856540973","22.719586193176166","108861","114715","-5.103081549928083","-"
"114/04/10","111/5","2745","五福","觀光餐旅","7284","13540","11833","-46.20384047267356","-38.44333643201217","48675","72168","-32.55320917858331","-"
"114/04/10","111/5","2751","王座","觀光餐旅","50888","58962","39290","-13.693565347172756","29.518961567828963","317959","343991","-7.567639851042615","-"
"114/04/10","111/5","2752","豆府","觀光餐旅","138374","151584","79435","-8.714640067553304","74.19777176307673","855813","763587","12.077995041822346","去年因疫情影響停止內用，營收大幅下滑"
"114/04/10","111/5","2754","亞洲藏壽司","觀光餐旅","221851","280744","111799","-20.977474140141908","98.43737421622734","1417441","1148746","23.390288192516014","本期營業收入較去年同期增加主係因:「本期疫情影響營運較去年為小」及「本期總店鋪數較去年增加」所致。"
"114/04/10","111/5","2755","揚秦","觀光餐旅","157688","151021","125886","4.414617834605783","25.262539122698314","739765","640298","15.534485505186648","-"
"114/04/10","111/5","2756","聯發國際","觀光餐旅","84645","75247","79371","12.489534466490358","6.644744302075066","328068","312954","4.829463755056653","-"
"114/04/10","111/5","2916","滿心","居家生活","90328","97457","66429","-7.315020983613286","35.976757139201254","576276","584776","-1.4535480252267534","-"
"114/04/10","111/5","2924","宏太-KY","居家生活","4354","5203","26750","-16.31750912934845","-83.7233644859813","44531","124867","-64.33725483914886","受疫情影響，合併營收較去年同期減少。"
