出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/04/12","111/12","1101","台泥","水泥工業","12584154","9674576","10821264","30.074475615262106","16.29098042520726","112968787","107044614","5.5343027347457205","以上營收不包含停業部門營收:111年12月 0 仟元暨110年12月 0 仟元；111年1-12月 0 仟元暨110年1-12月8,113,370仟元"
"114/04/12","111/12","1102","亞泥","水泥工業","8340507","8306062","9403723","0.4146971212109902","-11.306330482086722","90344463","90332604","0.01312815027451218","-"
"114/04/12","111/12","1103","嘉泥","水泥工業","228644","221763","171518","3.1028620644561986","33.30612530463275","2253659","2217656","1.6234709080218033","-"
"114/04/12","111/12","1104","環泥","水泥工業","725055","631827","569625","14.755304854018584","27.286372613561554","7055812","6079074","16.06721681624537","-"
"114/04/12","111/12","1108","幸福","水泥工業","418326","383773","319245","9.003499464527208","31.03603815251609","4149480","3769022","10.094342776455006","-"
"114/04/12","111/12","1109","信大","水泥工業","516142","669587","777783","-22.9163648637145","-33.6393312787757","6388379","7378229","-13.415821059498153","-"
"114/04/12","111/12","1110","東泥","水泥工業","167733","198316","184874","-15.421347748038484","-9.271720198621765","1794572","1840595","-2.500441433340849","-"
"114/04/12","111/12","1201","味全","食品工業","1453858","1596213","1614562","-8.918295991825651","-9.953411513463093","19983592","19816447","0.8434660360659002","-"
"114/04/12","111/12","1203","味王","食品工業","609563","538061","507831","13.288827846656792","20.032648656738168","6379015","5817509","9.652000538374757","-"
"114/04/12","111/12","1210","大成","食品工業","10247364","10074064","9224406","1.7202590732002496","11.089689677579239","113129261","101597703","11.35021527012279","-"
"114/04/12","111/12","1213","大飲","食品工業","34198","30289","31545","12.905675327676715","8.410207639879538","393357","428881","-8.282950282246125","-"
"114/04/12","111/12","1215","卜蜂","食品工業","2748111","2595219","2438193","5.891294723104293","12.710970788612714","28959220","24841345","16.576699047495215","-"
"114/04/12","111/12","1216","統一","食品工業","44564715","40656907","37291418","9.611670656599628","19.50394323970196","524649110","473494402","10.80365634396666","-"
"114/04/12","111/12","1217","愛之味","食品工業","335992","304862","314921","10.211177516384463","6.69088438052718","4801074","4711620","1.8985826531002075","-"
"114/04/12","111/12","1218","泰山","食品工業","873258","927603","816534","-5.858648581343528","6.946924439153789","11130300","9993637","11.373867191694075","-"
