出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/02/21","107/4","1240","茂生農經","農業科技","130465","123317","114738","5.796443312763041","13.7068800223117","505764","464770","8.820276696000173","-"
"114/02/21","107/4","1259","安心","觀光餐旅","402708","413896","387932","-2.7030944971683706","3.8089149644783107","1638188","1544932","6.036252728275419","-"
"114/02/21","107/4","1264","德麥","食品工業","314873","334621","290146","-5.901602111045033","8.522261206427109","1275384","1164764","9.497202866846846","-"
"114/02/21","107/4","1268","漢來美食","觀光餐旅","262291","278562","255382","-5.841069492608468","2.705359030785255","1241624","1165113","6.566830856749517","-"
"114/02/21","107/4","1336","台翰","電子零組件業","189187","209056","160131","-9.504151997550895","18.145143663625408","792211","643004","23.204676798278083","-"
"114/02/21","107/4","1565","精華","生技醫療業","577551","582447","502114","-0.8405915044630671","15.023879039421326","2160751","1954664","10.54334658028183","-"
"114/02/21","107/4","1569","濱川","電腦及週邊設備業","262535","259182","296379","1.2936855182844487","-11.419162626231953","1048457","1042294","0.5912919003659236","-"
"114/02/21","107/4","1570","力肯","電機機械","50487","59913","61657","-15.732812578238446","-18.11635337431273","185878","243130","-23.547896187224943","-"
"114/02/21","107/4","1580","新麥","電機機械","399794","292243","416406","36.801908001218166","-3.989375753471372","1256347","1245140","0.9000594310679924","-"
"114/02/21","107/4","1584","精剛","其他","50209","74415","84857","-32.52838809379829","-40.83104517010971","241578","346198","-30.21970086482302","-"
"114/02/21","107/4","1586","和勤","電機機械","194792","236314","159830","-17.570689844867424","21.874491647375336","791998","701588","12.886480384499166","-"
"114/02/21","107/4","1591","駿吉-KY","電機機械","64397","60882","39504","5.773463421043987","63.01387201296071","219259","157107","39.560299668378875","營收成長係客戶需求增加"
"114/02/21","107/4","1593","祺驊","運動休閒","61899","59218","55697","4.527339660238441","11.13524965437995","217916","228017","-4.4299328558835525","-"
"114/02/21","107/4","1595","川寶","電子零組件業","163547","144302","96085","13.336613491150503","70.21075089764271","590894","376152","57.0891554477977","106年8月份起併入子公司寶虹之營收"
"114/02/21","107/4","1599","宏佳騰","電機機械","187291","131302","127140","42.641391601041875","47.31083844580777","542898","619108","-12.309645489962978","-"
"114/02/21","107/4","1742","台蠟","化學工業","35359","28767","35987","22.915145826815447","-1.745074610275933","128974","147097","-12.320441613357172","-"
"114/02/21","107/4","1777","生泰","生技醫療業","73075","81617","58271","-10.465956847225456","25.40543323437044","264546","243868","8.479177259829088","-"
"114/02/21","107/4","1781","合世","生技醫療業","59246","43255","33224","36.96913651600971","78.32289910907778","148277","165490","-10.40123270288235","本月營收較去年同期增加主要係因出貨量增加所致。"
"114/02/21","107/4","1784","訊聯","生技醫療業","57489","64430","51294","-10.772931864038492","12.07743595742192","244461","219802","11.218733223537548","-"
"114/02/21","107/4","1785","光洋科","其他電子業","1638482","2091392","1130739","-21.655911469490178","44.90364266201131","6764844","4570247","48.01922084298726","-"
"114/02/21","107/4","1788","杏昌","生技醫療業","238631","280747","228198","-15.001406960715519","4.571906852820796","1009687","937600","7.6884598976109215","-"
"114/02/21","107/4","1796","金穎生技","食品工業","26629","30064","31395","-11.425625332623737","-15.18076126771779","110458","115596","-4.444790477179141","-"
"114/02/21","107/4","1799","易威","生技醫療業","18918","21265","28974","-11.036915118739714","-34.7069786705322","111114","125390","-11.38527793284951","-"
"114/02/21","107/4","1813","寶利徠","生技醫療業","31848","40009","35202","-20.397910470144218","-9.527867734787796","144901","148957","-2.722933464019818","-"
"114/02/21","107/4","1815","富喬","電子零組件業","351830","402579","395898","-12.60597298915244","-11.131149942661999","1509654","1621171","-6.878793168641679","-"
"114/02/21","107/4","2035","唐榮公司","鋼鐵工業","1412554","1536581","1720970","-8.071621346352714","-17.921056148567377","5651904","7366889","-23.279636763904005","-"
"114/02/21","107/4","2061","風青","電器電纜","121572","135833","93691","-10.498921469745937","29.758461324993863","474257","366633","29.354695294749792","-"
"114/02/21","107/4","2063","世鎧","鋼鐵工業","91291","93440","72519","-2.2998715753424657","25.885629972834707","333751","289130","15.432850274962819","-"
"114/02/21","107/4","2064","晉椿","鋼鐵工業","203102","250522","184860","-18.92847733931551","9.868008222438602","914518","725723","26.014746673317504","-"
"114/02/21","107/4","2065","世豐","鋼鐵工業","119015","125301","84479","-5.016719738868804","40.8811657334959","434653","383782","13.255181326899125","-"
"114/02/21","107/4","2066","世德","電機機械","111734","123315","100185","-9.391396018327049","11.527673803463593","425339","426500","-0.27221570926143024","-"
"114/02/21","107/4","2067","嘉鋼","電機機械","117946","115556","101100","2.0682612759181693","16.66271018793274","458826","334561","37.14270342329201","10704及10604自結數"
"114/02/21","107/4","2070","精湛","電機機械","77942","66509","35669","17.190154715903113","118.5146766099414","237899","223001","6.68068753054919","因接單及出貨增加所致"
"114/02/21","107/4","2221","大甲","其他","84548","87712","71999","-3.60726012404232","17.42940874178808","347195","313680","10.684455496046926","-"
"114/02/21","107/4","2230","泰茂","電機機械","45132","54410","42314","-17.052012497702627","6.6597343668762115","174733","156013","11.99900008332639","-"
"114/02/21","107/4","2235","謚源","電機機械","60506","70833","70211","-14.57936272641283","-13.822620387118828","241745","284919","-15.153078594267143","-"
"114/02/21","107/4","2596","綠意","建材營造","372384","304509","67333","22.289981576899205","453.0482824172397","933852","501532","86.19988355678203","本公司「中山一號」建案完工交屋,故107年4月單月及累計營收均較106年增加。"
"114/02/21","107/4","2640","大車隊","數位雲端","144948","150564","124301","-3.729975292898701","16.61048583679938","604338","521937","15.78753757637416","-"
"114/02/21","107/4","2641","正德","航運業","67616","48838","61793","38.4495679593759","9.42339747220559","231252","254835","-9.254223320972393","-"
"114/02/21","107/4","2643","捷迅","航運業","212659","206497","209241","2.984062722460859","1.6335230667029885","833777","840232","-0.7682402003256243","-"
"114/02/21","107/4","2718","全心投控","建材營造","17265","16144","19374","6.943756194251734","-10.885723134097244","72075","74331","-3.035072849820398","-"
"114/02/21","107/4","2719","燦星旅","觀光餐旅","216938","155486","181496","39.522529359556486","19.52770308987526","700113","769297","-8.993145690156078","-"
"114/02/21","107/4","2724","藝舍-KY","觀光餐旅","61440","56978","66285","7.831092702446559","-7.309346005883684","207237","236569","-12.398919554125857","-"
"114/02/21","107/4","2726","雅茗-KY","觀光餐旅","175451","168675","159591","4.017192826441382","9.937903766503124","701139","619827","13.118499194129974","-"
"114/02/21","107/4","2729","瓦城","觀光餐旅","329044","319741","326166","2.9095424108888133","0.8823727795049147","1398931","1371873","1.9723400052337206","-"
"114/02/21","107/4","2732","六角","觀光餐旅","291401","273802","180266","6.427637489864939","61.65056083787292","1084607","706242","53.57441217033255","本年新增瑞里杭州營業額"
"114/02/21","107/4","2734","易飛網","觀光餐旅","92315","84852","122288","8.795314194126243","-24.510172707052206","342597","411336","-16.7111558433981","-"
"114/02/21","107/4","2736","富野","觀光餐旅","54795","51313","57922","6.785804766823222","-5.398639549739305","209548","253555","-17.355997712527852","-"
"114/02/21","107/4","2740","天蔥","觀光餐旅","29199","28661","42248","1.8771152437109662","-30.886669191441015","139313","195153","-28.61344688526438","-"
"114/02/21","107/4","2743","山富","觀光餐旅","557248","438669","545384","27.03154314528722","2.175348011676177","1743025","1507973","15.58728173515043","-"
"114/02/21","107/4","2745","五福","觀光餐旅","722388","495416","740618","45.81442666365236","-2.4614578635679933","2140888","2056492","4.103881755922221","-"
"114/02/21","107/4","2751","王座","觀光餐旅","71347","0","56739","","25.745959569255714","301581","185240","62.80554955733103","-"
"114/02/21","107/4","2916","滿心","居家生活","106895","85768","112035","24.63273015576905","-4.587852010532423","439978","445159","-1.1638538140304924","-"
"114/02/21","107/4","2924","宏太-KY","居家生活","57781","57553","73157","0.39615658610324395","-21.01781100919939","240388","300351","-19.964308425808472","-"
"114/02/21","107/4","2926","誠品生活","文化創意業","358223","335736","340406","6.697822098315343","5.2340440532775565","1442188","1409366","2.3288485744653977","-"
"114/02/21","107/4","2937","集雅社","居家生活","116282","94780","97328","22.686220721671237","19.474354759164886","534210","436312","22.437613450925028","-"
"114/02/21","107/4","2941","米斯特","居家生活","20000","21613","20990","-7.463100911488456","-4.7165316817532155","97424","111206","-12.393216193370861","-"
"114/02/21","107/4","3064","泰偉","文化創意業","3216","3781","2287","-14.943136736313145","40.62090074333187","13655","8300","64.51807228915662","主係遊戲設計報酬較去年增加所致。"
"114/02/21","107/4","3066","李洲","光電業","32245","40167","37574","-19.722657903253914","-14.182679512428807","142634","146589","-2.6980196331239044","-"
"114/02/21","107/4","3067","全域","其他電子業","20108","16295","21339","23.39981589444615","-5.768780167767937","66736","78105","-14.556046347865053","-"
"114/02/21","107/4","3071","協禧","電腦及週邊設備業","219496","226393","180239","-3.04647228492047","21.780524747696116","828702","710236","16.67980783852128","-"
"114/02/21","107/4","3073","天方能源","綠能環保","6927","6010","11665","15.257903494176373","-40.617231033004714","32927","27387","20.228575601562785","-"
"114/02/21","107/4","3078","僑威","電子零組件業","698493","529204","353264","31.989365159749358","97.72549707867203","2094349","1636698","27.96184757359024","電競需求及挖礦熱潮，客戶積極舖貨，拉貨上揚，故營收增加。"
"114/02/21","107/4","3081","聯亞","通信網路業","190059","195118","145668","-2.592790003997581","30.474091770327046","767713","521894","47.10132708940896","-"
"114/02/21","107/4","3083","網龍","文化創意業","30199","32450","18198","-6.936825885978428","65.9468073414661","124744","102765","21.38763197586727","差異主係IFRS15影響"
"114/02/21","107/4","3085","新零售","數位雲端","80645","70821","72489","13.87159175950636","11.251362275655616","395842","216322","82.9873984153253","營收較去年增加逾50%，係因本公司增加轉投資公司-拍手、光旭之101原創等營收。"
"114/02/21","107/4","3086","華義","文化創意業","4560","4302","8655","5.99721059972106","-47.31369150779896","17362","40900","-57.55012224938875","遊戲營收未如預期"
"114/02/21","107/4","3088","艾訊","電腦及週邊設備業","359918","446940","303446","-19.47062245491565","18.610230485819553","1501153","1350278","11.17362498685456","-"
"114/02/21","107/4","3093","港建*","其他電子業","93017","45424","84160","104.77500880591758","10.524001901140684","222534","321080","-30.692039367135916","-"
"114/02/21","107/4","3095","及成","通信網路業","44624","43078","65523","3.58883885045731","-31.895670222669903","180079","281327","-35.98943578113725","-"
"114/02/21","107/4","3105","穩懋","半導體業","1491975","1442636","1251573","3.4200588367405222","19.207988667061368","5955778","4522245","31.69958726252116","-"
"114/02/21","107/4","3114","好德","電子零組件業","233319","209441","163963","11.40082409843345","42.29978714710026","857678","568405","50.89205759977481","客戶需求增加"
"114/02/21","107/4","3115","富榮綱","電子零組件業","41210","58147","56804","-29.12789997764287","-27.45229209210619","185070","229118","-19.225028151432888","-"
"114/02/21","107/4","3118","進階","生技醫療業","39916","44782","61026","-10.865972935554463","-34.59181332546783","162772","178797","-8.962678344714956","-"
