公司代號,公司名稱,營業收入,營業毛利（毛損）,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,基本每股盈餘（元）,毛利率,營益率,業外稅前率,年季
2337,旺宏,43487454.0,19237819.0,9369161,923233,10292394,4.85,0.4424,0.2154,0.0897,2022Q4
2338,光罩,7741118.0,2098625.0,1248276,-574563,673713,3.37,0.2711,0.1613,-0.8528,2022Q4
2340,台亞,4529777.0,1214378.0,383070,63706,446776,0.82,0.2681,0.0846,0.1426,2022Q4
2342,茂矽,2151511.0,617869.0,358303,196540,554843,3.53,0.2872,0.1665,0.3542,2022Q4
2344,華邦電,94529790.0,43051083.0,16534581,1511591,18046172,3.25,0.4554,0.1749,0.0838,2022Q4
2345,智邦,77205223.0,16518262.0,9632608,643315,10275923,14.64,0.214,0.1248,0.0626,2022Q4
2347,聯強,424550420.0,17843219.0,9137536,11137259,20274795,9.44,0.042,0.0215,0.5493,2022Q4
2348,海悅,5092277.0,2280694.0,1598680,-311887,1286793,7.88,0.4479,0.3139,-0.2424,2022Q4
2349,錸德,7739061.0,1319203.0,-274813,295282,20469,-0.22,0.1705,-0.0355,14.4258,2022Q4
2351,順德,11724279.0,2078591.0,1169498,100427,1269925,5.16,0.1773,0.0998,0.0791,2022Q4
2352,佳世達,239837296.0,34561068.0,5852357,10770944,16623301,4.2,0.1441,0.0244,0.6479,2022Q4
2353,宏碁,275423744.0,29744487.0,6927697,946124,7873821,1.67,0.108,0.0252,0.1202,2022Q4
2354,鴻準,90469506.0,6884567.0,2852044,3737067,6589111,3.02,0.0761,0.0315,0.5672,2022Q4
2355,敬鵬,17614328.0,1507127.0,272677,470006,742683,1.25,0.0856,0.0155,0.6328,2022Q4
2356,英業達,541750850.0,26003142.0,6669076,507959,7177035,1.71,0.048,0.0123,0.0708,2022Q4
2357,華碩,537191932.0,74140851.0,12982232,8633315,21615547,19.78,0.138,0.0242,0.3994,2022Q4
2359,所羅門,5249928.0,1083514.0,264528,391309,655837,2.67,0.2064,0.0504,0.5967,2022Q4
2360,致茂,22067242.0,11357094.0,5039256,1402212,6441468,12.14,0.5147,0.2284,0.2177,2022Q4
2362,藍天,22196860.0,4939234.0,1918807,-1027269,891538,1.41,0.2225,0.0864,-1.1522,2022Q4
2363,矽統,182202.0,4640.0,-463840,982524,518684,0.65,0.0255,-2.5457,1.8943,2022Q4
2364,倫飛,934137.0,298856.0,21345,57141,78486,3.21,0.3199,0.0228,0.728,2022Q4
2365,昆盈,1020675.0,288694.0,11116,43202,54318,0.25,0.2828,0.0109,0.7954,2022Q4
2367,燿華,17423501.0,2182759.0,306940,128151,435091,0.65,0.1253,0.0176,0.2945,2022Q4
2368,金像電,32785064.0,8728088.0,6036712,351621,6388333,8.86,0.2662,0.1841,0.055,2022Q4
2369,菱生,6006806.0,520768.0,38180,119145,157325,0.56,0.0867,0.0064,0.7573,2022Q4
2371,大同,34538960.0,7291573.0,297467,6941783,7239250,4.02,0.2111,0.0086,0.9589,2022Q4
2373,震旦行,12576325.0,5544895.0,1222482,587716,1810198,5.82,0.4409,0.0972,0.3247,2022Q4
2374,佳能,5285957.0,1173233.0,-23379,229255,205876,0.48,0.222,-0.0044,1.1136,2022Q4
2375,凱美,5868312.0,1023118.0,298658,492772,791430,4.97,0.1743,0.0509,0.6226,2022Q4
2376,技嘉,107263644.0,16616078.0,5845214,2600527,8445741,10.29,0.1549,0.0545,0.3079,2022Q4
2377,微星,180411242.0,25728080.0,10695886,1587799,12283685,11.79,0.1426,0.0593,0.1293,2022Q4
2379,瑞昱,111789791.0,54634836.0,15723998,1197861,16921859,31.62,0.4887,0.1407,0.0708,2022Q4
2380,虹光,2832440.0,738496.0,-59000,12752,-46248,-0.17,0.2607,-0.0208,-0.2757,2022Q4
2382,廣達,1280429312.0,70915012.0,31188812,9591788,40780600,7.51,0.0554,0.0244,0.2352,2022Q4
2383,台光電,38672549.0,9710062.0,6225247,70808,6296055,15.24,0.2511,0.161,0.0112,2022Q4
2385,群光,115748378.0,20575927.0,10418010,779026,11197036,10.26,0.1778,0.09,0.0696,2022Q4
2387,精元,24571786.0,3339710.0,1611369,509099,2120468,7.48,0.1359,0.0656,0.2401,2022Q4
2388,威盛,9296632.0,3316122.0,3332,527145,530477,-0.17,0.3567,0.0004,0.9937,2022Q4
2390,云辰,591125.0,123882.0,-41685,-824963,-866648,-4.11,0.2096,-0.0705,0.9519,2022Q4
2392,正崴,94102594.0,12094199.0,3531693,-119900,3411793,3.14,0.1285,0.0375,-0.0351,2022Q4
2393,億光,19888289.0,5601787.0,1470136,269068,1739204,2.78,0.2817,0.0739,0.1547,2022Q4
