公司代號,year_quarter,預測季均價,營業收入,營業毛利（毛損）,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,EPS,營收成長_年季平均(%),毛利率,營益率,業外稅前率,SHAP_營業收入,SHAP_營業毛利（毛損）,SHAP_營業利益（損失）,SHAP_營業外收入及支出,SHAP_稅前淨利（淨損）,SHAP_EPS,SHAP_營收成長_年季平均(%),SHAP_毛利率,SHAP_營益率,SHAP_業外稅前率
9935,2016Q4,24.570215,3531131.0,898721.0,183816.0,-22288.0,161528.0,0.67,2.513547778672809,0.2545,0.0521,-0.138,-2.4976511903479697,-2.4460693734139203,-0.21614942628890277,-0.1740700026601553,2.806358456425369,-42.549137357082216,-2.487625825367868,-14.645491814427078,-3.1818847400695085,1.238178417161107
9942,2018Q2,,,,,,,,,,,,,,,,,,,,,
1321,2019Q4,,,,,,,,,,,,,,,,,,,,,
2104,2017Q3,,,,,,,,,,,,,,,,,,,,,
2428,2017Q3,,,,,,,,,,,,,,,,,,,,,
6591,2019Q4,,,,,,,,,,,,,,,,,,,,,
1340,2016Q3,20.62509,4761143.0,564177.0,-258838.0,98957.0,-159881.0,-0.46,37.20513711098185,0.1185,-0.0544,-0.6189,-2.3787832643091678,-2.960943031311035,-0.10123369920998812,-1.9669763134047389,3.3224790591746567,-46.388344375458544,3.98468261776492,-17.394916768558325,-8.266327657420188,4.051694949269295
2607,2019Q4,,,,,,,,,,,,,,,,,,,,,
5471,2018Q1,,,,,,,,,,,,,,,,,,,,,
2492,2020Q1,,,,,,,,,,,,,,,,,,,,,
1525,2016Q3,16.152475,1810688.0,239378.0,-68718.0,34631.0,-34087.0,-0.51,-11.22773309715298,0.1322,-0.038,-1.016,-2.58208346080035,-3.0087712479382756,-0.14828789103776216,-0.6870384006202221,3.3232078287377953,-47.896569725293666,-1.6533515177853406,-16.535953778065743,-8.260083246044815,4.877646813988686
2314,2017Q4,,,,,,,,,,,,,,,,,,,,,
9921,2018Q1,,,,,,,,,,,,,,,,,,,,,
