公司代號,公司名稱,營業利益率,業外%
1101,台泥,,
1102,亞泥,,
1103,嘉泥,,
1104,環泥,,
1108,幸福,,
1109,信大,,
1110,東泥,-0.0883347038307766,1.810368597664074
1201,味全,,
1203,味王,0.1667912260136907,-0.1152277274026345
1210,大成,,
1213,大飲,0.0426339012133839,-0.085843608553145
1215,卜蜂,0.104207354558647,0.0185089994544591
1216,統一,0.0583370519840844,0.3132883742952594
1217,愛之味,-0.0093206815674766,0.5771753388718845
1218,泰山,-0.0091360038432104,13.114814814814816
1219,福壽,-0.0001734954034297,1.0297029702970295
1220,台榮,0.0353709150985211,-0.627514600908501
1225,福懋油,0.0460732745515354,-0.0024973951011362
1227,佳格,,
1229,聯華,0.1112054373584021,0.72990158459761
1231,聯華食,0.0531624028589256,-0.0488148794735781
1232,大統益,0.0544386720441132,-0.1455346611559152
1233,天仁,0.1122431804460381,-0.1221649107404155
1234,黑松,-0.0198783512246338,1.4003718963065592
1235,興泰,-1.103770028275212,1.2868374644851572
1236,宏亞,-0.005243763539317,-1.5633187772925763
1256,鮮活-KY,0.1283624601718644,-0.0160106992739778
1262,綠悅-KY,0.3033457041864267,0.0100859442499204
1301,台塑,0.1147964683237091,0.4900759354713455
1303,南亞,0.1166486942415084,0.322346291727577
1304,台聚,0.0851290804505929,-0.2862663906142167
1305,華夏,0.1567371121592297,-0.1356764290201005
1307,三芳,0.1825478786801992,-0.2101800638983907
1308,亞聚,0.1142528720618105,-0.0061136576696784
1309,台達化,0.0400858673040322,-0.5565848837708933
1310,台苯,0.1390131266713841,0.0689621043415367
1312,國喬,0.1175496080863823,0.3179372356530412
1313,聯成,0.0412942830913193,-0.0684767472203728
1314,中石化,,
1315,達新,0.0525831319756069,6.021288284576294
1316,上曜,-0.2289518520855682,-0.007525478326067
1319,東陽,0.1184513182132646,-0.0979106341029262
1321,大洋,-0.0514993579575496,0.215780998389694
1323,永裕,0.1191582125774272,-0.1726373962065039
1324,地球,0.0023472702504453,0.9934355127040412
1325,恆大,,
1326,台化,0.1316584346791877,0.1776271868673056
1337,再生-KY,0.0480823006201438,0.4393416192412739
1338,廣華-KY,0.1266897296100517,0.0593679365470759
1339,昭輝,0.1824182747959617,9.298007065253616
1340,勝悅-KY,0.2092974013474494,0.0512050821131258
1402,遠東新,,
1409,新纖,,
1410,南染,0.2041421900888688,-0.1403929487988556
1413,宏洲,-0.0063178480204342,0.3460479206830074
1414,東和,0.0044997217108361,1.3435763321346843
1416,廣豐,,
1417,嘉裕,-0.1983859715880263,0.105699889218454
1418,東華,,
1419,新紡,,
1423,利華,-0.0360014030164854,1.690341673392521
1432,大魯閣,-0.1091546768457799,0.606813801532459
1434,福懋,0.0750645340916515,-0.2129710172333371
1435,中福,-0.100595947556615,0.2134203168685927
1436,華友聯,0.1421781253073669,-0.4766830115435693
1437,勤益控,0.6039893923671164,0.3147805385324761
1438,裕豐,-225.1,-0.4494526722472634
1439,中和,,
1440,南紡,0.0238680818535324,0.0757228190510799
1441,大東,,
1442,名軒,0.1741008377689261,0.2169988797057642
1443,立益,-0.0366373551253767,0.9029443479549252
1444,力麗,0.0220123626373626,1.3074902345980766
1445,大宇,0.0142992125984251,3.793846153846154
1446,宏和,,
1447,力鵬,0.0492752806963793,2.130013173869243
1449,佳和,-0.016173419575299,0.4305816638917235
1451,年興,0.001835847208619,0.9703216735384088
1452,宏益,0.1297133572349481,0.0219591445388446
1453,大將,-2.079475982532751,-0.2263713623486994
1454,台富,0.0295735991568593,-1.151597444089457
1455,集盛,0.0802654058756673,-0.278505394399089
1456,怡華,0.029569509185632,1.9051536008057748
1457,宜進,0.0552969329623741,-2.307791371538957
1459,聯發,-0.0194359007918329,0.7566969771442615
1460,宏遠,0.0559810729371876,-0.9650482262547
1463,強盛,0.460305606754266,0.056103115810213
1464,得力,0.0905368551644231,-0.3509978062127403
1465,偉全,0.0344413433382137,4.103483817769532
1466,聚隆,0.0544305763576856,-1.0632070314142732
1467,南緯,-0.0182516761217122,0.4275662670090377
1468,昶和,,
1469,理隆,-0.092831281679942,0.8738964711668511
1470,大統新創,0.0706412825651302,-0.0764271778776825
1471,首利,-0.3168370414912808,0.2196675182346625
1472,三洋紡,-0.137331980725336,0.1461347419876217
1473,台南,0.0331209988070411,-0.1446442902327337
1474,弘裕,0.0929837311301509,-1.487007229573046
1475,本盟,,
1476,儒鴻,0.1548859643667796,-1.2262426502423152
1477,聚陽,0.0790973025744865,-0.1318967613745142
1503,士電,,
1504,東元,0.0754147721837031,-0.0648731083564697
1506,正道,0.0046930292647306,1.0782853127196064
1507,永大,0.1184382892174818,0.0251584302758025
1512,瑞利,-0.1049170561211655,0.2206158597153787
1513,中興電,0.0653113176974945,-0.4399986226369615
1514,亞力,0.0255368558730497,53.56593406593407
1515,力山,0.0270801062807394,-5.01179718875502
1516,川飛,0.0156758206753177,-0.195040899795501
1517,利奇,-0.0867030777179127,0.2040409789413773
1519,華城,0.0401866568102014,-0.1388611150787982
1521,大億,0.093940495050944,0.1216330080726264
1522,堤維西,0.0724277986054293,0.1581517218669005
1524,耿鼎,0.1093933372659815,-4.339774191104039
1525,江申,0.003654285821371,0.9925195068245116
1526,日馳,0.1256028095421645,1.8778436302681996
1527,鑽全,0.2035095834757949,1.6844960663478254
1528,恩德,0.0018922784721082,1.095911575944854
1529,樂士,0.0046622833233711,0.9831144465290806
1530,亞崴,0.0442869222979674,2.9151279851925422
1531,高林股,0.129371215490404,-3.303932168667843
1532,勤美,0.0924148063999165,0.1787944571915647
