公司代號,公司名稱,營業收入,營業毛利（毛損）,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,基本每股盈餘（元）,毛利率,營益率,業外稅前率,年季
3646,艾恩特,643715.0,190381.0,55168,3087,58255,1.34,0.2958,0.0857,0.053,2024Q3
3663,鑫科,3995771.0,287890.0,71475,19614,91089,0.45,0.072,0.0179,0.2153,2024Q3
3664,安瑞-KY,453007.0,327518.0,-40681,-6255,-46936,-0.65,0.723,-0.0898,0.1333,2024Q3
3666,光耀,478644.0,-47343.0,-199402,4363,-195039,-3.68,-0.0989,-0.4166,-0.0224,2024Q3
3672,康聯訊,191246.0,64526.0,-77003,6173,-70830,-1.87,0.3374,-0.4026,-0.0872,2024Q3
3675,德微,2205234.0,708893.0,222518,12976,235494,6.49,0.3215,0.1009,0.0551,2024Q3
3680,家登,5070466.0,2336421.0,1089390,166149,1255539,9.63,0.4608,0.2149,0.1323,2024Q3
3684,榮昌,667722.0,224256.0,54275,9023,63298,1.7,0.3359,0.0813,0.1425,2024Q3
3685,元創精密,887693.0,151204.0,3863,-8753,-4890,-0.38,0.1703,0.0044,1.79,2024Q3
3687,歐買尬,1267135.0,519488.0,230573,47488,278061,1.78,0.41,0.182,0.1708,2024Q3
3689,湧德,3726483.0,952158.0,320530,112417,432947,4.37,0.2555,0.086,0.2597,2024Q3
3691,碩禾,5514536.0,311947.0,-348191,67293,-280898,-1.52,0.0566,-0.0631,-0.2396,2024Q3
3693,營邦,6276559.0,2018963.0,1122567,47796,1170363,23.12,0.3217,0.1789,0.0408,2024Q3
3707,漢磊,4421417.0,81991.0,-466520,263931,-202589,-1.08,0.0185,-0.1055,-1.3028,2024Q3
3709,鑫聯大投控,19628727.0,891830.0,179535,-12616,166919,1.26,0.0454,0.0091,-0.0756,2024Q3
3710,連展投控,5377033.0,1087104.0,55883,-118472,-62589,-0.5,0.2022,0.0104,1.8929,2024Q3
3713,新晶投控,256692.0,64304.0,-24553,-11162,-35715,-0.44,0.2505,-0.0957,0.3125,2024Q3
4102,永日,481424.0,163843.0,74207,11113,85320,1.67,0.3403,0.1541,0.1303,2024Q3
4105,東洋,4181720.0,2531739.0,1043396,173739,1217135,3.68,0.6054,0.2495,0.1427,2024Q3
4107,邦特,1568328.0,674007.0,480157,21488,501645,5.69,0.4298,0.3062,0.0428,2024Q3
4109,加捷生醫,406611.0,130657.0,22579,219240,241819,2.36,0.3213,0.0555,0.9066,2024Q3
4111,濟生,833972.0,271228.0,53555,25526,79081,1.12,0.3252,0.0642,0.3228,2024Q3
4113,聯上,4407753.0,1316140.0,963549,-69012,894537,3.31,0.2986,0.2186,-0.0771,2024Q3
4114,健喬,4037869.0,1757271.0,552357,-13450,538907,1.3,0.4352,0.1368,-0.025,2024Q3
4116,明基醫,3448306.0,1041687.0,228724,-699,228025,1.76,0.3021,0.0663,-0.0031,2024Q3
4120,友華,3257533.0,1543924.0,-9966,-17496,-27462,-1.72,0.474,-0.0031,0.6371,2024Q3
4121,優盛,2881757.0,1014294.0,-40753,18442,-22311,-0.19,0.352,-0.0141,-0.8266,2024Q3
4123,晟德,1169315.0,537797.0,163203,-457656,-294453,-0.48,0.4599,0.1396,1.5543,2024Q3
4126,太醫,1705910.0,546584.0,359936,63816,423752,4.68,0.3204,0.211,0.1506,2024Q3
4127,天良,298325.0,180780.0,5831,1553,7384,0.16,0.606,0.0195,0.2103,2024Q3
4128,中天,1247964.0,484365.0,-358665,-579927,-938592,-1.34,0.3881,-0.2874,0.6179,2024Q3
4129,聯合,3337208.0,2613894.0,441401,11484,452885,3.48,0.7833,0.1323,0.0254,2024Q3
4130,健亞,392635.0,153571.0,32224,5976,38200,0.27,0.3911,0.0821,0.1564,2024Q3
4131,浩泰,49932.0,1239.0,-55479,3025,-52454,-1.14,0.0248,-1.1111,-0.0577,2024Q3
4138,曜亞,1158008.0,443620.0,173156,28226,201382,4.01,0.3831,0.1495,0.1402,2024Q3
4139,馬光-KY,827712.0,108598.0,3806,-3476,330,0.05,0.1312,0.0046,-10.5333,2024Q3
4147,中裕,464396.0,201517.0,-123721,42362,-81359,-0.31,0.4339,-0.2664,-0.5207,2024Q3
4153,鈺緯,639056.0,193622.0,81220,2836,84056,1.2,0.303,0.1271,0.0337,2024Q3
4154,樂威科-KY,31673.0,-38107.0,-73609,-17961,-91570,-3.24,-1.2031,-2.324,0.1961,2024Q3
4157,太景*-KY,140162.0,128396.0,-68225,59886,-8339,-0.02,0.9161,-0.4868,-7.1814,2024Q3
