代號,代號,代號,1569,1591,1595,1796,1799,1813,2035,2061,2064,2067,2736,2740,2924,3067,3081,3085,3115,3122,3176,3191,3205,3207,3224,3228,3234,3252,3259,3272,3276,3288,3297,3322,3323,3325,3349,3354,3360,3363,3372,3373,3466,3489,3498,3508,3511,3521,3522,3523,3540,3541,3555,3609,3623,3625,3629,3630,3631,3632,3666,3672,3685,3691,3707,3710,3713,4120,4121,4123,4128,4131,4139,4147,4154,4157,4168,4171,4174,4188,4192,4198,4304,4402,4406,4419,4430,4503,4513,4523,4529,4530,4577,4609,4726,4743,4804,4806,4923,4946,4950,4971,4991,5011,5205,5210,5211,5223,5227,5228,5245,5272,5301,5302,5345,5348,5351,5355,5364,5468,5475,5481,5487,5516,5529,5543,5701,5905,6109,6113,6124,6125,6127,6129,6130,6144,6150,6160,6169,6179,6198,6210,6217,6218,6222,6228,6236,6237,6241,6246,6276,6287,6441,6461,6462,6465,6485,6492,6496,6499,6512,6535,6547,6560,6576,6588,6589,6616,6617,6649,6654,6684,6708,6733,6767,6804,6823,6872,6875,6929,8024,8027,8038,8040,8044,8047,8054,8059,8067,8071,8080,8085,8092,8093,8171,8277,8291,8421,8444,8450,8455,8472,8477,8489,8906,8921,8933,8935,9949
公司名稱,公司名稱,公司名稱,濱川,駿吉-KY,川寶,金穎生技,易威,寶利徠,唐榮,風青,晉椿,嘉鋼,富野,天蔥,宏太-KY,全域,聯亞,新零售,富榮綱,笙泉,基亞,雲嘉南,佰研,耀勝,三顧,金麗科,光環,海灣,鑫創,東碩,宇環,點晶,杭特,建舜電,加百裕,旭品,寶德,律勝,尚立,上詮,典範,熱映,德晉,森寶,陽程,位速,矽瑪,鴻翊,御嵿,迎輝,曜越,西柏,博士旺,三一東林,富晶通,西勝,地心引力,新鉅科,晟楠,研勤,光耀,康聯訊,元創精密,碩禾,漢磊,連展投控,新晶投控,友華,優盛,晟德,中天,浩泰,馬光-KY,中裕,樂威科-KY,太景*-KY,醣聯,瑞基,浩鼎,安克,杏國,欣大健康,勝昱,郡都開發,新昕纖,皇家美食,耀億,金雨,福裕,永彰,淳紳,宏易,達航科技,唐鋒,永昕,合一,大略-KY,桂田文創,力士,辣椒,金耘國際,IET-KY,環宇-KY,久陽,中茂,寶碩,蒙恬,安力-KY,立凱-KY,鈺鎧,智晶,笙科,寶得利,太欣,天揚,正能量智能,鈺創,佳總,力麗店,凱鈺,德宏,新華,通泰,雙喜,鉅陞,桓鼎-KY,劍湖山,南仁湖,亞元,亞矽,業強,廣運,九豪,普誠,上亞科技,得利影,撼訊,欣技,昱泉,亞通,瑞築,慶生,中探針,豪勉,立軒,全譜,中湛,驊訊,易通展,臺龍,安鈦克,元隆,廣錠,益得,神盾,威潤,點序,生華科,科懋,益安,啟發電,順藥,高端疫苗,欣普羅,逸達,東典光電,台康生技,特昇-KY,共信-KY,台生材,天正國際,安格,天擎,博晟生醫,台微醫,明係,濾能,浩宇生醫,國邑*,佑全,佑華,鈦昇,長園科,九暘,網家,星雲,安國,凱碩,志旭,能率網通,泰霖,福華,建暐,保銳,天宇,商丞,尚茂,旭源,綠河-KY,霹靂,大拓-KY,夠麻吉,創業家,三貝德,花王,沈氏,愛地雅,邦泰,琉園
22Q3 營益 (億),2022Q3, 營益 (億),0.3,0.35,0.08,0.28,-0.31,-0.2,-4.58,-0.14,0.04,-0.23,0.23,-0.12,-0.11,0.01,0.97,0,-0.06,-0.14,-3.93,-0.07,-0.12,0.46,-0.36,-0.25,-0.19,0.23,-0.37,2.4,-0.2,0.07,-0.01,0.71,1.12,-0.51,-0.03,-0.26,0.29,0.18,-0.3,-0.05,-0.14,0.01,0.16,-0.6,1.3,-0.19,-0.68,-0.35,-0.23,0.74,-0.1,-0.21,-0.09,-0.6,-0.37,-2.25,-0.23,-0.02,-1.03,0,-0.12,-1.45,3.47,-0.32,0.18,-0.71,0.51,0.26,-1.15,-0.12,0.03,-0.59,-0.13,-0.22,-0.68,0.24,-6,-0.18,-0.25,-0.2,-0.16,-0.05,-0.03,-0.06,-0.31,-0.17,0.05,-0.26,-0.24,0.01,0.29,-0.23,-1.63,-3.04,-0.25,-0.14,0.26,-0.19,-0.16,0.28,-0.37,0.98,-0.05,0.07,-0.08,0.64,-1.19,0.12,0.47,-0.11,-0.18,-0.21,-0.1,0.02,-0.19,-0.35,0.37,-0.01,-0.79,-0.02,-0.04,0.63,-0.11,0.3,0.39,-0.06,0.15,0.13,-0.35,0.37,-0.8,0.33,-0.05,-0.03,-1.85,-0.02,-0.06,-0.57,-0.06,0.03,0.28,-0.07,-0.07,-0.07,-0.14,-1.08,-0.29,0.06,-0.09,0.71,-0.12,-0.73,-3.38,-0.2,0.99,-0.85,-0.09,-1.84,-0.04,-0.83,-3.72,-0.05,-1.75,-0.04,-1.42,-0.02,-0.65,0.12,0.08,-0.09,0.05,-0.61,0.01,0.31,0.49,,-0.65,0.06,0.14,0.56,-0.06,0.59,0.53,-0.05,-0.39,0.23,-0.05,0.38,0.07,-0.06,0.05,-0.15,0.12,-0.21,-0.15,-0.09,-1.64,-0.42,-0.04,-0.18,-0.29,0.02,-0.01,-0.06,1.47,0.03,-0.1
22Q4 營益 (億),2022Q4, 營益 (億),0.9,0.21,0.55,0.19,-0.38,-0.49,-0.95,0.05,0,-0.15,0.09,-0.19,-0.07,0.01,1.34,-0.07,-0.08,-0.07,-7.41,-0.05,-0.2,0.46,-0.41,-0.23,-0.34,-0.17,-0.32,2.29,-0.07,-0.01,-0.16,0.35,-0.02,-0.26,-0.34,-0.28,0.06,0.14,-0.16,-0.02,0.34,0.21,0.61,-0.43,1.1,-0.17,-0.02,-0.37,0.32,0.38,-0.06,-0.43,-0.15,-0.72,-0.18,-1.99,-0.23,0.02,-0.92,-0.29,0.01,-2.47,1.19,-0.19,0.56,-0.99,0.38,-0.12,-0.66,-0.07,0.22,0.25,-0.28,-0.86,-0.73,-0.55,-6.39,-0.22,-0.82,-0.35,-0.09,-0.04,-0.05,0.02,-0.54,-0.13,-0.16,-0.28,-0.23,-0.05,0.04,-0.15,-1.75,-2.91,-1.02,-0.77,0.21,-0.29,-0.38,0.19,-0.77,0.09,-0.05,-0.24,-0.1,-0.03,-0.78,0.09,0.27,-0.12,-0.16,-0.18,-0.1,0.04,-2.32,-0.48,-0.27,-0.07,-0.44,-0.03,-0.08,0.67,-0.14,-0.28,-0.14,-0.43,0.24,-0.24,-0.29,-0.36,-0.5,0.43,-0.06,-0.05,-0.62,0.21,-0.1,-0.31,-0.08,-0.02,-0.45,0.29,-0.04,-0.05,-0.13,-0.34,-0.08,0.06,0.35,0.37,-0.09,-0.96,-3.58,-0.19,0.85,-0.94,0.01,-1.88,0,-0.62,-6.95,-0.03,-2.04,-0.31,-0.68,0.02,-0.86,0.19,-0.1,-0.21,-0.12,-0.62,-0.04,0.82,0.29,-0.76,-0.47,0.08,0.1,0.43,0.13,0.61,0.56,-0.17,-0.34,-0.14,-0.1,0.09,0.09,-0.06,0.04,-0.09,0.24,-0.13,-0.19,-0.35,-1.92,-0.47,-0.09,-0.12,-0.39,-0.07,-0.07,-0.03,0.71,0.01,0.07
23Q1 營益 (億),2023Q1, 營益 (億),-1.33,-0.18,0.22,0.39,-0.48,-0.18,-0.09,0,-0.48,-0.08,0.29,-0.09,-0.08,0.02,-0.31,-0.09,-0.08,-0.17,-2.42,-0.04,-0.15,0.55,-0.52,-0.22,-0.72,0.12,-0.21,-1.03,-0.12,0,-0.2,-0.03,-1.21,-0.28,-0.27,-0.34,-0.06,-0.15,-0.56,-0.2,-0.21,-0.05,0.01,-0.64,0.28,-0.23,-0.06,-0.44,0.42,0.44,-0.06,-0.39,-0.02,-0.3,-0.25,-2.11,-0.22,0.02,-0.51,-0.14,-0.16,-2.59,0.4,-1.43,-0.13,0.29,0.22,0.12,-0.92,-0.12,0.02,-0.71,-0.07,-0.54,-0.64,-0.35,-4.32,-0.16,-0.25,-0.18,-0.12,-0.05,-0.11,0.13,-0.01,-0.18,0.06,-0.31,-0.14,-0.07,0.3,-0.25,-1.64,-2.5,-0.23,-0.05,0.05,-0.25,-0.22,-0.01,-0.88,0.31,-0.06,-0.19,-0.02,-0.11,-0.67,-0.09,-0.02,-0.16,-0.18,-0.18,-0.07,0.05,-2.54,-0.19,-0.19,-0.06,-0.49,-0.05,-0.05,0.51,-0.16,-0.22,-0.02,-0.27,0.14,-0.12,0.03,0.45,-0.94,0.28,-0.04,-0.05,0.1,0.43,-0.08,0.9,-0.07,-0.21,-0.53,0.45,-0.04,-0.08,-0.13,-0.33,-0.17,-0.05,0.25,0.03,-0.25,-0.77,-2.68,-0.06,0.39,-0.77,-0.21,-2.03,-0.1,-0.73,-2.25,-0.09,-1.74,-0.12,-2.2,-0.22,-0.31,0.02,-0.14,-0.43,-0.15,-0.58,-0.03,0.52,0.07,-0.19,-0.64,0.23,-0.14,0.21,0.12,0,-1.18,-0.24,-0.67,0.14,-0.07,-0.03,0.02,-0.25,0.02,-0.12,0.02,-0.22,-0.14,-0.11,-1.3,-0.42,0.03,-0.26,-0.17,0.09,-0.1,-0.09,-0.62,-0.08,-0.1
23Q2 營益 (億),2023Q2, 營益 (億),-0.13,-0.16,0.32,0.56,-0.27,-0.17,-5.01,-0.03,-0.19,0.06,-0.1,-0.09,-0.07,0.05,-0.71,-0.1,-0.08,-0.21,-3.51,-0.05,-0.14,0.41,-0.3,-0.23,-0.68,0.14,-0.55,-1.65,-0.17,0.03,-0.12,-0.12,-0.01,0.22,-0.3,-0.34,0.06,-0.25,-0.51,-0.16,-0.1,-0.04,-1.1,-0.67,-0.26,-0.07,-0.39,-0.26,0.17,0.23,-0.06,-0.58,-0.03,-0.34,-0.26,-1.75,-0.15,0.02,-0.7,-0.17,0.13,-2.56,1.01,-0.89,0.01,-0.96,0.03,-0.06,-1.95,-0.21,0.19,-0.65,-0.29,0.29,-0.61,-0.6,-5.53,-0.14,-0.26,-0.28,-0.08,-0.1,-0.11,-0.01,-0.48,-0.22,0.19,-0.32,-0.2,-0.08,0.08,-0.21,-1.77,-2.79,-0.01,-0.06,-0.13,-0.17,-1.04,-0.3,-0.94,-0.38,-0.05,-0.21,-0.11,-0.06,-1.1,-0.16,-0.27,-0.2,-0.23,-0.19,-0.11,0,-3.07,-0.36,-0.19,-0.11,-0.67,-0.07,-0.1,0.2,-0.15,-0.48,-0.2,-0.19,0.18,0,-0.24,1.67,-0.77,-0.11,0.02,-0.07,-0.65,-0.23,-0.09,0.31,1.05,-0.42,-0.22,0.17,-0.05,-0.08,-0.08,-0.42,-0.14,-0.04,0.2,-0.41,-0.49,-0.69,-3.21,-0.23,0.39,-0.69,-0.34,-2.01,-0.09,-1.1,-3.56,-0.07,-2.74,-0.2,-2.56,0.1,-0.34,0.01,0.04,-0.74,-0.08,-0.26,-0.02,0.44,-0.12,-0.07,-0.7,-0.01,-0.09,-0.47,0.16,-0.17,-0.87,-0.16,-1.06,-0.08,-0.05,0.07,0.03,-0.23,0.02,-0.21,-0.44,-0.25,-0.15,0.02,0.3,-0.58,-0.05,-0.28,-0.23,-0.17,-0.06,-0.04,-1.03,-0.14,-0.08
23Q3 營益 (億),2023Q3, 營益 (億),-0.01,-0.12,0.01,0.4,-0.39,-0.21,-2,-0.11,-0.29,-0.04,-0.24,-0.13,-0.07,0.11,-1.49,-0.13,-0.07,-0.12,-0.86,-0.15,-0.15,0.05,-0.42,-0.28,-0.96,0.1,-0.69,-0.8,-0.03,0.01,-0.09,0.66,0.16,-0.4,-0.31,-0.31,-0.11,0.14,-0.49,-0.24,-0.73,-0.04,0.33,-0.64,-0.54,-0.3,-0.5,-0.36,0.06,0.39,-0.05,-0.51,-0.07,-0.17,-0.12,-1.3,-0.21,0,-0.51,-0.19,-0.02,-1.82,-0.07,-0.69,0.01,0.21,-0.12,0.36,-1.32,-0.24,0.02,-0.03,-0.31,-0.64,-0.69,-0.43,-6.18,-0.14,-0.28,-0.11,-0.15,-0.14,-0.13,-0.05,-0.6,-0.18,-0.45,-0.29,-0.1,-0.11,-0.57,-0.24,-1.38,-2.69,-0.17,-0.09,0,-0.25,-0.29,0.11,-0.59,-0.2,-0.04,-0.27,-0.07,0.03,-1.55,-0.33,-0.66,-0.1,-0.14,-0.18,-0.09,0.03,-3.26,-0.46,-0.01,-0.03,-0.39,-0.02,-0.15,-2.01,-0.15,0.11,0.09,-0.15,0.2,-0.07,-0.48,0.05,-1.54,-0.2,0.02,-0.04,-0.46,-0.21,-0.09,0.53,-0.08,-0.39,-0.15,-0.19,-0.03,-0.08,-0.12,-0.25,-0.21,-0.08,0.21,-0.6,-0.06,-0.81,-2.98,-0.16,-0.02,-0.79,-0.31,-2.2,-0.05,-0.86,-0.87,-0.09,-2.42,-0.24,-1.99,0.02,-0.22,-0.11,-0.11,-0.63,-0.05,-0.52,-0.05,0.18,-0.49,-0.22,2.21,-0.08,-0.15,0.13,-0.17,-0.22,-1.1,-0.12,-1.18,-0.33,-0.11,0.14,0.03,-0.3,0.01,-0.27,-0.17,-0.25,-0.22,0,-0.67,-0.62,-0.1,-0.29,-0.22,0.09,-0.04,-0.1,-0.33,-0.21,-0.11
23Q4 營益 (億),2023Q4, 營益 (億),-0.55,-0.18,-0.24,0.19,-0.49,-0.29,-4.32,-0.17,-0.05,-0.42,-0.3,-0.17,-0.09,0.08,-0.28,-0.2,-0.09,0.08,-5.54,-0.02,-0.2,-0.51,-0.67,-0.43,-0.92,0.15,-0.63,-0.84,0.13,0.01,-0.07,0.08,-0.93,-0.11,-0.26,-0.33,-0.11,-0.32,-0.4,-0.17,-1.23,0.04,-1.04,-0.59,-0.35,-0.58,-0.14,-0.53,0.36,-0.45,-0.04,-0.39,-0.05,-0.41,-0.12,-0.93,-0.2,0.02,-0.8,-0.23,-0.13,-2.7,0.02,0.32,0.15,1.16,-0.08,0.36,-0.86,-0.28,0.02,-0.26,-0.38,-0.85,-0.67,-0.91,-4.87,-0.11,0.33,-0.36,-0.17,-0.12,-0.13,0.02,-0.69,-0.25,-0.18,-0.28,-0.17,-0.15,-2.19,-0.15,-1.23,-2.98,-0.29,-0.17,0.09,-0.26,-0.44,-0.12,0.15,-0.74,-0.05,-0.25,-0.05,0.07,-1.16,-0.32,-0.66,-0.12,-0.21,-0.18,-0.15,0.03,-2.86,-0.49,-0.16,-0.11,-0.44,-0.04,-0.05,-0.55,-0.28,-0.09,0.01,-0.35,-0.26,0.04,-0.55,-3.11,-1.12,0.03,-0.08,-0.05,-0.64,-0.09,-0.08,0.16,-0.13,-0.43,-0.26,-0.31,-0.04,-0.08,-0.15,-0.88,-0.35,0.01,-0.08,-0.91,-0.09,-0.94,-2.58,-0.15,0.04,-0.87,0.05,-2.16,-0.08,-1.08,-5.46,-0.12,-3.18,-0.3,-3.56,-0.16,-0.46,-0.07,-0.4,-0.63,-0.07,-0.4,-0.09,0.37,0.22,-0.28,-0.9,0.11,-0.17,0.31,-0.09,-0.18,-2.46,-0.06,-0.87,-0.74,-0.09,0.06,-0.05,-0.76,0.03,-0.25,-0.01,-0.14,-0.15,0.08,-0.3,-0.64,-0.06,-0.07,-0.51,0.01,-0.04,0,-1.18,-0.19,-0.02
24Q1 營益 (億),2024Q1, 營益 (億),-0.8,-0.2,-0.06,-0.1,-0.53,-0.22,-1.89,-0.07,-0.25,-0.45,-0.33,-0.22,-0.1,-0.04,-0.67,-0.09,-0.08,-0.17,-1.39,-0.13,-0.15,0,-0.62,0.05,-0.95,0.21,-0.65,-0.48,-0.32,-0.06,-0.13,-0.36,-0.72,-0.04,-0.25,-0.27,-0.11,-0.42,-0.57,-0.24,-0.46,-0.07,-1.19,-0.73,-0.63,-0.46,0.22,-0.28,-0.29,-0.25,-0.06,-0.42,-0.1,-0.5,-0.11,-1.16,-0.17,-0.06,-0.99,-0.32,-0.11,-0.88,-1.35,-0.08,-0.1,0.15,0.04,0.42,-0.89,-0.2,-0.11,-0.37,-0.29,-0.59,-0.77,-0.45,-5.71,-0.2,-0.14,-0.17,-0.17,-0.07,-0.15,0.18,-0.15,-0.26,-0.03,-0.32,-0.13,-0.08,-0.51,-0.22,-1.36,-2.6,-0.21,-0.09,-0.07,-0.21,-0.27,-0.25,0.03,-0.41,-0.05,-0.3,-0.11,-0.13,-0.81,-0.32,-0.37,-0.16,-0.11,-0.16,-0.12,-0.04,-2.17,-0.39,-0.26,-0.07,-0.5,-0.05,-0.07,-0.57,-0.2,0.32,-0.08,-0.49,-0.14,-0.16,-0.55,-1.55,-0.47,-0.47,-0.1,-0.05,-0.53,-0.06,-0.09,0.3,-0.08,-0.36,-0.72,-0.1,-0.03,-0.07,-0.13,-0.21,-0.44,-0.24,-0.12,-0.81,-0.41,-0.71,-2.19,-0.21,-0.4,-0.67,-0.29,-2.27,-0.06,-0.81,-1.07,-0.19,-1.35,-0.31,-2.14,0.09,-0.37,-0.04,-0.16,-0.61,-0.16,-0.19,-0.15,-0.25,-0.4,-0.26,-0.7,0.12,-0.25,-0.72,-0.23,-0.31,-0.12,-0.07,-1.22,-0.35,-0.07,-0.21,-0.01,-0.44,-0.07,-0.25,-0.23,-0.19,-0.19,0.14,0.04,-0.31,-0.05,-0.3,-0.21,0.01,-0.05,-0.1,-0.45,-0.16,-0.06
24Q2 營益 (億),2024Q2, 營益 (億),-1.1,-0.14,-0.23,-0.08,-0.18,-0.38,-0.16,0.05,0,-0.28,-0.51,-0.15,-0.05,-0.07,-0.47,-0.12,-0.07,-0.13,-0.28,-0.08,-0.19,0.23,-0.5,0.42,-0.59,0.06,-0.44,-0.58,-0.56,-0.03,-0.07,-0.31,0,-0.35,-0.12,-0.22,0.01,0.06,-0.44,-0.12,-0.68,0.08,-0.73,-0.63,-0.57,-0.41,-0.72,-0.2,-0.11,-0.38,-0.1,-0.36,-0.06,-0.44,-0.12,-1.26,-0.22,-0.05,-0.69,-0.18,0.06,-0.81,-2.04,0.06,-0.06,0.04,-0.17,0.56,-1.58,-0.19,0.11,-0.41,-0.27,0.5,-0.55,-0.35,-5.45,-0.13,-0.14,-0.15,-0.16,-0.07,-0.18,-0.26,-0.09,-0.11,-0.02,-0.28,-0.13,0,-0.26,-0.17,-1.08,-2.81,-0.25,-0.14,-0.42,-0.16,-0.07,-0.47,0.46,-0.76,-0.03,-0.44,-0.12,-0.08,-0.51,-0.26,-0.31,-0.26,-0.28,-0.16,-0.2,-0.01,-1.18,-0.39,-0.36,0.02,-0.31,-0.06,-0.03,-0.49,-0.17,-0.04,-0.25,-0.37,-0.29,-0.04,-0.68,-2.35,-0.41,-0.63,-0.04,-0.06,-0.56,-0.39,-0.12,0.21,-0.08,-0.3,-0.66,-0.77,-0.03,-0.08,-0.09,-0.26,-0.33,-0.06,-0.14,-0.96,-0.36,-0.89,-2.6,-0.35,-0.16,-0.74,-0.18,-2.2,-0.05,-0.73,-0.03,-0.22,-1.64,-0.28,-2.83,0.01,-0.32,-0.04,-0.51,-0.55,0.02,-0.43,-0.1,-0.09,-0.46,-0.31,-0.71,-0.07,-0.12,0.22,-0.39,-0.23,-0.35,-0.09,-0.77,-0.78,-0.06,-0.1,-0.02,-0.25,-0.05,-0.54,-0.22,-0.14,-0.17,0.15,1.04,-0.12,-0.17,-0.14,-0.38,-0.36,0.01,-0.04,-0.37,-0.19,-0.06
24Q3 營益 (億),2024Q3, 營益 (億),-0.89,-0.18,-0.15,-0.11,0.09,-0.33,-2.65,-0.1,-0.13,-0.31,-0.54,-0.07,-0.04,-0.06,0.08,-0.16,-0.07,-0.14,0.03,-0.06,-0.19,-0.03,-0.45,-0.35,-0.54,0.04,-0.36,-0.67,-0.22,-0.04,-0.09,-0.5,-0.11,-0.32,-0.25,-0.27,-0.09,-0.17,-0.68,-0.11,-0.44,-0.03,-0.04,-0.69,-0.16,-0.32,-0.83,-0.32,-0.86,-0.02,-0.07,-0.4,-0.17,-0.4,-0.09,-1.61,-0.22,0.03,-0.31,-0.27,0.09,-1.78,-1.28,0.57,-0.08,-0.29,-0.28,0.65,-1.11,-0.17,0.04,-0.45,-0.18,-0.59,-0.5,-0.27,-5.34,-0.22,-0.14,-0.13,-0.11,-0.04,-0.18,-0.38,-0.14,-0.16,-0.4,-0.39,-0.15,0.03,-0.17,-0.14,-1.27,-2.98,0.02,-0.11,-0.4,-0.19,-0.21,-0.21,0.54,-0.52,-0.04,-0.17,-0.09,0.18,-0.76,-0.16,-0.43,-0.17,-0.22,-0.16,-0.26,-0.05,-1.21,-0.46,-0.24,-0.02,-0.24,-0.03,0,0.2,-0.18,-0.11,0.02,-0.14,-0.24,-0.1,-1.07,-2,-0.12,-0.89,-0.04,-0.04,-0.39,-0.16,-0.1,-0.9,-0.1,-0.34,0.06,-0.51,-0.05,-0.06,-0.04,-0.61,-0.27,-0.32,-0.29,-0.85,-0.24,-0.92,-2.48,-0.14,-0.05,-0.84,-0.18,-2.01,-0.07,-0.88,0.09,-0.07,-2.93,-0.17,-2.46,-0.14,-0.36,-0.02,-0.18,-0.52,-0.05,-0.37,-0.09,0.41,-0.53,-0.31,-0.92,-0.23,-0.18,-0.4,-0.22,-0.23,-0.96,0.05,-1.15,-0.94,-0.04,-0.09,0.03,-0.54,-0.01,-0.54,-0.34,-0.2,-0.13,0.09,-0.98,-0.32,-0.07,-0.15,-0.2,0.11,0.02,-0.08,-0.5,-0.24,-0.12
24Q4 營益 (億),2024Q4, 營益 (億),-1.57,0.07,-0.2,-0.06,-0.13,-0.52,-3.29,-0.08,0.02,-0.26,-0.16,-0.07,-0.15,-0.07,-0.06,-0.17,-0.06,-0.1,-0.53,-0.06,-0.08,-0.28,-0.67,-0.42,-0.47,0.12,-0.43,-0.29,-0.23,0.02,-0.11,-0.37,-0.24,-0.59,-0.05,-0.27,-0.02,-0.4,-0.73,-0.12,-0.5,-0.48,-0.3,-0.48,-0.2,-0.36,-0.66,-0.4,-0.34,0.18,-0.04,-0.32,-0.11,-0.45,-0.08,-1.65,-0.1,-0.1,-0.51,-0.11,-0.01,-3.03,-2.09,0.5,0.15,0.03,-0.35,0.71,-0.92,-0.18,0.11,-1.29,-0.22,-0.54,-0.64,-0.24,-7.22,-0.1,-0.15,-0.22,-0.19,-0.06,-0.1,-0.73,-0.13,-0.5,-0.21,-0.84,-0.17,-0.08,0.2,-0.22,-0.91,-2.46,-0.01,-0.19,-0.31,-0.15,0.04,0,0.9,-1.46,-0.07,0.32,-0.11,-0.05,-0.26,-0.08,-0.45,-0.18,-0.23,-0.18,-0.12,0.05,-1.96,-0.67,0.08,0,-0.33,-0.1,-0.07,-0.43,-0.21,-1.46,-0.06,-0.69,-0.51,-0.06,-0.76,-1.22,-0.21,-0.6,-0.18,-0.13,-0.5,0.04,-0.12,1.7,-0.24,-0.35,-1.05,-0.28,-0.07,-0.09,0.01,-0.02,-0.24,0.1,0.05,-1.54,-0.55,-1.04,-4.77,-0.17,-0.13,-0.82,-0.16,-2.32,-0.15,-1.15,-0.45,-0.05,-4.88,-0.32,-2.11,0.09,-0.56,-0.02,-0.19,-0.4,-0.08,-0.24,-0.14,-1.57,-0.45,-0.22,0.14,-0.32,-0.19,-0.29,-0.23,-0.28,-2.11,-0.02,-2.15,-1.75,-0.07,0.08,-0.02,-0.64,-0.17,-0.39,-0.91,-0.12,-0.17,-0.04,-2.37,-0.46,-0.16,-0.19,-0.22,0.03,0,-0.05,-1.52,-0.24,-0.45
