代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
1512,瑞利,6.23,0,0,0.12,0.07,-0.3,0.15,-0.24,0.13,0.39,0.4,0.41,0.06,0.26,0.1,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1516,川飛,14.15,-0.35,-2.41,0.01,0.01,0,0.01,0,-0.02,0.01,0.05,-0.12,0.12,0.04,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
1517,利奇,11.05,0,0,0.33,0.54,0.02,0.78,-0.32,0.17,0.75,0.61,-0.17,0.92,0.42,0.29,0,,,,,,,,,,,,,,,,,,,,,,,,,
1526,日馳,18.6,-0.05,-0.27,0.05,0.2,-0.04,0.05,0.13,0.06,0.36,-0.05,-0.05,0.07,0.06,0.01,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,
1528,恩德,12.15,-0.05,-0.41,0.07,0.55,0.33,0.42,-0.38,-0.08,0.23,0.56,-0.6,0.56,0.2,-0.08,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,
1529,樂事綠能,21.95,+0.1,+0.46,-0.03,-0.05,-0.08,-0.03,-0.03,0.36,0.96,-0.98,0.26,-0.24,0.14,-0.3,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,
1533,車王電,29.6,-0.25,-0.84,0.08,0.17,0.14,0.35,-0.16,-0.02,0.26,0.13,-0.03,0.05,0.11,-0.17,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1538,正峰,26,-0.55,-2.07,0.03,-0.17,0.18,0,0.1,0,0.3,-0.21,0.19,-0.02,-0.02,-0.07,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
1587,吉茂,26.95,-0.35,-1.28,0.02,0.03,0.21,0.2,-0.15,-0.09,0.09,0.08,-0.06,0.1,-0.03,-0.19,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
1589,永冠-KY,27.85,-0.1,-0.36,0.43,-0.98,-0.71,-1.34,-1.09,-0.11,0.05,-1.4,0.55,-1.02,-1.14,8.03,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
1626,艾美特-KY,11.85,-0.05,-0.42,0.72,7.1,0.46,0.71,-0.45,-0.18,0.5,0.01,0.19,-0.39,0.12,0.14,0.38,,,,,,,,,,,,,,,,,,,,,,,,,
1710,東聯,12.9,-0.2,-1.53,0.55,-1.53,-1.4,-1.41,8.16,6.52,-0.52,-0.27,-0.89,-0.71,-0.56,-0.51,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,
1721,三晃,11.45,+0.05,+0.44,0,0.1,0.22,0.3,-0.23,-0.08,0.06,0.11,-0.45,0,0,-0.1,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1802,台玻,14,+0.1,+0.72,1.63,4.24,4.79,1.48,3.35,2.85,-0.42,1.62,1.59,1.52,0.47,-2.44,0.56,,,,,,,,,,,,,,,,,,,,,,,,,
1903,士紙,45.5,+0.4,+0.89,0.41,-0.03,-0.06,3.32,-0.07,-0.09,-0.09,1.81,-0.12,-0.05,-0.07,0.46,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,
1905,華紙,13.05,-0.2,-1.51,0.59,0.96,0.08,2.16,-0.15,0.1,0.18,1.57,-0.25,0.47,0.35,0.86,0.77,,,,,,,,,,,,,,,,,,,,,,,,,
1909,榮成,9.01,-0.16,-1.74,-1.56,0,0.79,-1.96,-3.52,-1.96,-2.56,-1.93,-2.24,-1,-1.55,-1.75,-1.07,,,,,,,,,,,,,,,,,,,,,,,,,
2007,燁興,8.3,-0.06,-0.72,-0.91,-0.99,-1.49,-1,-0.58,-0.76,-0.89,-0.97,-0.64,-0.65,-1.06,-1.25,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,
2014,中鴻,16.5,-0.2,-1.2,0.69,0.53,0.57,5.21,-0.56,0.13,0.04,1.39,0.35,0.09,0.13,0.37,0,,,,,,,,,,,,,,,,,,,,,,,,,
2022,聚亨,8.1,-0.07,-0.86,-0.38,0.08,-1.29,-0.4,0.14,0.87,-0.55,-0.47,-0.17,0.12,-0.54,0.18,-2.55,,,,,,,,,,,,,,,,,,,,,,,,,
2023,燁輝,15.55,0,0,-5.11,2.07,-1.78,-5.63,-7.27,-3.69,-6.89,-5.92,-8.07,-5.07,-4.59,-7.79,-6.69,,,,,,,,,,,,,,,,,,,,,,,,,
2025,千興,13.35,-0.1,-0.74,1.17,3.55,-0.65,4.68,1.97,0.01,4.19,0.56,-0.45,-0.18,0.44,-0.1,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,
2034,允強,20.1,-0.2,-0.99,-1.27,1.27,0.36,1.43,-5.68,-0.21,1.49,-4.3,-1.78,-1.72,-1.67,-1.64,-2.82,,,,,,,,,,,,,,,,,,,,,,,,,
2102,泰豐,16.95,-0.05,-0.29,-1.25,0.18,0.33,0.07,-6.84,-0.13,0.02,-0.53,-5.87,-0.22,0.08,-0.75,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,
2104,國際中橡,10.55,-0.1,-0.94,-2.02,0.82,0.83,0.31,-4.62,-0.91,0.15,0.2,-2.09,-1.26,-11.9,-1.06,-4.68,,,,,,,,,,,,,,,,,,,,,,,,,
2208,台船,17.15,-0.55,-3.11,-0.04,0.42,0.59,1.83,-0.68,-1.09,-4.29,-7.09,0.5,1.77,3.66,3.63,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
2241,艾姆勒,24.2,-0.1,-0.41,0.02,0.24,0.27,0.33,-0.32,-0.1,0.04,0.04,-0.11,0.02,0,-0.04,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,
2254,巨鎧精密-創,67.4,-1.1,-1.61,-0.01,0.06,0.05,0.11,-0.08,-0.06,-0.03,-0.03,-0.06,-0.03,-0.03,-0.07,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
2258,鴻華先進-創,40.5,-0.9,-2.17,0.41,,0.24,0.1,0.25,0.09,0.12,-0.05,1.72,0.64,0.47,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
2314,台揚,12,+0.1,+0.84,-0.1,0.03,-0.37,0.02,-0.15,-0.12,-0.17,-0.12,0.14,-0.12,-0.09,-0.03,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,
2321,東訊,13.65,-0.3,-2.15,0.03,0.03,0.17,0.11,-0.11,-0.05,0.05,0.13,-0.06,0.01,-0.01,0.07,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
2323,中環,7.77,-0.06,-0.77,1.57,-0.38,-4.03,-2.15,2.49,8.06,15.2,-10.4,8.57,-1.99,15.3,-6.34,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,
2331,精英,15.4,+0.2,+1.32,1.68,2.34,1.85,5.3,-1.03,0.59,1.42,2.83,2.18,2.14,1.08,0.41,1.08,,,,,,,,,,,,,,,,,,,,,,,,,
2337,旺宏,19.15,-0.05,-0.26,1.52,1.88,4.09,4.23,-0.97,0.51,2.49,2.02,0.2,1.05,1.98,0.32,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
2338,光罩,31.15,+0.3,+0.97,-1.47,-5.18,-6.89,2.24,4.09,0.28,-0.36,-2.24,-0.71,6.46,-4.79,-3.69,-6.85,,,,,,,,,,,,,,,,,,,,,,,,,
2340,台亞,20.75,+0.25,+1.22,0.32,0.44,-0.2,0.55,-0.15,1.07,0.83,0.74,-0.42,0.7,0.16,-0.37,0.54,,,,,,,,,,,,,,,,,,,,,,,,,
2369,菱生,13.45,-0.05,-0.37,0.2,0.23,0.23,0.38,0.35,0.05,0.22,0.24,-0.08,0.23,0.17,0.11,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
2380,虹光,3.89,+0.34,+9.58,0.01,-0.23,0.22,0.08,0.06,0,0.43,-0.49,0.21,-0.08,0.08,-0.2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
2390,云辰,10.25,-0.05,-0.49,-0.89,-0.8,-2.03,-4.08,-1.34,-0.84,0.17,0.68,-0.47,-1.21,0.4,-0.61,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,
2406,國碩,11,0,0,-0.32,1.11,-0.11,0.39,-1.64,-0.05,-0.1,1.29,-3.15,1.17,-0.05,-0.38,-2.38,,,,,,,,,,,,,,,,,,,,,,,,,
2408,南亞科,32.1,-0.65,-1.98,11.4,17.7,17.4,22.4,1.25,7.73,12.6,12,5.21,13.8,10.5,6.77,8.99,,,,,,,,,,,,,,,,,,,,,,,,,
2409,友達,12.3,-0.1,-0.81,10.5,7.16,10,23.1,4.33,-1.56,1.6,5.67,-2.92,16.3,1.79,-2.85,63.4,,,,,,,,,,,,,,,,,,,,,,,,,
2413,環科,18.25,0,0,0.19,0.51,-0.07,0.57,-0.29,0.13,-0.03,0.58,-0.23,0.47,0.38,-0.17,0.39,,,,,,,,,,,,,,,,,,,,,,,,,
2424,隴華,59.8,0,0,-0.01,-0.06,0.03,-0.03,0,0,-0.07,-0.06,0.03,0.03,0.04,-0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
