代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
4154,樂威科-KY,櫃,04/17,,18.25,+0.15,+0.83,15,0.27,18.1,18.1,18.25,18.1,0.83,,2.54,+154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4157,太景*-KY,櫃,04/17,,9.64,+0.21,+2.23,415,3.95,9.43,9.37,9.68,9.29,4.14,,6.38,+538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4168,醣聯,櫃,04/17,,16.7,-0.25,-1.47,66,1.1,16.95,16.1,17,16.1,5.31,,1.73,+73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4171,瑞基,櫃,04/17,,18.4,0,0,85,1.54,18.4,18.2,18.4,17.95,2.45,,1.47,+47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4174,浩鼎,櫃,04/17,,47.6,+0.1,+0.21,505,23.9,47.5,47.6,47.8,46.85,2,,3.28,+228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4188,安克,櫃,04/17,,13.4,0,0,20,0.27,13.4,13.15,13.4,13.15,1.87,,1.49,+49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4192,杏國,櫃,04/17,,28.3,+0.4,+1.43,1,0.03,27.9,28.3,28.3,28.3,0,,3.38,+238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4198,欣大健康,櫃,04/17,,31.4,+0.45,+1.45,7,0.22,30.95,31.45,31.5,30,4.85,,2.9,+190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4304,勝昱,櫃,04/17,,8.6,+0.11,+1.3,8,0.07,8.49,8.5,8.6,8.5,1.18,,7.89,+689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402,郡都開發,櫃,04/17,,20.4,-0.4,-1.92,57,1.17,20.8,20.8,20.8,20.1,3.37,,2.29,+129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4406,新昕纖,櫃,04/17,,9.05,0,0,0,0,9.05,9.05,9.05,9.05,0,,0.8,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4419,皇家美食,櫃,04/17,,48,+0.5,+1.05,5,0.25,47.5,47.5,49,47.5,3.16,,9.32,+832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4430,耀億,櫃,04/17,,18.45,+0.25,+1.37,20,0.37,18.2,18.4,18.45,18.3,0.82,,0.58,-42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4503,金雨,櫃,04/17,,43.9,+0.75,+1.74,596,26,43.15,43.65,44.55,43,3.59,,2.28,+128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4513,福裕,櫃,04/17,,23.1,-0.65,-2.74,222,5.12,23.75,23.1,23.6,22.7,3.79,,1.94,+93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4523,永彰,櫃,04/17,,29.25,-0.25,-0.85,160,4.71,29.5,29.75,29.75,29.2,1.86,,2.54,+154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4529,淳紳,櫃,04/17,,4.81,-0.04,-0.82,29,0.14,4.85,4.41,4.85,4.41,9.07,,1.38,+37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4530,宏易,櫃,04/17,,11.85,+0.15,+1.28,12,0.14,11.7,11.85,12.05,11.8,2.14,,3.26,+226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
4577,達航科技,櫃,04/17,,18,-0.7,-3.74,51,0.93,18.7,18.4,18.95,18,5.08,,0.9,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4609,唐鋒,櫃,04/17,,7.51,-0.32,-4.09,18,0.14,7.83,8.06,8.06,7.5,7.15,,2.33,+133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4726,永昕,櫃,04/17,,32.2,+0.2,+0.62,136,4.34,32,32,32.25,30.9,4.22,,3.3,+230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4743,合一,櫃,04/17,,61.5,+1.1,+1.82,1992,123,60.4,59.9,62.7,59.4,5.46,,2.39,+139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4804,大略-KY,櫃,04/17,,3.58,+0.2,+5.92,52,0.19,3.38,3.38,3.6,3.38,6.51,,4.26,+326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4806,桂田文創,櫃,04/17,,9.15,-0.23,-2.45,4,0.04,9.38,9.38,9.7,9.15,5.86,,2.68,+168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4923,力士,櫃,04/17,,30.7,+0.7,+2.33,71,2.1,30,29,30.95,29,6.5,,1.75,+74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4946,辣椒,櫃,04/17,,118,-3,-2.48,465,55.5,121,121.5,127,112,12.4,,21.57,+2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4950,金耘國際,櫃,04/17,,18.25,+0.2,+1.11,2493,44.8,18.05,17.5,18.3,17.45,4.71,,4.72,+372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4971,IET-KY,櫃,04/17,,116.5,+2.5,+2.19,3356,389,114,115,119.5,111.5,7.02,,2.52,+152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4991,環宇-KY,櫃,04/17,,98,-2,-2,15402,1516,100,100,101,95.4,5.6,,3.64,+264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5011,久陽,櫃,04/17,,14.15,-0.55,-3.74,265,3.75,14.7,14.55,14.55,13.75,5.44,,0.64,-35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5205,中茂,櫃,04/17,,36.4,-0.75,-2.02,13,0.49,37.15,37.15,38.45,36.4,5.52,,3.75,+275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5210,寶碩,櫃,04/17,,28.25,+2.55,+9.92,2667,75,25.7,28.25,28.25,25.95,8.95,,3.14,+214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5211,蒙恬,櫃,04/17,,22.8,-0.6,-2.56,11,0.25,23.4,23.5,23.5,22.8,2.99,,1.96,+95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5223,安力-KY,櫃,04/17,,24,+0.7,+3,13,0.31,23.3,23.3,24.1,23.25,3.65,,0.53,-47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5227,立凱-KY,櫃,04/17,,30.25,-0.5,-1.63,105,3.15,30.75,30.4,30.45,29.8,2.11,,3.95,+295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5228,鈺鎧,櫃,04/17,,15.2,-0.1,-0.65,1,0.02,15.3,15.2,15.2,15.2,0,,1.12,+11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
5245,智晶,櫃,04/17,,22.15,+0.25,+1.14,58,1.27,21.9,21.65,22.15,21.2,4.34,,1.09,+9.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5272,笙科,櫃,04/17,,19.75,-0.05,-0.25,178,3.53,19.8,18.85,20.55,18.85,8.59,,1.09,+8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5301,寶得利,櫃,04/17,,6.03,-0.2,-3.21,109,0.65,6.23,5.89,6.23,5.89,5.46,,1.34,+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5302,太欣,櫃,04/17,,7.32,-0.18,-2.4,82,0.6,7.5,7.1,7.53,7.1,5.73,,0.92,-8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5345,天揚,櫃,04/17,,23.4,-0.25,-1.06,6,0.14,23.65,23.7,23.7,23.1,2.54,,3.9,+290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5348,正能量智能,櫃,04/17,,21.55,-1.15,-5.07,19,0.41,22.7,22.8,22.8,20.75,9.03,,2.31,+131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5351,鈺創,櫃,04/17,,23.5,+0.05,+0.21,480,11.2,23.45,23.5,23.7,23,2.99,,1.84,+83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5355,佳總,櫃,04/17,,8.39,-0.09,-1.06,18,0.15,8.48,8.21,8.39,8.21,2.12,,1.48,+48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5364,力麗店,櫃,04/17,,21.5,-1.25,-5.49,37,0.81,22.75,23,23,21.5,6.59,,1.78,+78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
