代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),季度,16Q2 營益 (億),16Q3 營益 (億),16Q4 營益 (億),17Q1 營益 (億),17Q2 營益 (億),17Q3 營益 (億),17Q4 營益 (億),18Q1 營益 (億),18Q2 營益 (億),18Q3 營益 (億),18Q4 營益 (億),19Q1 營益 (億)
1512,瑞利,6.23,-0.27,-4.15,-0.33,-0.55,-0.4,-0.24,-0.3,-0.11,-0.37,-0.4,-0.4,-0.24,-0.26,-0.26,-0.38,2019Q1,,,,,,,,,,,,
1516,川飛,14.5,-0.1,-0.68,-0.15,0.22,0.06,0.17,0.15,0.15,-0.02,0.05,0.07,0.1,0.1,-0.19,-2.68,2019Q1,,,,,,,,,,,,
1517,利奇,11.05,-0.35,-3.07,0,1.51,1.64,2.14,0.69,-0.12,-0.85,-1.01,-1.1,-0.92,-0.77,-0.69,-0.49,2019Q1,,,,,,,,,,,,
1526,日馳,18.65,-0.3,-1.58,0.35,0.95,1.63,1.35,0.67,0.51,0.03,0.09,-0.33,-0.09,0,-0.42,-0.18,2019Q1,,,,,,,,,,,,
1528,恩德,12.2,-0.65,-5.06,-0.02,-0.24,0.53,0.31,0.58,0.29,0.06,-0.26,-0.2,-1.1,0.04,-0.66,0.42,2019Q1,,,,,,,,,,,,
1529,樂事綠能,21.85,-0.45,-2.02,0.2,0.06,0.3,0.24,0.16,0.2,0.04,0.46,0.24,0.08,0.36,0.25,0.02,2019Q1,,,,,,,,,,,,
1533,車王電,29.85,+0.05,+0.17,-0.45,-0.13,-0.1,-0.18,-0.5,-0.79,-0.88,-0.27,-0.49,-1.24,-0.94,-0.78,0.96,2019Q1,,,,,,,,,,,,
1538,正峰,26.55,+1.7,+6.84,-0.12,-0.13,-0.09,-0.05,-0.11,-0.13,-0.1,-0.11,-0.21,-0.17,-0.12,-0.14,-0.12,2019Q1,,,,,,,,,,,,
1587,吉茂,27.3,-1.2,-4.21,0.16,0.4,0.47,0.41,0.38,0.14,0.18,0.16,0.06,-0.08,-0.3,0.13,-0.07,2019Q1,,,,,,,,,,,,
1589,永冠-KY,27.95,-0.9,-3.12,-1.05,-1.18,-0.17,0.59,1.74,1.02,1.05,-1,-2.79,-3.99,-3.09,-2.73,-1.99,2019Q1,,,,,,,,,,,,
1626,艾美特-KY,11.9,-0.3,-2.46,-0.39,-1.84,1.96,-0.99,-1.56,-0.17,1.7,-1.14,-0.51,-0.27,0.67,-0.99,-1.55,2019Q1,,,,,,,,,,,,
1710,東聯,13.1,-0.3,-2.24,-1.59,-1.36,-3.28,-4.22,-2.72,-1.31,-1.42,-2.48,-1.6,-0.24,0.15,0.96,-1.58,2019Q1,,,,,,,,,,,,
1721,三晃,11.4,-0.4,-3.39,-0.34,0.18,0.41,-0.19,-0.08,-0.52,-1.02,-0.95,-0.1,-0.76,-0.44,-0.12,-0.51,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),2019Q1,,,,,,,,,,,,
1802,台玻,13.9,-0.4,-2.8,-1.98,9.62,4.85,-9.75,-12.9,-11.7,1.21,3.03,4.69,-0.84,-1.41,-9.46,-1.15,2019Q1,,,,,,,,,,,,
1903,士紙,45.1,-0.95,-2.06,-0.18,-0.24,-0.28,-0.2,-0.31,-0.27,-0.13,-0.17,-0.07,-0.08,-0.09,-0.16,-0.15,2019Q1,,,,,,,,,,,,
1905,華紙,13.25,-0.4,-2.93,-0.97,-1.47,1.77,1.12,0.98,-1.45,-4.04,-3.58,0.47,0.15,-2.59,-0.33,-2.74,2019Q1,,,,,,,,,,,,
1909,榮成,9.17,-0.22,-2.34,-0.15,0.75,2.53,-3.82,-3.59,-3.89,-0.63,1.31,3.52,1.78,3,-0.82,-1.98,2019Q1,,,,,,,,,,,,
2007,燁興,8.36,-0.23,-2.68,-1.37,0.65,0.12,-1.68,-1.86,-0.69,-2.14,-1.44,-2.13,-1.59,-1.96,-1.62,-2.13,2019Q1,,,,,,,,,,,,
2014,中鴻,16.7,-0.65,-3.75,-2.53,4.52,8.9,-20.6,-10.5,4.71,-2.51,-3.04,0.56,0.51,-3.32,-8.34,-1.26,2019Q1,,,,,,,,,,,,
2022,聚亨,8.17,-0.14,-1.68,0.3,0.96,0.56,-0.3,-0.02,0.62,0.51,0.32,2.59,0.61,-0.16,-1.94,-0.21,2019Q1,,,,,,,,,,,,
2023,燁輝,15.55,0,0,3.53,11.8,8.2,0.73,2.26,3.79,4.8,5.02,2.33,5.08,2.94,-2.18,-2.43,2019Q1,,,,,,,,,,,,
2025,千興,13.45,-0.2,-1.47,-0.49,0.1,-0.02,-0.64,-0.9,-0.16,-0.36,-0.6,-0.76,-0.57,-0.24,-0.95,-0.79,2019Q1,,,,,,,,,,,,
2034,允強,20.3,-0.7,-3.33,1.6,4.25,4.8,1.92,-1.49,1.06,1.9,2.11,-1.68,2.2,1.84,1.77,0.56,2019Q1,,,,,,,,,,,,
2102,泰豐,17,-0.25,-1.45,-1.69,-1.86,-1.8,-1.32,-2.3,-4.79,-2.76,-1.84,-1.38,-0.61,-0.6,-0.47,-0.57,2019Q1,,,,,,,,,,,,
2104,國際中橡,10.65,-0.25,-2.29,1.1,3.55,2.77,8.31,2.77,2.83,-3.43,0.59,1.52,-0.37,-1.78,1.23,-4.82,2019Q1,,,,,,,,,,,,
2208,台船,17.7,+0.15,+0.85,-8.59,-2.45,-9.45,-14.8,-10.8,-16,-5.27,-2.2,-4.88,-5.16,-5.91,-10.6,-15.5,2019Q1,,,,,,,,,,,,
2241,艾姆勒,24.3,+0.05,+0.21,-0.61,-0.56,-0.63,-0.93,-0.65,-0.61,-0.64,-0.4,-0.73,-0.4,-0.49,-0.47,-0.77,2019Q1,,,,,,,,,,,,
2254,巨鎧精密-創,68.5,-1.4,-2,0.05,0.59,1.08,0.02,0.04,0.11,-0.26,0.03,-0.28,-0.41,-0.05,0.04,-0.34,2019Q1,,,,,,,,,,,,
2258,鴻華先進-創,41.4,+0.65,+1.6,-5.89,,-3.24,-4.55,-6.49,-5.5,-4.92,-6.21,-7.18,-7.5,-2.84,-6.31,-10.1,2019Q1,,,,,,,,,,,,
2314,台揚,11.9,+1.05,+9.68,-1.69,-1.35,-0.9,-0.93,-1,-0.43,-0.93,-1.77,-2.13,-1.66,-1.8,-2.69,-4.67,2019Q1,,,,,,,,,,,,
2321,東訊,13.95,+0.3,+2.2,-0.02,0.06,-0.05,0.02,0.17,-0.08,-0.09,-0.09,0.05,-0.08,-0.03,-0.08,-0.03,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),2019Q1,,,,,,,,,,,,
2323,中環,7.83,-0.22,-2.73,-1.05,-0.93,-1.46,-0.47,-2.43,-1.27,-1.26,-0.18,-0.75,-0.64,-1.27,-0.85,-1.13,2019Q1,,,,,,,,,,,,
2331,精英,15.2,-0.75,-4.7,0.34,-0.03,2.48,0.41,0.49,-0.43,4.17,0.93,1.16,-1.4,-0.45,-0.49,-2.82,2019Q1,,,,,,,,,,,,
2337,旺宏,19.2,-0.6,-3.03,2.53,32.2,29.8,24.2,7.54,-4.39,-1.66,-6.52,-11.5,-13,-5.12,-3.58,-17.5,2019Q1,,,,,,,,,,,,
2338,光罩,30.85,-1.7,-5.22,1.85,2.1,4.33,3.04,3.02,1.91,1.64,1.79,2.14,-0.16,1.46,0.93,-0.02,2019Q1,,,,,,,,,,,,
2340,台亞,20.5,-0.5,-2.38,-0.13,1.4,1.98,0.82,-0.37,-0.39,0.52,0.75,-0.1,-1.04,-0.84,-1.44,-2.83,2019Q1,,,,,,,,,,,,
2369,菱生,13.5,-0.35,-2.53,-0.4,1.57,0.8,-0.78,-1.2,-0.89,-0.14,-0.15,-0.21,-0.68,-0.86,-1.09,-1.2,2019Q1,,,,,,,,,,,,
2380,虹光,3.55,+0.32,+9.91,-0.72,-0.4,-0.13,0.45,-0.5,-0.96,-0.89,-2.22,-0.16,0.11,-0.67,-2.31,-0.94,2019Q1,,,,,,,,,,,,
2390,云辰,10.3,+0.33,+3.31,-0.05,-0.12,-0.16,-0.13,-0.01,0.01,0,-0.11,-0.05,-0.08,0,-0.09,0.07,2019Q1,,,,,,,,,,,,
2406,國碩,11,-0.45,-3.93,-1.81,-0.5,-0.17,-1.3,-2.54,-2.46,-2.73,-1.97,-2.79,-1.01,-0.93,-2.07,-3.23,2019Q1,,,,,,,,,,,,
2408,南亞科,32.75,-1.8,-5.21,-11.7,62.6,53.6,9.2,-15.4,-28.9,-31.8,-43.4,-40.5,-29.2,-23.2,-25.1,-28.1,2019Q1,,,,,,,,,,,,
2409,友達,12.4,-0.45,-3.5,-45.3,53,-46.5,-137,-109,-111,-44.2,-13.3,-50.7,-49.4,1.07,-3.1,-33.2,2019Q1,,,,,,,,,,,,
2413,環科,18.25,-0.65,-3.44,0.13,-0.2,0.79,0.82,1.16,0.2,0.3,0.58,-0.23,-0.28,-0.79,-0.8,-0.03,2019Q1,,,,,,,,,,,,
2424,隴華,59.8,+0.8,+1.36,-0.46,-0.39,-0.44,-0.45,-0.37,-0.36,-0.48,-0.57,-0.47,-0.7,-0.67,-0.51,-0.04,2019Q1,,,,,,,,,,,,
2429,銘旺科,44.75,-3.05,-6.38,-0.18,-0.03,-0.13,-0.12,-0.13,-0.19,-0.11,-0.15,-0.36,-0.15,-0.4,-0.21,-0.22,2019Q1,,,,,,,,,,,,
2431,聯昌,11.2,-0.5,-4.27,-0.3,-0.26,-0.2,-0.21,-0.32,-0.32,-0.35,-0.27,-0.48,-0.3,-0.28,-0.3,-0.29,2019Q1,,,,,,,,,,,,
2438,翔耀,29,-1.5,-4.92,-0.15,0.03,-0.04,-0.15,-0.17,-0.11,-0.1,-0.21,-0.27,-0.44,-0.23,-0.21,0.03,2019Q1,,,,,,,,,,,,
2440,太空梭,15.15,+0.35,+2.36,-0.06,-0.05,0.06,0.19,0.14,-0.18,-0.23,-0.23,-0.15,-0.06,0.05,0.05,-0.34,2019Q1,,,,,,,,,,,,
2444,兆勁,12.25,-0.55,-4.3,0.04,0.28,0.04,0.19,0.67,0.14,-0.59,0.23,0.23,-0.2,-0.23,-0.08,-0.2,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),2019Q1,,,,,,,,,,,,
2460,建通,16.8,-0.05,-0.3,-0.57,0.09,-0.48,-1.23,-0.78,-0.54,-0.78,-0.75,-0.6,-0.63,0.22,-0.35,-1.04,2019Q1,,,,,,,,,,,,
2465,麗臺,47.6,-2.9,-5.74,-0.57,0.31,-0.66,-0.14,-1.03,-0.62,-0.56,-0.12,0.32,-0.79,-1.1,-0.91,-1.5,2019Q1,,,,,,,,,,,,
2466,冠西電,104.5,+9.2,+9.65,-0.18,0.11,0.44,0.28,-0.43,-0.12,-0.11,-0.07,-0.82,-0.61,-0.17,-0.1,-0.55,2019Q1,,,,,,,,,,,,
2485,兆赫,11.55,-0.25,-2.12,-1.06,-1.46,-0.44,-0.82,0.18,-1.39,-0.34,0.24,0,-1.4,-1.46,-3,-2.82,2019Q1,,,,,,,,,,,,
2491,吉祥全,11.05,-0.35,-3.07,-0.65,-1.49,-2.87,-1.54,0.56,-0.39,-0.32,-0.3,-0.35,-0.37,-0.33,-0.32,-0.11,2019Q1,,,,,,,,,,,,
2498,宏達電,37.05,-0.7,-1.85,-11.1,-10.4,-11.2,-11.4,-11,-9.66,-11.1,-11.3,-10.9,-12.1,-11.8,-11.3,-11.2,2019Q1,,,,,,,,,,,,
2547,日勝生,12.4,-0.55,-4.25,2.69,2.04,2.56,2.26,3.28,1.75,2.11,2.87,3.98,1.87,2.01,2.43,5.16,2019Q1,,,,,,,,,,,,
2601,益航,6.57,-0.18,-2.67,0.29,2.56,1.46,1.19,0.81,1.87,-0.1,-0.52,-3.77,0.74,0.21,-0.84,-0.18,2019Q1,,,,,,,,,,,,
2616,山隆,16.6,+0.05,+0.3,-0.38,0.55,0.46,0.06,0.09,0.29,-0.39,0.11,-0.37,0.05,-0.55,-2.41,-2.47,2019Q1,,,,,,,,,,,,
2642,宅配通,28.4,-0.6,-2.07,0.23,0.46,0.68,0.43,0.46,0.07,0.28,0.41,0.32,0.19,-0.03,-0.1,-0.45,2019Q1,,,,,,,,,,,,
2712,遠雄來,18.4,-0.6,-3.16,-0.05,0.01,-0.42,0.56,0.12,0.16,0.04,0.42,-0.04,-0.11,-0.76,-0.37,-0.27,2019Q1,,,,,,,,,,,,
2722,夏都,28,+0.65,+2.38,0.18,0.15,0.12,1.33,0.22,0.18,0.28,0.53,-0.2,-0.12,-0.05,0.13,-0.43,2019Q1,,,,,,,,,,,,
2911,麗嬰房,5.15,-0.05,-0.96,-1.36,-1.12,-2.06,-1.6,-1.61,-1.07,-1.54,-1.14,-1.87,-0.81,-1.18,-1.4,-0.99,2019Q1,,,,,,,,,,,,
2913,農林,15.4,-0.5,-3.14,-0.28,-0.32,-0.46,-0.29,-0.48,-0.41,-0.29,-0.29,-0.26,-0.28,-0.2,-0.1,-0.02,2019Q1,,,,,,,,,,,,
2939,永邑-KY,27.15,0,0,-0.26,-0.13,-0.25,-0.47,0.25,-0.28,-0.64,-0.26,-0.24,-0.15,-0.22,-0.39,-0.4,2019Q1,,,,,,,,,,,,
3011,今皓,12.75,-0.55,-4.14,-0.38,-0.09,-0.14,-0.07,0.02,-0.43,-0.2,-0.27,-0.67,-0.32,-0.7,-0.73,-1,2019Q1,,,,,,,,,,,,
3018,隆銘綠能,21.45,-0.95,-4.24,-0.32,0.24,0.1,-2.36,-0.3,0.2,-0.6,-0.21,-0.64,-0.24,-0.03,0.53,-0.57,2019Q1,,,,,,,,,,,,
3041,揚智,23.7,-0.8,-3.27,-0.68,0.25,0.64,0.35,-0.27,-1.02,-2.61,-1.73,-1.18,-1.01,-0.17,-0.72,-0.65,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),2019Q1,,,,,,,,,,,,
3048,益登,23.8,-0.05,-0.21,4.09,4.09,4.37,4.5,4.71,3.83,3.39,3.77,4.15,3.3,3.71,4.29,4.97,2019Q1,,,,,,,,,,,,
3049,精金,6.96,-0.18,-2.52,-1.75,0.73,0.25,-1.07,-0.87,-2.1,-1.87,-3.09,-3.61,-2.92,-2.63,-2.41,-1.42,2019Q1,,,,,,,,,,,,
3054,立萬利,22,-0.4,-1.79,-0.1,-0.1,-0.1,-0.1,-0.11,-0.08,-0.1,-0.11,-0.12,-0.05,-0.11,-0.11,-0.11,2019Q1,,,,,,,,,,,,
3055,蔚華科,48.4,-0.5,-1.02,-0.73,-0.81,-0.76,-1.02,-1.57,-0.82,-0.19,-0.52,-0.37,-0.31,-0.54,-0.62,-1.21,2019Q1,,,,,,,,,,,,
3057,喬鼎,8.27,-0.21,-2.48,-0.21,0.01,0.1,-0.05,-0.19,-0.17,-0.37,-0.2,-0.48,-0.15,-0.37,-0.33,-0.34,2019Q1,,,,,,,,,,,,
3058,立德,10.4,-0.5,-4.59,-0.46,-0.69,-0.46,0.06,0.04,-0.29,-0.09,-0.08,-0.21,-0.57,-1.43,-0.74,-1.05,2019Q1,,,,,,,,,,,,
3092,鴻碩,19.75,-0.45,-2.23,-0.32,0.21,0.72,0.61,-0.72,-0.95,-0.06,0.11,-1,-0.17,-0.58,-1.38,-0.61,2019Q1,,,,,,,,,,,,
3149,正達,30.15,-0.05,-0.17,-0.74,-0.75,-1.25,-1.17,-0.81,-0.6,-0.39,-0.52,-0.48,-0.38,-0.64,-0.52,-1.35,2019Q1,,,,,,,,,,,,
3321,同泰,6.72,+0.22,+3.38,-0.66,-0.32,-0.11,-1.11,-1.21,-0.95,-0.5,-0.53,-0.86,-0.53,-0.47,-0.8,-0.53,2019Q1,,,,,,,,,,,,
3419,譁裕,14.4,-0.55,-3.68,-0.32,-0.36,-0.13,0.23,0.34,-0.28,-0.56,-0.57,-0.53,-0.51,-0.36,-0.48,-0.62,2019Q1,,,,,,,,,,,,
3432,台端,13.15,-0.45,-3.31,-0.07,-0.08,-0.09,-0.09,0.02,-0.06,-0.09,-0.07,-0.06,-0.06,-0.09,-0.09,-0.07,2019Q1,,,,,,,,,,,,
3437,榮創,15.3,-0.5,-3.16,-0.49,0.36,-0.52,-1.26,-0.3,-0.69,-0.17,-0.07,-0.72,-0.76,-0.39,-0.52,-0.82,2019Q1,,,,,,,,,,,,
3494,誠研,14.55,-0.15,-1.02,-0.55,-0.84,-0.78,-0.33,-1.39,-0.39,-0.5,-0.49,-0.78,-0.45,-0.07,-0.13,-0.45,2019Q1,,,,,,,,,,,,
3504,揚明光,44,-1.85,-4.03,-0.47,0.16,0.43,0.3,-0.71,-0.75,-0.88,-0.83,-0.66,-1.13,-0.95,-0.39,-0.19,2019Q1,,,,,,,,,,,,
3518,柏騰,17.75,-0.5,-2.74,-0.22,0.13,-0.07,-0.26,-0.31,-0.15,-0.05,-0.11,-0.13,-0.33,-0.33,-0.57,-0.45,2019Q1,,,,,,,,,,,,
3530,晶相光,56.1,-2.3,-3.94,-0.36,1.12,0.84,-0.12,-0.45,-2.04,-0.62,-0.22,-0.84,-0.6,-0.33,1.14,-2.14,2019Q1,,,,,,,,,,,,
3543,州巧,17.1,0,0,-0.06,-0.35,-0.35,-0.03,0.22,0.05,0.31,0.37,0.02,-0.25,-0.17,-0.44,-0.1,2019Q1,,,,,,,,,,,,
3550,聯穎,12.65,-0.45,-3.44,-0.54,-0.08,0.06,-0.45,-0.08,-0.27,-0.36,-0.86,-2.12,-0.4,-0.18,-0.83,-0.92,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),2019Q1,,,,,,,,,,,,
3576,聯合再生,8.1,-0.4,-4.71,-2.06,5.01,1.22,0.01,1.16,0.67,-3.04,-10.9,-16.5,-3.12,-1.38,-1.9,4.11,2019Q1,,,,,,,,,,,,
3593,力銘,10,+0.8,+8.7,-0.26,-0.34,-0.34,-0.02,0,-0.18,-0.21,-0.04,0.01,-0.33,-0.37,-0.78,-0.54,2019Q1,,,,,,,,,,,,
3686,達能,14.5,-0.05,-0.34,-0.08,-0.09,-0.08,-0.08,-0.05,-0.11,-0.14,-0.09,-0.07,-0.06,-0.07,-0.07,-0.07,2019Q1,,,,,,,,,,,,
3714,富采,34.95,-0.65,-1.83,-5.08,5.3,2.9,-4.37,-8.49,-13.7,-10.4,-7.64,-8.25,-5.22,-2.65,-1.23,-7.15,2019Q1,,,,,,,,,,,,
4108,懷特,13.15,-0.45,-3.31,-0.37,-0.38,-0.31,-0.32,-0.55,-0.23,-0.29,-0.27,-0.42,-0.46,-0.3,-0.54,-0.3,2019Q1,,,,,,,,,,,,
4142,國光生,18.7,+0.2,+1.08,-0.77,-2.54,-0.34,3.54,0.28,-2.6,-2.78,1.99,-3.84,-1.95,-2.92,2.69,-0.8,2019Q1,,,,,,,,,,,,
4190,佐登-KY,34.1,-0.7,-2.01,-0.2,0.22,0.29,-0.13,-0.18,0.23,0.52,-0.43,-0.01,-0.69,-0.78,-1.09,-0.29,2019Q1,,,,,,,,,,,,
4426,利勤,11.4,-0.4,-3.39,-0.38,-1.08,-0.59,-0.32,0.41,0.29,-0.31,-0.02,-0.17,-0.32,-0.66,-0.89,-0.87,2019Q1,,,,,,,,,,,,
4526,東台,22.5,+0.45,+2.04,-0.89,-0.76,0.7,1,0.7,0.07,-0.07,-0.17,-1.39,-1.61,-2.1,-1.82,-5.19,2019Q1,,,,,,,,,,,,
4540,全球傳動,36.65,-2.35,-6.03,-0.27,0.81,1.1,1.18,0.69,0.53,0.44,-0.36,-1.32,-3.24,-0.64,-1.2,-1.29,2019Q1,,,,,,,,,,,,
4555,氣立,34.4,-1.4,-3.91,0.11,0.61,0.7,0.35,0.29,0.11,0.04,-0.22,-0.15,-0.03,-0.05,-0.26,-0.08,2019Q1,,,,,,,,,,,,
