年度,月份,市場別,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
2020,06,國內上市,1101,台泥,水泥工業,9961312,10285516,9866871,-3.152044097738995,0.957152475186916,52439710,56723483,-7.552027438089442,-
2020,06,國內上市,1102,亞泥,水泥工業,6752208,7182969,7536507,-5.996977016050049,-10.406664519783504,33825643,43797688,-22.76842786769932,-
2020,06,國內上市,1103,嘉泥,水泥工業,166768,171405,130823,-2.7052886438551966,27.47605543367757,992319,890444,11.440921607647422,-
2020,06,國內上市,1104,環泥,水泥工業,453562,403105,353927,12.517086119001252,28.15128543456701,2591631,2381467,8.824980568699882,-
2020,06,國內上市,1108,幸福,水泥工業,360616,357162,271998,0.9670681651463482,32.580386620489854,2226696,1735453,28.306326935964268,-
2020,06,國內上市,1109,信大,水泥工業,611254,706916,658066,-13.532300867429791,-7.113572194886228,3255948,3572169,-8.852352730231969,-
2020,06,國內上市,1110,東泥,水泥工業,130369,106356,114080,22.57794576704652,14.278576437587658,770491,781597,-1.4209368766768553,-
2020,06,國內上市,1201,味全,食品工業,1584018,1557936,1728231,1.6741380903965246,-8.34454421891518,8589703,9774563,-12.121871842250137,-
2020,06,國內上市,1203,味王,食品工業,519138,467509,574920,11.043423762964991,-9.702567313713212,3051105,3077619,-0.8615101479422892,-
2020,06,國內上市,1210,大成,食品工業,6450520,6059697,6144976,6.449546899787234,4.9722570112560245,36947103,37237915,-0.7809567211268408,-
2020,06,國內上市,1213,大飲,食品工業,35095,28920,26098,21.35200553250346,34.47390604644034,166497,226004,-26.330064954602573,-
2020,06,國內上市,1215,卜蜂,食品工業,1772694,1803246,1642385,-1.6942779853663892,7.934132374565038,10669093,10185768,4.7451012039543805,-
2020,06,國內上市,1216,統一,食品工業,38616245,36909155,38858021,4.625112658363487,-0.622203585715289,218736545,222268920,-1.5892347882016074,-
2020,06,國內上市,1217,愛之味,食品工業,415560,291246,449669,42.683504666158505,-7.585357229428758,2150473,2052220,4.787644599506876,-
2020,06,國內上市,1218,泰山,食品工業,734201,655813,708068,11.952797520024763,3.690747216369049,3924694,3719424,5.518865286668043,-
2020,06,國內上市,1219,福壽,食品工業,987280,922349,953087,7.039743090738972,3.587605328789502,5917265,6011629,-1.5696910105397388,-
2020,06,國內上市,1220,台榮,食品工業,222507,203469,240545,9.35670790144936,-7.498804797439148,1243188,1306487,-4.844977408883517,-
2020,06,國內上市,1225,福懋油,食品工業,792623,809957,887020,-2.1401136109694714,-10.642037383599018,4979882,5111461,-2.574195518658951,-
2020,06,國內上市,1227,佳格,食品工業,2392058,2583115,2163646,-7.396379952112082,10.556810125131376,14624069,13407620,9.072818292881212,-
2020,06,國內上市,1229,聯華,食品工業,1275443,685815,676790,85.97478911951474,88.45476440254731,4756896,3251505,46.29828341029769,本公司本月營收成長主因收到現金股利，去年度於8月認列；年度營收成長主因108年自4月起納入子公司神通電腦及神通資訊營收所致。
2020,06,國內上市,1231,聯華食,食品工業,684343,675104,692963,1.3685298857657486,-1.2439336587956356,4103744,4149226,-1.096156246972327,-
2020,06,國內上市,1232,大統益,食品工業,1424986,1267534,1336446,12.421915309569606,6.625033858457432,8025240,8230892,-2.4985384330155225,-
2020,06,國內上市,1233,天仁,食品工業,141988,149497,182526,-5.022843267757882,-22.20943865531486,903834,1109274,-18.52022133395356,-
2020,06,國內上市,1234,黑松,食品工業,770065,733260,685161,5.019365572920928,12.391831992772502,4072986,4151227,-1.88476804568866,-
2020,06,國內上市,1235,興泰,食品工業,3033,1915,3092,58.38120104438642,-1.9081500646830527,11053,13371,-17.33602572732032,-
2020,06,國內上市,1236,宏亞,食品工業,80724,66599,97300,21.20902716257001,-17.035971223021583,687064,820454,-16.258071750518614,-
2020,06,國內上市,1256,鮮活果汁-KY,食品工業,362789,318600,364020,13.869742623979912,-0.338168232514697,1274955,1729410,-26.27803701840512,-
2020,06,國內上市,1301,台塑,塑膠工業,14776562,13455462,18352747,9.818317646766792,-19.485829560010824,85003282,109581363,-22.429070352045173,-
2020,06,國內上市,1303,南亞,塑膠工業,20794995,19418507,21989854,7.0885367242703055,-5.433683188619624,126182089,142771871,-11.619783283501272,-
2020,06,國內上市,1304,台聚,塑膠工業,3952131,3401050,4541760,16.203260757707177,-12.98239008666244,22214911,27994846,-20.646425417021405,-
2020,06,國內上市,1305,華夏,塑膠工業,948423,620635,1386382,52.81493953773152,-31.59006680698393,5878179,7582316,-22.475151391738358,-
2020,06,國內上市,1307,三芳,塑膠工業,489749,418689,660096,16.972024581491272,-25.806397857281365,4128512,4991350,-17.28666593206247,-
2020,06,國內上市,1308,亞聚,塑膠工業,451529,473355,521248,-4.6109156975208885,-13.375399042298485,2672129,3395190,-21.29662846556452,-
2020,06,國內上市,1309,台達化,塑膠工業,1276711,1137515,1348375,12.236849623961003,-5.314841939371465,6524556,9081821,-28.158064335335396,-
2020,06,國內上市,1310,台苯,塑膠工業,684951,604350,1100791,13.33680814097791,-37.77647164629798,3578547,6249241,-42.73629389553067,-
2020,06,國內上市,1312,國喬,塑膠工業,1332033,1169189,1756687,13.927944925927289,-24.173572184458585,7210570,10547276,-31.635713334893293,-
2020,06,國內上市,1313,聯成,塑膠工業,4199654,4110055,4986963,2.1799951582156445,-15.787343920538412,21094129,31298968,-32.60439449632972,-
2020,06,國內上市,1314,中石化,塑膠工業,1217571,1499660,2967847,-18.81019697798168,-58.97460347517914,9385146,16435257,-42.89626258962668,受疫情影響致終端需求萎縮
2020,06,國內上市,1315,達新,塑膠工業,188984,159245,253354,18.674997645138,-25.407137838755258,1004835,1118231,-10.14065966692034,-
2020,06,國內上市,1316,上曜,建材營造,356108,103425,38739,244.3152042542905,819.2493352951806,855009,268797,218.08725543811872,本月增加房地收入
2020,06,國內上市,1319,東陽,汽車工業,1264888,1023551,1644630,23.57840498421671,-23.089813514285886,8101206,10590969,-23.508358866879885,-
2020,06,國內上市,1321,大洋,塑膠工業,406756,363536,380211,11.888781303639805,6.981649662950309,2177719,2240161,-2.78738894213407,-
2020,06,國內上市,1323,永裕,塑膠工業,298326,286234,287342,4.224515606112481,3.822622519506372,1662306,1749400,-4.97850691665714,-
2020,06,國內上市,1324,地球,塑膠工業,86367,80291,95012,7.567473315813728,-9.098850671494128,532946,583878,-8.72305515878317,-
2020,06,國內上市,1325,恆大,塑膠工業,484807,439228,79094,10.37707067855419,512.9504134321187,1668488,419831,297.4189614392458,受新冠肺炎影響致營收增加
2020,06,國內上市,1326,台化,塑膠工業,19842166,18011412,25775641,10.16441131877945,-23.019699102730364,120431899,173298891,-30.506249460073,-
2020,06,國內上市,1337,再生-KY,塑膠工業,74032,66816,105934,10.799808429118777,-30.11497724998584,390517,641492,-39.1236367717758,-
2020,06,國內上市,1338,廣華-KY,汽車工業,543095,399029,588858,36.10414280666318,-7.77148310798189,2367419,3528121,-32.8985882286917,-
2020,06,國內上市,1339,昭輝,汽車工業,146257,128300,187408,13.99610288386594,-21.95797404593187,923096,1295231,-28.731168417062285,-
2020,06,國內上市,1340,勝悅-KY,塑膠工業,58098,51258,119358,13.344258457216435,-51.324586537978185,259581,648149,-59.95041263660053,受全球新冠肺炎影響，許多中國大陸客戶訂單取消，外貿訂單也因國際新冠疫情而大幅下滑，致營收下降。
2020,06,國內上市,1341,富林-KY,塑膠工業,189943,152911,233487,24.218009168732134,-18.64943230244082,1182675,1414155,-16.3687855998812,-
2020,06,國內上市,1342,八貫,其他,129415,115231,105799,12.309187631800471,22.32157203754289,722673,650714,11.058468082752176,-
2020,06,國內上市,1402,遠東新,紡織纖維,17013520,16015710,21990028,6.230195227061429,-22.630748810324388,101180409,128623998,-21.336289826724247,-
2020,06,國內上市,1409,新纖,紡織纖維,2429664,2372030,3019383,2.4297331821267014,-19.531109501510738,14823041,20119850,-26.32628473870332,-
2020,06,國內上市,1410,南染,紡織纖維,28351,38867,26979,-27.05637172923045,5.085436821231328,199698,200325,-0.3129913889928865,-
2020,06,國內上市,1413,宏洲,紡織纖維,114480,101981,172545,12.256204587128977,-33.65209075893245,762906,1690247,-54.86422990249354,疫情影響，下游需求急速萎縮
2020,06,國內上市,1414,東和,紡織纖維,35986,32832,62324,9.60648148148148,-42.25980360695719,329805,428129,-22.96597520840681,-
2020,06,國內上市,1416,廣豐,其他,14859,14114,19891,5.278446932124132,-25.297873410084964,112308,141784,-20.789369745528408,-
2020,06,國內上市,1417,嘉裕,紡織纖維,93304,79310,102072,17.644685411675702,-8.590014891449172,503845,699834,-28.00506977368919,-
2020,06,國內上市,1418,東華,紡織纖維,11660,8505,14833,37.09582598471487,-21.39149194363918,54991,141959,-61.26275896561683,因客戶受新冠狀肺炎疫情之影響調降開工率及主原料丙烯&#33096;價格持續下跌，造成亞克力纖維市場需求停滯。
2020,06,國內上市,1419,新紡,紡織纖維,131116,137126,138297,-4.382830389568718,-5.192448136980556,996739,869248,14.66681545427772,-
2020,06,國內上市,1423,利華,紡織纖維,30771,18695,37946,64.59481144691094,-18.908448848363463,122631,264487,-53.63439412901201,各地陸續解封後6月份營收衰減雖較前期有所改善，然近來全球冠狀肺炎疫情似再度升溫，也對未來的市場需求帶來不確定性。
2020,06,國內上市,1432,大魯閣,運動休閒,101031,88560,95087,14.081978319783198,6.251117397751533,585668,601760,-2.6741558096251,-
2020,06,國內上市,1434,福懋,紡織纖維,2030628,2025420,3028509,0.2571318541339574,-32.94958013993024,15032010,19588918,-23.26268352340849,-
2020,06,國內上市,1435,中福,其他,1280,1308,1769,-2.140672782874618,-27.642736009044658,7567,10719,-29.405728146282303,-
2020,06,國內上市,1436,華友聯,建材營造,220554,30993,42728,611.6252056916078,416.18142669912,670769,622574,7.7412484299055215,109年6月營收較去年同期增加之原因，係本月交屋較去年同期增加
2020,06,國內上市,1437,勤益控,其他,39973,43993,41198,-9.137817380037731,-2.973445312879266,299932,322607,-7.028675757190637,-
2020,06,國內上市,1438,三地開發,建材營造,13833,7,0,197514.2857142857,,98422,6,1640266.6666666667,"108年度累計銷售商品6仟元,109年度累計銷售商品、房屋及土地98,422仟元，故營收變化大。"
2020,06,國內上市,1439,雋揚,建材營造,8659,8281,18448,4.564666103127641,-53.06266261925412,69828,106288,-34.30302574138191,雖主要客戶解除緊急狀態，但疫情並未逐步趨緩，造成需求疲弱，營收較去年同期減少。
2020,06,國內上市,1440,南紡,紡織纖維,1352756,1173545,1860018,15.270909935281562,-27.271886616151026,8600574,11619974,-25.984567607466246,-
2020,06,國內上市,1441,大東,紡織纖維,86933,112609,97221,-22.80101945670417,-10.582075888954032,775737,734748,5.5786473729768575,-
2020,06,國內上市,1442,名軒,建材營造,267759,38438,25408,596.5997190280451,953.8373740554156,487869,306160,59.35099294486543,本月認收38戶，去年同期認收1戶；本年累計認收54戶，去年累計認收12戶，故兩期差異大。
2020,06,國內上市,1443,立益物流,其他,39412,40786,51220,-3.368803020644339,-23.053494728621637,266455,342496,-22.202011118378024,-
