年度,月份,市場別,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
2021,09,國內上市,1101,台泥,水泥工業,9597804,8964476,9034955,7.064863579310157,6.229682383586858,76905616,76433746,0.6173582019648756,"以上營收不包含停業部門營收:110年9月 0 仟元暨109年9月710,192仟元；110年1-9月8,113,370仟元暨109年1-9月5,814,746仟元"
2021,09,國內上市,1102,亞泥,水泥工業,7831470,7193266,7256519,8.872242455652273,7.92323426700874,61810724,54564173,13.280785910564427,-
2021,09,國內上市,1103,嘉泥,水泥工業,201306,166022,163492,21.252605076435653,23.12896043843124,1655224,1481525,11.724338097568385,-
2021,09,國內上市,1104,環泥,水泥工業,528251,431224,450890,22.50037103686251,17.157399809266117,4358224,3886551,12.13603012027888,-
2021,09,國內上市,1108,幸福,水泥工業,269964,249977,380768,7.995535589274213,-29.100134465081094,2905016,3358346,-13.498609136759583,-
2021,09,國內上市,1109,信大,水泥工業,376885,591358,675602,-36.26787834103876,-44.21493719675193,5158109,5213429,-1.06110584799371,-
2021,09,國內上市,1110,東泥,水泥工業,140017,109276,143254,28.13152018741535,-2.259622767950633,1343660,1137024,18.173407069683662,-
2021,09,國內上市,1201,味全,食品工業,1821712,1917771,1770907,-5.008887922489182,2.868868890348279,14855873,13942044,6.5544836897660055,-
2021,09,國內上市,1203,味王,食品工業,504898,540451,540372,-6.578394711083891,-6.56473688496073,4479711,4591387,-2.432293335325469,-
2021,09,國內上市,1210,大成,食品工業,9493296,7913624,7188625,19.961423489415218,32.059969743866176,75331263,57304544,31.45774792309664,-
2021,09,國內上市,1213,大飲,食品工業,34387,42312,41327,-18.729911136320663,-16.79289568562925,334307,326544,2.377321279827527,-
2021,09,國內上市,1215,卜蜂,食品工業,2048288,2037783,1920517,0.5155112197913124,6.652948138443971,18061685,16366708,10.35624879480956,-
2021,09,國內上市,1216,統一,食品工業,41123727,41942340,40353475,-1.951758056417453,1.9087625043444212,357715822,340812432,4.9597339805961065,-
2021,09,國內上市,1217,愛之味,食品工業,463500,605106,565045,-23.401850254335603,-17.97113504234176,3784154,3785349,-0.0315690838546194,-
2021,09,國內上市,1218,泰山,食品工業,888282,960802,819145,-7.547861057741345,8.440141855227097,7454094,6429624,15.933591140010677,-
2021,09,國內上市,1219,福壽,食品工業,1192316,1167521,1086298,2.123730536752658,9.7595687371237,10783242,8959094,20.36085345236918,-
2021,09,國內上市,1220,台榮,食品工業,267658,265446,287415,0.8333144971105234,-6.874032322599725,2288965,2055881,11.337426631210658,-
2021,09,國內上市,1225,福懋油,食品工業,1045897,1052440,835861,-0.6216981490631295,25.12810144270399,9447794,7489528,26.14672112848767,-
2021,09,國內上市,1227,佳格,食品工業,3294742,2813843,3958750,17.090470221686143,-16.773173350173664,24343309,24224530,0.4903253024929689,-
2021,09,國內上市,1229,聯華,食品工業,832723,793517,915901,4.940788918195829,-9.08154920673741,8049765,7099771,13.380628755490848,-
2021,09,國內上市,1231,聯華食,食品工業,706336,887835,694394,-20.442875083771195,1.7197729243052216,6954172,6485644,7.224078287368225,-
2021,09,國內上市,1232,大統益,食品工業,1650643,1634616,1537742,0.9804749249976752,7.341998852863484,14602286,12485761,16.95150980384776,-
