年度,月份,市場別,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
2017,08,國內上市,1101,台泥,水泥工業,6952639,8034396,7454905,-13.46407371506209,-6.737389678339294,60880886,55937677,8.836993713557321,-
2017,08,國內上市,1102,亞泥,水泥工業,5478165,5252149,5106282,4.303305180412818,7.282852768413496,39542463,39024808,1.3264767375665245,-
2017,08,國內上市,1103,嘉泥,水泥工業,174704,153905,196746,13.51418082583412,-11.203277322029418,1387494,1827240,-24.066132527746767,-
2017,08,國內上市,1104,環泥,水泥工業,367333,357742,388895,2.680982383952681,-5.544427159001788,2884839,3069125,-6.004512686840712,-
2017,08,國內上市,1108,幸福,水泥工業,293423,270234,388420,8.58108158114819,-24.457288502136866,2325649,2828249,-17.770712550415467,-
2017,08,國內上市,1109,信大,水泥工業,487484,417078,364687,16.880775298625196,33.67188849616246,3222374,2680045,20.235816935909657,-
2017,08,國內上市,1110,東泥,水泥工業,110747,113787,103040,-2.6716584495592643,7.479619565217392,909049,1004156,-9.471337122917156,-
2017,08,國內上市,1201,味全,食品工業,1785571,1745969,1763703,2.2681960561728185,1.2398912968906897,11484269,11628797,-1.2428456701067188,-
2017,08,國內上市,1203,味王,食品工業,561578,514755,578616,9.096171965303885,-2.944612661938142,4100583,4235167,-3.177773155108169,-
2017,08,國內上市,1210,大成,食品工業,6554870,6158273,6489143,6.440068506219195,1.0128764306781342,49247326,48673342,1.179257425964299,-
2017,08,國內上市,1213,大飲,食品工業,93860,85642,93287,9.59575909016604,0.614233494484762,474596,487339,-2.614812276464637,-
2017,08,國內上市,1215,卜蜂,食品工業,1814892,1665365,1630587,8.978632311835543,11.302984753343427,13058788,11795396,10.710890927273658,-
2017,08,國內上市,1216,統一,食品工業,37940819,35072216,37381315,8.179132450598502,1.4967477735868842,269246378,283505403,-5.029542593937795,-
2017,08,國內上市,1217,愛之味,食品工業,592995,457971,599499,29.483089540604094,-1.0849058964235136,2915062,2975885,-2.0438625820554224,-
2017,08,國內上市,1218,泰山,食品工業,770210,680900,841131,13.116463504185637,-8.43162361154208,5217919,5473061,-4.661778847339725,-
2017,08,國內上市,1219,福壽,食品工業,937701,822215,907307,14.045717969144324,3.3499135353303786,7112350,7154264,-0.5858604043686395,-
2017,08,國內上市,1220,台榮,食品工業,244596,193446,261883,26.44148754691232,-6.6010393954552224,1503516,1922578,-21.796878982283165,-
2017,08,國內上市,1225,福懋油,食品工業,919990,894039,953134,2.902669794047016,-3.477370443190569,7085597,7078292,0.1032028630635752,-
2017,08,國內上市,1227,佳格,食品工業,2444037,1834591,2422743,33.219720362740254,0.8789211237015234,16274635,16900537,-3.703444452682184,-
2017,08,國內上市,1229,聯華,食品工業,417191,401108,441131,4.0096432880919854,-5.426959338609166,3175185,3532812,-10.123012489767358,-
2017,08,國內上市,1231,聯華食,食品工業,699942,653989,593523,7.026570783300636,17.930054943110882,4745977,4410753,7.600153533875055,-
2017,08,國內上市,1232,大統益,食品工業,1439903,1399147,1602248,2.9129176562577057,-10.13232658115348,11288116,11313589,-0.2251540161128356,-
2017,08,國內上市,1233,天仁,食品工業,181031,169865,181825,6.57345539104583,-0.4366836243640863,1422689,1427820,-0.359359022846017,-
2017,08,國內上市,1234,黑松,食品工業,950524,910702,966108,4.372670752891725,-1.6130701743490377,6240804,5796018,7.673992730871436,-
2017,08,國內上市,1235,興泰,食品工業,8662,4710,16186,83.90658174097665,-46.48461633510441,38237,82644,-53.732878369875614,"本公司去年底轉型以生產水產飼料為主,今年上半年度為水產淡季故累計營收較去年同期低"
2017,08,國內上市,1236,宏亞,食品工業,144395,122414,154371,17.956279510513504,-6.46235368041925,1056649,1250007,-15.468553376101092,-
2017,08,國內上市,1256,鮮活果汁-KY,食品工業,338792,301057,314099,12.534171269892411,7.861534102305324,2062020,1911924,7.850521255028966,-
2017,08,國內上市,1301,台塑,塑膠工業,18909653,16975872,14230738,11.391350029029436,32.87893431809369,136047039,116630857,16.647551513747345,-
2017,08,國內上市,1303,南亞,塑膠工業,26000918,25272847,23196039,2.88084282708632,12.092060200450602,198055490,179632650,10.25584157445765,-
2017,08,國內上市,1304,台聚,塑膠工業,5002910,4711283,4336897,6.189969908409238,15.356901489705658,37574417,34672100,8.370756314154608,-
2017,08,國內上市,1305,華夏,塑膠工業,1239926,1189222,1162677,4.263627817177953,6.644063656544337,9743588,9602108,1.4734264601064684,-
2017,08,國內上市,1307,三芳,塑膠工業,928557,770144,933705,20.569270162463123,-0.5513518723793918,6756124,7302889,-7.486968513419826,-
2017,08,國內上市,1308,亞聚,塑膠工業,641144,484002,491768,32.46722120982971,30.37529892144263,4221310,3573436,18.13028133146921,-
2017,08,國內上市,1309,台達化,塑膠工業,1621952,1581711,1362449,2.5441436520325142,19.0468046877351,12340420,10455755,18.025145003875856,-
2017,08,國內上市,1310,台苯,塑膠工業,1291990,1233931,1186674,4.705206368913659,8.874888975405208,9625178,9138758,5.322605106733322,-
2017,08,國內上市,1312,國喬,塑膠工業,2142768,1903108,1791530,12.593084575336764,19.60547688288781,15010303,12548212,19.621050393474384,-
2017,08,國內上市,1313,聯成,塑膠工業,4307176,3968662,3156485,8.529675744621235,36.45482237362129,31423799,25822791,21.690172839953668,-
2017,08,國內上市,1314,中石化,塑膠工業,2852638,2667041,2726599,6.9589106429185,4.622571929352281,22020180,16670730,32.08887673185277,-
