年度,月份,市場別,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
2024,11,國內上市,1101,台泥,水泥工業,16502520,16272067,8786909,1.4162490850117566,87.80802213838791,138365933,99100658,39.6216087687329,2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。
2024,11,國內上市,1102,亞泥,水泥工業,7193978,6572799,6915817,9.450753020136474,4.022098907475429,69204590,73861071,-6.304377850139757,-
2024,11,國內上市,1103,嘉泥,水泥工業,259190,228409,255428,13.476264070154851,1.472822086850306,2700778,2628002,2.7692520781947656,-
2024,11,國內上市,1104,環泥,水泥工業,682994,641942,777614,6.394970262110907,-12.167990802634726,7198374,7059882,1.9616758467067863,-
2024,11,國內上市,1108,幸福,水泥工業,410786,397720,503715,3.2852257869858192,-18.44872596607209,4363496,4645368,-6.067807760332443,-
2024,11,國內上市,1109,信大,水泥工業,378299,348562,532975,8.531337323058738,-29.021248651437684,4259037,5690702,-25.15796820849168,-
2024,11,國內上市,1110,東泥,水泥工業,290400,249922,229619,16.196253231008075,26.470370483278824,2612481,2062261,26.680425028645743,-
2024,11,國內上市,1201,味全,食品工業,1831315,2045868,1854759,-10.487137977621234,-1.26399170997418,21623595,19740018,9.541921390345236,-
2024,11,國內上市,1203,味王,食品工業,573608,537494,565727,6.718958723260166,1.3930747516028048,5629565,5788984,-2.753833833363505,-
2024,11,國內上市,1210,大成,食品工業,8968687,8604252,9371916,4.235522158114383,-4.302524691855966,94407978,101517687,-7.003419019978263,-
2024,11,國內上市,1213,大飲,食品工業,16519,18760,31,-11.945628997867804,53187.096774193546,174211,110350,57.87131853194381,"112年11月因產能不足,113年產能恢復及積極推展業務,致使11月營收成長"
2024,11,國內上市,1215,卜蜂,食品工業,2435339,2457728,2419018,-0.9109632961824904,0.674695268906639,25524129,26751822,-4.589193962190687,-
2024,11,國內上市,1216,統一,食品工業,51741861,54649449,48163404,-5.320434246281239,7.429825765637329,606191167,531816272,13.985073213404798,-
2024,11,國內上市,1217,愛之味,食品工業,362132,360149,308855,0.5506054438579588,17.2498421589419,4784199,4588973,4.254241635328864,-
2024,11,國內上市,1218,泰山,食品工業,841206,833404,978504,0.9361606135799684,-14.031419391233966,9952632,10458144,-4.833668383223639,-
2024,11,國內上市,1219,福壽,食品工業,1270951,1233040,1419631,3.074596120158308,-10.473144077580724,13077143,15100454,-13.399007738442831,-
2024,11,國內上市,1220,台榮,食品工業,397129,356483,338368,11.401946235865385,17.36600387743522,3168228,2982215,6.237410783595415,-
2024,11,國內上市,1225,福懋油,食品工業,1152454,1079648,1237270,6.743494175879546,-6.855092259571476,11789378,13362896,-11.775276856154534,-
2024,11,國內上市,1227,佳格,食品工業,2760180,2080184,2683145,32.689223645600585,2.8710710751748416,25627663,24840214,3.170057230585856,-
2024,11,國內上市,1229,聯華,食品工業,1110299,832906,1176212,33.30423841345842,-5.603836723311784,11717243,11663834,0.4579026073244869,-
2024,11,國內上市,1231,聯華食,食品工業,1016716,1048386,827389,-3.0208339294878037,22.88246520077013,10805122,9691289,11.493135742830496,-
2024,11,國內上市,1232,大統益,食品工業,1881431,1858530,1923822,1.2322104028452594,-2.203478284373502,20116308,21553923,-6.669853093564452,-
2024,11,國內上市,1233,天仁,食品工業,193364,161317,172074,19.86585418771735,12.372583888327116,2005457,1918256,4.545847895171447,-
2024,11,國內上市,1234,黑松,食品工業,818973,750036,892680,9.19115882437643,-8.256822153515257,9544742,9817643,-2.779699771116143,-
2024,11,國內上市,1235,興泰,食品工業,13168,14331,19326,-8.115274579582723,-31.86381041084549,101105,62163,62.64498174155044,增加子公司泰宇網通1-11月營收7438.6萬
2024,11,國內上市,1236,宏亞,食品工業,158057,133509,164750,18.386775423379696,-4.062518968133536,1712491,1711587,0.052816479676464,-
2024,11,國內上市,1256,鮮活果汁-KY,食品工業,193180,205949,228652,-6.200078660250838,-15.513531480153246,3768844,4355622,-13.471738364807598,-
2024,11,國內上市,1301,台塑,塑膠工業,18146582,15738889,16406350,15.297731625148382,10.607063728373465,183595063,184108629,-0.2789472730254267,-
2024,11,國內上市,1303,南亞,塑膠工業,21965473,22758378,20935267,-3.48401366740635,4.920911684575124,236183403,239421141,-1.3523191755234347,-
2024,11,國內上市,1304,台聚,塑膠工業,4496431,3957696,4180619,13.61233909830366,7.554192333719002,46842132,47913830,-2.2367195442318013,-
2024,11,國內上市,1305,華夏,塑膠工業,969641,827346,1174445,17.198971168048192,-17.43836450408491,10339660,12707152,-18.63117715126096,-
2024,11,國內上市,1307,三芳,塑膠工業,903107,855832,824541,5.523864496770394,9.528452799800132,9971684,9333161,6.841444179522886,-
2024,11,國內上市,1308,亞聚,塑膠工業,532717,465783,510512,14.370211021011931,4.3495549565925975,5476913,6089011,-10.052502779186964,-
2024,11,國內上市,1309,台達化,塑膠工業,1663667,1483350,1233538,12.15606566218357,34.86953786587847,17066339,13831365,23.388682172728437,-
2024,11,國內上市,1310,台苯,塑膠工業,963295,770033,865612,25.097885415300382,11.284848176781283,10425341,8702287,19.80001349070652,-
2024,11,國內上市,1312,國喬,塑膠工業,1317977,1045719,1220736,26.035483719813836,7.96576819230366,14988765,14504106,3.341529633057012,-
2024,11,國內上市,1313,聯成,塑膠工業,6239419,5332007,6642500,17.018207215406882,-6.068212269476853,66826083,66557361,0.4037449742035295,-
2024,11,國內上市,1314,中石化,塑膠工業,1773749,2138574,2315446,-17.059264724998993,-23.394931257304208,27922394,23592511,18.35278576324496,-
2024,11,國內上市,1315,達新,塑膠工業,250146,174748,173834,43.14670268043125,43.89935225560017,1949900,2003773,-2.688577997607513,-
2024,11,國內上市,1316,上曜,建材營造,165388,163565,97947,1.1145416195396325,68.85458462229573,1296662,798239,62.44032175827039,主因子公司營收上升，致本月及本年度營收較去年同期增加。
2024,11,國內上市,1319,東陽,汽車工業,2412005,2260509,2293925,6.701853432125243,5.1475091818607845,23347998,21723285,7.479131263987007,-
2024,11,國內上市,1321,大洋,塑膠工業,411176,430677,639086,-4.527987331573313,-35.66186710395784,4309747,4568678,-5.66752570437225,-
2024,11,國內上市,1323,永裕,塑膠工業,158089,189578,269150,-16.610049689309943,-41.26360765372469,2474437,3059329,-19.11830993005329,本月營收較去年同期減少主要係今年7月份精奕公司董事會暨營運團隊重組下，其已非本公司合併財務報告之子公司。
2024,11,國內上市,1324,地球,塑膠工業,67346,69989,66332,-3.776307705496578,1.5286739431948382,724580,854894,-15.243293320575416,-
2024,11,國內上市,1325,恆大,塑膠工業,25351,25070,26984,1.1208615875548464,-6.051734361102876,295266,367171,-19.583518306184317,-
2024,11,國內上市,1326,台化,塑膠工業,27254315,26730525,28737570,1.9595200618020037,-5.161379337223015,321300333,303925514,5.716801716094161,-
2024,11,國內上市,1337,再生-KY,塑膠工業,64492,55125,69697,16.992290249433108,-7.468040231286856,737160,685142,7.592294735981738,-
2024,11,國內上市,1338,廣華-KY,汽車工業,453750,440365,553245,3.0395240312013896,-17.983895019385624,4577330,5215269,-12.232139895372606,-
2024,11,國內上市,1339,昭輝,汽車工業,177766,142837,202378,24.453747978464964,-12.161400942790223,1751276,1897632,-7.71255965329421,-
