年度,月份,市場別,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
2020,09,國內上市,1101,台泥,水泥工業,9745147,9885013,10120251,-1.4149298539111683,-3.706469335592566,82248492,87561867,-6.06813808572629,-
2020,09,國內上市,1102,亞泥,水泥工業,7256519,6683133,7394901,8.579598819894802,-1.871316465223808,54564173,66209267,-17.588314336722682,-
2020,09,國內上市,1103,嘉泥,水泥工業,163492,152585,151142,7.148146934495527,8.171123843802517,1481525,1362993,8.696449651612298,-
2020,09,國內上市,1104,環泥,水泥工業,450890,366990,391206,22.86165835581351,15.25641222271642,3886551,3551356,9.438507432090727,-
2020,09,國內上市,1108,幸福,水泥工業,380768,366847,312444,3.7947700267413937,21.867598673682323,3358346,2659636,26.27088819673068,-
2020,09,國內上市,1109,信大,水泥工業,675602,625696,722519,7.97607783971769,-6.493531657991001,5213429,5620429,-7.24144011071041,-
2020,09,國內上市,1110,東泥,水泥工業,143254,98636,121926,45.23500547467456,17.492577465019767,1137024,1138816,-0.1573564122738001,-
2020,09,國內上市,1201,味全,食品工業,1770907,1860519,1797271,-4.8165055019594,-1.4668906358584766,13942044,15432811,-9.659724336674634,-
2020,09,國內上市,1203,味王,食品工業,540372,509509,540815,6.057400359954388,-0.0819134084668509,4591387,4744857,-3.234449425978486,-
2020,09,國內上市,1210,大成,食品工業,7188625,6771132,6685601,6.165778484306612,7.523990737706303,57304544,57342218,-0.0657002838641505,-
2020,09,國內上市,1213,大飲,食品工業,41327,64820,13552,-36.24344338167232,204.9512987012987,326544,354982,-8.011110422500296,本月營收增加204.95%，主係因去年同期西打2000ml不良品預防性回收退換貨營收減少比較基期較低所致。
2020,09,國內上市,1215,卜蜂,食品工業,1920517,1892166,1808855,1.4983357696946251,6.173076338346633,16366708,15575358,5.080782091814519,-
2020,09,國內上市,1216,統一,食品工業,40353475,41212854,39494107,-2.0852207905815017,2.1759398180594385,340812432,343355145,-0.7405489729883034,-
2020,09,國內上市,1217,愛之味,食品工業,565045,639670,441377,-11.66617161974143,28.018677910267183,3785349,3614466,4.727752315279767,-
2020,09,國內上市,1218,泰山,食品工業,819145,853882,782187,-4.068126509283484,4.72495707548195,6429624,6196441,3.7631763136290655,-
2020,09,國內上市,1219,福壽,食品工業,1086298,975254,994450,11.386161963960156,9.236060133742267,8959094,9044740,-0.9469150025318585,-
2020,09,國內上市,1220,台榮,食品工業,287415,260431,229760,10.361285714834256,25.09357590529248,2055881,2075508,-0.9456480052112544,-
2020,09,國內上市,1225,福懋油,食品工業,835861,826403,837263,1.1444779363095243,-0.1674503710303692,7489528,7838370,-4.45044058905104,-
2020,09,國內上市,1227,佳格,食品工業,3958750,3167337,2745482,24.986700183782148,44.19143888031319,24224530,21404896,13.172846062882062,-
2020,09,國內上市,1229,聯華,食品工業,915901,701837,788561,30.50052932518519,16.148401962562186,7099771,5976587,18.79306701299588,-
2020,09,國內上市,1231,聯華食,食品工業,694394,900089,586266,-22.852740117921677,18.443505166596733,6485644,6316123,2.683940765561405,-
2020,09,國內上市,1232,大統益,食品工業,1537742,1457410,1451185,5.511969864348399,5.964573779359627,12485761,12609329,-0.9799728439158024,-
2020,09,國內上市,1233,天仁,食品工業,180532,170359,193774,5.971507228852013,-6.833734143899594,1419303,1682302,-15.633281063685354,-
2020,09,國內上市,1234,黑松,食品工業,876580,983169,749900,-10.841371117274852,16.892919055874117,6869017,6751799,1.7361002600936433,-
2020,09,國內上市,1235,興泰,食品工業,28185,9481,24344,197.27876806244063,15.778015116661187,55355,47868,15.64092922202724,-
2020,09,國內上市,1236,宏亞,食品工業,193049,146991,139678,31.333891190617116,38.21002591675138,1149808,1276027,-9.891561855666064,-
2020,09,國內上市,1256,鮮活果汁-KY,食品工業,570729,469741,396308,21.49865564215174,44.01147592276714,2707216,2837146,-4.579602177681374,-
2020,09,國內上市,1301,台塑,塑膠工業,15836081,14622498,15254406,8.299423258597812,3.813160604221495,131178144,159296860,-17.651770411544835,-
