年度,月份,市場別,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
2017,11,國內上市,1101,台泥,水泥工業,9985897,8387381,8866988,19.0585833646999,12.618817122567435,87325356,80153087,8.948213061338485,-
2017,11,國內上市,1102,亞泥,水泥工業,6639248,5840273,5331778,13.680439253439008,24.522213790596684,57828557,54948656,5.241076324050582,-
2017,11,國內上市,1103,嘉泥,水泥工業,181868,167398,353438,8.64406982162272,-48.54316740135469,1914494,2757087,-30.56098701274207,-
2017,11,國內上市,1104,環泥,水泥工業,381565,336159,410515,13.50729862951758,-7.0521174622121,4005579,4158357,-3.673999129944832,-
2017,11,國內上市,1108,幸福,水泥工業,258913,259826,339521,-0.351389006488958,-23.741683135947408,3111700,3897193,-20.15535283985166,-
2017,11,國內上市,1109,信大,水泥工業,673172,377596,441025,78.27837159291941,52.63805906694632,4794176,3831697,25.1188703073338,大陸子公司水泥售價持續上漲
2017,11,國內上市,1110,東泥,水泥工業,183382,170205,137849,7.741840721482918,33.03107022901871,1495201,1336085,11.90912254834086,-
2017,11,國內上市,1201,味全,食品工業,1642814,1559834,1296935,5.319796850177647,26.66895411103872,16371979,16120185,1.561979592665965,-
2017,11,國內上市,1203,味王,食品工業,493888,513465,523133,-3.812723359917424,-5.590356563244911,5651822,5785545,-2.3113293561799275,-
2017,11,國內上市,1210,大成,食品工業,6490644,6551300,6915358,-0.925862042648024,-6.1416053948327765,69341688,68630503,1.0362520583595314,-
2017,11,國內上市,1213,大飲,食品工業,32994,42390,46399,-22.1656050955414,-28.89070885148387,611375,621126,-1.5698908112041678,-
2017,11,國內上市,1215,卜蜂,食品工業,1699007,1689595,1581359,0.5570565727289676,7.439676885514295,18148130,16449250,10.32800887578461,-
2017,11,國內上市,1216,統一,食品工業,31140541,33118533,30631842,-5.972462608775576,1.6606869413860257,369297465,383599821,-3.7284574228203295,-
2017,11,國內上市,1217,愛之味,食品工業,253185,261965,246358,-3.35159277002653,2.771170410540758,3887061,3817744,1.8156534330222247,-
2017,11,國內上市,1218,泰山,食品工業,546892,646029,651496,-15.345595940739502,-16.055969645247245,7113767,7512553,-5.3082620515289545,-
2017,11,國內上市,1219,福壽,食品工業,917403,911115,1037996,0.6901433957294085,-11.617867506233164,9846105,9950674,-1.0508735388175716,-
2017,11,國內上市,1220,台榮,食品工業,253547,187754,295492,35.04212959510849,-14.194969745373816,2141129,2675210,-19.964077586432467,-
2017,11,國內上市,1225,福懋油,食品工業,950447,874672,1014391,8.663247480198292,-6.303683688045339,9795240,9883940,-0.8974154031691816,-
2017,11,國內上市,1227,佳格,食品工業,2291703,2094827,2480981,9.398198514722218,-7.629159594531357,23757252,23911014,-0.6430593031311846,-
2017,11,國內上市,1229,聯華,食品工業,413675,407067,447559,1.6233199940059009,-7.570845408091447,4400241,4792017,-8.175597039826862,-
2017,11,國內上市,1231,聯華食,食品工業,557274,575902,532061,-3.234578105302638,4.738742362247938,6445818,5997780,7.470063923651751,-
2017,11,國內上市,1232,大統益,食品工業,1405095,1359056,1584245,3.387571961714602,-11.308225684789916,15464245,15832425,-2.3254807775814506,-
2017,11,國內上市,1233,天仁,食品工業,189012,163721,191494,15.44762125811594,-1.296124160548111,1961920,1951524,0.5327118703126377,-
2017,11,國內上市,1234,黑松,食品工業,691728,753622,629172,-8.212870643372938,9.942591215120826,8491675,8077576,5.126525581436807,-
2017,11,國內上市,1235,興泰,食品工業,4264,5169,5070,-17.50822209324821,-15.897435897435898,73151,114382,-36.04675560839992,-
2017,11,國內上市,1236,宏亞,食品工業,165377,155260,170042,6.516166430503671,-2.743439856035568,1611032,1802550,-10.624837036420626,-
2017,11,國內上市,1256,鮮活果汁-KY,食品工業,151745,172155,137480,-11.855595248467951,10.376054698865287,2728882,2475079,10.254339356440743,-
2017,11,國內上市,1301,台塑,塑膠工業,18616550,16581143,17420621,12.275432399322533,6.86501933541864,188839533,162279497,16.366846392184712,-
2017,11,國內上市,1303,南亞,塑膠工業,27390672,26062520,24350119,5.096022947896059,12.486809612716884,278096447,249733633,11.357226361256677,-
2017,11,國內上市,1304,台聚,塑膠工業,5204398,4754780,4990324,9.456126256104383,4.289781585323919,52812888,48142630,9.70087841067262,-
2017,11,國內上市,1305,華夏,塑膠工業,1184875,1090093,1286253,8.694854475719044,-7.881653142888685,13202953,12977682,1.7358338723355988,-
2017,11,國內上市,1307,三芳,塑膠工業,712095,782311,922743,-8.975458609172055,-22.828458194751956,9147472,10182744,-10.166925535985191,-
2017,11,國內上市,1308,亞聚,塑膠工業,548296,574113,569210,-4.496849923272944,-3.674215140282145,5929311,5059014,17.202897639737703,-
