年度,月份,市場別,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
2017,05,國內上市,1101,台泥,水泥工業,8485032,8370478,7866517,1.368547889379794,7.862628403396319,38035282,32853698,15.771691819898022,-
2017,05,國內上市,1102,亞泥,水泥工業,5741517,5218646,5339750,10.019284695685432,7.524078842642446,23480707,23897251,-1.7430624133294663,-
2017,05,國內上市,1103,嘉泥,水泥工業,183810,132940,342029,38.26538287949451,-46.258942955129534,915256,1084260,-15.587036319701916,-
2017,05,國內上市,1104,環泥,水泥工業,381948,358213,421157,6.625946015359577,-9.309829825931898,1840816,1954678,-5.825102651178352,-
2017,05,國內上市,1108,幸福,水泥工業,332953,292915,391241,13.66881177133298,-14.898234080783968,1518293,1765261,-13.99045240335565,-
2017,05,國內上市,1109,信大,水泥工業,447188,481754,394265,-7.175031240010462,13.423205204621258,1898944,1681137,12.95593398991278,-
2017,05,國內上市,1110,東泥,水泥工業,110025,113910,138201,-3.410587305767711,-20.38769618164847,576602,668166,-13.703780198333948,-
2017,05,國內上市,1201,味全,食品工業,1476996,1331729,1635617,10.908150231766372,-9.697930505735757,6416603,6478713,-0.9586780584353712,-
2017,05,國內上市,1203,味王,食品工業,501143,456889,535793,9.685941224236084,-6.4670497748197535,2523064,2600056,-2.9611669902494406,-
2017,05,國內上市,1210,大成,食品工業,5986895,6297791,6019684,-4.936588083027843,-0.5446963661215439,30795562,29771678,3.439120898727979,-
2017,05,國內上市,1213,大飲,食品工業,49849,35724,46454,39.53924532527152,7.308304989882465,248773,242208,2.710480248381556,-
2017,05,國內上市,1215,卜蜂,食品工業,1617758,1525910,1471665,6.019227870582144,9.927055410028776,7926003,7077180,11.99380261629632,-
2017,05,國內上市,1216,統一,食品工業,33849168,32149960,35180192,5.285256964549878,-3.783447230759855,162128280,175700493,-7.724630004310802,-
2017,05,國內上市,1217,愛之味,食品工業,316091,271972,324102,16.221890488726782,-2.471752719822772,1522479,1509050,0.8898976177065041,-
2017,05,國內上市,1218,泰山,食品工業,675297,584450,694823,15.544015741295237,-2.8102120971815845,3127132,3149401,-0.707086839687928,-
2017,05,國內上市,1219,福壽,食品工業,824973,836562,877293,-1.3853127443034707,-5.963800007523142,4489939,4370919,2.7229971546029565,-
2017,05,國內上市,1220,台榮,食品工業,192649,155625,275259,23.790522088353413,-30.01173440287148,845185,1165540,-27.485543181701185,-
2017,05,國內上市,1225,福懋油,食品工業,865153,892975,887891,-3.1156527338391333,-2.5608999302842355,4389330,4359587,0.6822435244439439,-
2017,05,國內上市,1227,佳格,食品工業,1880018,1712813,1721994,9.762011381277466,9.176803171207332,10084011,10786671,-6.514150658715743,-
2017,05,國內上市,1229,聯華,食品工業,394054,402503,452984,-2.0991147892065403,-13.00928951132932,1948772,2211020,-11.860951054264548,-
2017,05,國內上市,1231,聯華食,食品工業,549624,499142,486314,10.113755203929944,13.01833794626517,2811662,2642664,6.394986271429134,-
2017,05,國內上市,1232,大統益,食品工業,1394449,1340101,1427668,4.055515218629044,-2.326801469249153,7123251,6726522,5.89798115578898,-
2017,05,國內上市,1233,天仁,食品工業,194381,166068,172892,17.049040152226798,12.429146519214306,910628,902883,0.8578077115196543,-
2017,05,國內上市,1234,黑松,食品工業,811723,517614,737073,56.82014010440212,10.127897779460108,3538977,3092773,14.42731167143531,-
2017,05,國內上市,1235,興泰,食品工業,4817,4245,9918,13.47467608951708,-51.43174027021577,19673,34677,-43.26787207659255,"本公司轉型以生產水產飼料為主,1-5月逄水產淡季營收較低"
2017,05,國內上市,1236,宏亞,食品工業,114563,117521,113256,-2.5169969622450457,1.154022744931836,679850,832601,-18.346242678065483,-
2017,05,國內上市,1256,鮮活果汁-KY,食品工業,278124,226345,262424,22.87614040513376,5.982684510563058,1126106,1039670,8.313791876268432,-
2017,05,國內上市,1301,台塑,塑膠工業,17871121,16546119,14891679,8.007932252874527,20.007428309460604,82213237,72877244,12.810573627070749,-
2017,05,國內上市,1303,南亞,塑膠工業,24608089,24262987,23324617,1.422339302246669,5.50264983986661,121547229,112412364,8.126210209403656,-
2017,05,國內上市,1304,台聚,塑膠工業,4476009,4640413,4302748,-3.542874308816909,4.026752205799642,23017362,21518223,6.966834575513043,-
2017,05,國內上市,1305,華夏,塑膠工業,1153453,1155362,1116532,-0.1652295990347614,3.306756993977781,6000009,6117071,-1.913693661557958,-
