年度,月份,市場別,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
2017,02,國內上市,1101,台泥,水泥工業,5964991,6131670,3632053,-2.718329590470459,64.23193714408903,12096661,10207643,18.50591757568324,本期較同期增加係因銷量及銷價增加
2017,02,國內上市,1102,亞泥,水泥工業,3049461,4162130,2595177,-26.733163067948382,17.504933189528114,7211591,7661239,-5.869129001196804,-
2017,02,國內上市,1103,嘉泥,水泥工業,171513,232657,143549,-26.280748054002245,19.48045615086138,404170,340877,18.5676945056428,-
2017,02,國內上市,1104,環泥,水泥工業,308357,363865,298112,-15.255108350624544,3.436627844568484,672222,671423,0.1190009874550022,-
2017,02,國內上市,1108,幸福,水泥工業,232100,316773,249352,-26.729866497460325,-6.918733356860984,548873,597618,-8.156548162873273,-
2017,02,國內上市,1109,信大,水泥工業,174572,333060,137176,-47.58542004443644,27.2613285122762,507632,475934,6.6601671660356265,-
2017,02,國內上市,1110,東泥,水泥工業,115850,104003,99952,11.391017566800958,15.905634704658237,219853,240414,-8.552330563111965,-
2017,02,國內上市,1201,味全,食品工業,1127074,1213521,1063098,-7.123650929814977,6.01788358175822,2340595,2276199,2.829102376373946,-
2017,02,國內上市,1203,味王,食品工業,472692,543487,481019,-13.026070540785703,-1.7311166502778477,1016180,1033790,-1.7034407374805327,-
2017,02,國內上市,1210,大成,食品工業,5549618,6274308,5436415,-11.550118355681615,2.082309757441255,11823926,11732889,0.7759129060199922,-
2017,02,國內上市,1213,大飲,食品工業,46859,78483,40460,-40.294076424193776,15.815620365793375,125342,116584,7.512180059013244,-
2017,02,國內上市,1215,卜蜂,食品工業,1415146,1647288,1272939,-14.092374860983629,11.171548675938125,3062434,2695272,13.622447010913929,-
2017,02,國內上市,1216,統一,食品工業,28430863,34772056,30528301,-18.236462635398954,-6.870470780539015,63202919,70925174,-10.887890102321077,-
2017,02,國內上市,1217,愛之味,食品工業,257183,391125,277750,-34.245317992969,-7.404860486048605,648308,641127,1.120058896287319,-
2017,02,國內上市,1218,泰山,食品工業,526314,699446,505213,-24.75273287716278,4.176654203276637,1225760,1230401,-0.3771941017603204,-
2017,02,國內上市,1219,福壽,食品工業,856122,1008902,856686,-15.14319527565611,-0.0658350901030249,1865024,1756047,6.205813397932971,-
2017,02,國內上市,1220,台榮,食品工業,132487,191334,160753,-30.75616461266685,-17.583497664118244,323821,404177,-19.881388599549208,-
2017,02,國內上市,1225,福懋油,食品工業,767569,889754,734483,-13.73244739557226,4.504665186260268,1657323,1671764,-0.8638180987268538,-
2017,02,國內上市,1227,佳格,食品工業,1414397,3473609,1656304,-59.281628991633774,-14.605229474782409,4888004,5961810,-18.011409286777003,-
2017,02,國內上市,1229,聯華,食品工業,332673,395780,351095,-15.9449694274597,-5.247012916731939,728453,842604,-13.547407797731791,-
2017,02,國內上市,1231,聯華食,食品工業,503680,681056,445400,-26.044260677536062,13.08486753480018,1184736,1176583,0.6929387896986443,-
2017,02,國內上市,1232,大統益,食品工業,1254503,1604792,1132783,-21.82768857272469,10.745217751325717,2859294,2525039,13.237617319970107,-
2017,02,國內上市,1233,天仁,食品工業,148173,240083,178691,-38.28259393626371,-17.078644139883934,388256,397724,-2.380545302772777,-
2017,02,國內上市,1234,黑松,食品工業,654021,940172,560719,-30.4360265993882,16.639707233034727,1594193,1254262,27.10207277267429,-
2017,02,國內上市,1235,興泰,食品工業,2819,3561,8100,-20.83684358326313,-65.19753086419753,6380,12662,-49.61301532143421,"公司轉型以生產水產飼料為主,1-2月天氣寒冷為水產淡季,故營收較低"
2017,02,國內上市,1236,宏亞,食品工業,106142,224932,132389,-52.81151636939164,-19.825665274305265,331074,462777,-28.45927952339896,-
2017,02,國內上市,1256,鮮活果汁-KY,食品工業,213094,210190,94528,1.3816071173699986,125.42950236966824,423416,323617,30.83861478228894,客戶需求增加及出貨天數增加
2017,02,國內上市,1301,台塑,塑膠工業,14967527,14807514,11162684,1.0806202850795887,34.085377674401606,29775042,25321136,17.589676861259306,-
2017,02,國內上市,1303,南亞,塑膠工業,22900325,23998463,18590104,-4.575868046216127,23.18556690161604,46898788,39739361,18.015959038697176,-
2017,02,國內上市,1304,台聚,塑膠工業,4465094,4301214,3514039,3.810087105640408,27.06444066215543,8766308,7746046,13.171390926415878,-
2017,02,國內上市,1305,華夏,塑膠工業,1234618,1075589,1165411,14.785294382891609,5.938420008048663,2310207,2363562,-2.2573979442891705,-
2017,02,國內上市,1307,三芳,塑膠工業,871533,740752,801458,17.65516664146705,8.743440080453373,1612285,1772739,-9.05119140493891,-
2017,02,國內上市,1308,亞聚,塑膠工業,539426,419813,388190,28.491971425372725,38.95927252118808,959239,820123,16.96282143044397,-
2017,02,國內上市,1309,台達化,塑膠工業,1386209,1496922,864510,-7.396043347615975,60.34620767833802,2883131,2120799,35.945509216102046,"106/2因主要原料苯乙烯價格上揚,帶動售價上揚及105/2春節連續假期影響,本期銷售量相對增加,致合併營收較去年同期增加達50%以上."
2017,02,國內上市,1310,台苯,塑膠工業,1161500,1241722,1075117,-6.460544308629467,8.034753426836335,2403222,2183966,10.039350429448078,-
2017,02,國內上市,1312,國喬,塑膠工業,1630348,2003644,1360733,-18.630854582949866,19.813953214921664,3633992,2772365,31.07913279817052,-
2017,02,國內上市,1313,聯成,塑膠工業,3346134,3014388,2146450,11.005418015199105,55.891541848167904,6317492,5391692,17.17086213381625,去年2月逢農曆春節長假銷量較少
2017,02,國內上市,1314,中石化,塑膠工業,2820972,3039280,1510970,-7.182885420231107,86.69940501796859,5860252,3371202,73.83271604608683,CPL銷售量較去年同期大幅成長
2017,02,國內上市,1315,達新,塑膠工業,164251,282101,188592,-41.77581788082991,-12.90669805718164,446352,447260,-0.2030139068997898,-
2017,02,國內上市,1316,上曜,建材營造,43091,45334,30066,-4.947721357038867,43.321359675380826,88425,73376,20.509430876580897,-
2017,02,國內上市,1319,東陽,汽車工業,1875930,1928354,1576356,-2.718587977103789,19.00420970897437,3804284,3714880,2.4066457059178226,-
2017,02,國內上市,1321,大洋,塑膠工業,305541,340518,238590,-10.2717036984829,28.061109015465863,645738,570177,13.25220063243519,-
2017,02,國內上市,1323,永裕,塑膠工業,219747,223216,203247,-1.5541000645115046,8.118201006656925,442963,466455,-5.036284314671297,-
2017,02,國內上市,1324,地球,塑膠工業,79878,87286,72525,-8.487042595605251,10.138572905894518,167164,170538,-1.9784446868146688,-
2017,02,國內上市,1325,恆大,塑膠工業,59603,99204,70333,-39.91875327607758,-15.255996473916936,158807,157720,0.6891960436216079,-
2017,02,國內上市,1326,台化,塑膠工業,29675702,30067100,22401462,-1.3017484226945732,32.47216632557286,59742802,47031277,27.02781172622636,-
2017,02,國內上市,1337,再生-KY,塑膠工業,230504,351534,220167,-34.42910216365985,4.695072376877552,582038,752954,-22.699394650934853,-
2017,02,國內上市,1338,廣華-KY,汽車工業,530112,583600,477653,-9.165181631254285,10.982658959537572,1106575,1188035,-6.856700349737171,-
2017,02,國內上市,1339,昭輝,汽車工業,213972,211968,135712,0.9454257246376812,57.66623437868427,425909,337073,26.35512188754365,昭輝及子公司常熟冠林106年2月份營收較去年同期成長
2017,02,國內上市,1340,勝悅-KY,塑膠工業,95877,176643,68491,-45.72272889387069,39.98481552320743,272520,385169,-29.246642382953976,-
2017,02,國內上市,1402,遠東新,紡織纖維,16342337,16392590,15158546,-0.306559244146288,7.809396758765649,32734927,32999976,-0.8031793720092403,-
2017,02,國內上市,1409,新纖,紡織纖維,2910900,2524038,2391132,15.327106802670958,21.73731939516513,5434938,5424493,0.1925525574463825,-
2017,02,國內上市,1410,南染,紡織纖維,43418,39339,38724,10.368845166374337,12.121681644458215,82757,85614,-3.337071039783213,-
2017,02,國內上市,1413,宏洲,紡織纖維,230988,203172,119043,13.690862914181087,94.03744865300774,434160,273642,58.659854846843686,景氣回溫，出貨增加
2017,02,國內上市,1414,東和,紡織纖維,107775,34364,66765,213.62763357001512,61.4243990114581,142139,121441,17.04366729522978,1月底春節，出口之貨物交期遞延至2月，致2月營收較去年同期增加。
2017,02,國內上市,1416,廣豐,其他,25619,32110,587688,-20.214886328246653,-95.64071412041764,57730,608219,-90.50835307677004,"去年2月子公司寶豐預售案(廣豐公園NO.2)完工交屋36戶572,033仟元，本年交屋金額為0。"
2017,02,國內上市,1417,嘉裕,紡織纖維,230993,248204,330009,-6.934215403458445,-30.004030193115945,479197,654590,-26.794329274813244,-
2017,02,國內上市,1418,東華,紡織纖維,111792,91944,147281,21.587052988775778,-24.09611558856879,203736,297396,-31.493362385506195,-
2017,02,國內上市,1419,新紡,紡織纖維,97530,129255,104101,-24.54450504816061,-6.312139172534366,226785,200787,12.948049425510616,-
2017,02,國內上市,1423,利華,紡織纖維,50473,35349,36699,42.78480296472319,37.53235782991362,85822,91032,-5.7232621495737765,-
2017,02,國內上市,1432,大魯閣,運動休閒,108129,108301,48283,-0.1588166314253792,123.94838763125738,216430,93702,130.9769268532155,105/5月增加一個購物中心
2017,02,國內上市,1434,福懋,紡織纖維,3198296,3158639,3058649,1.2555090974308871,4.5656431973724345,6356935,6539393,-2.790136638064114,-
2017,02,國內上市,1435,中福,其他,2801,2684,1757,4.359165424739195,59.41946499715424,5485,3675,49.25170068027211,本月相較去年本月，倉儲收入增加
2017,02,國內上市,1436,華友聯,建材營造,119368,75102,49647,58.94117333759421,140.43346022921827,194470,64474,201.62546142631135,累計營收較去年增加之原因，係今年銷售狀況較去年增加
2017,02,國內上市,1437,勤益控,其他,40188,90559,42876,-55.62230148301108,-6.269241533725161,130747,121666,7.46387651439186,-
2017,02,國內上市,1438,三地開發,建材營造,2,2,1,0.0,100.0,4,6,-33.333333333333336,106年2月銷售商品2仟元，105年2月銷售商品1仟元，故營業收入變化大。
2017,02,國內上市,1439,雋揚,建材營造,25776,25776,36354,0.0,-29.097210760851624,51552,83974,-38.609569628694594,-
2017,02,國內上市,1440,南紡,紡織纖維,1727052,1327130,1239596,30.13435006367123,39.32377968305803,3054182,2451055,24.606832568016628,-
2017,02,國內上市,1441,大東,紡織纖維,132780,99431,106822,33.53984169926884,24.30023777873472,232230,243127,-4.482019685185109,-
2017,02,國內上市,1442,名軒,建材營造,145217,148456,31719,-2.1817912378078352,357.8233866137016,293673,111359,163.71734659973598,本月認收14戶，去年同期認收2戶；本月累計認收30戶，去年同期累計認收9戶，故兩期差異大。
2017,02,國內上市,1443,立益物流,其他,86518,136543,64332,-36.63681038207744,34.48672511347385,223060,159867,39.52848305153659,-
2017,02,國內上市,1444,力麗,紡織纖維,809977,669770,722265,20.93360407304,12.144019161941946,1479747,1467160,0.8579159737179313,-
2017,02,國內上市,1445,大宇,紡織纖維,113416,116570,110602,-2.705670412627606,2.544257789190069,229986,252192,-8.805196041111534,-
2017,02,國內上市,1446,宏和,紡織纖維,33409,48971,86459,-31.77799105593106,-61.358563018309255,82380,160132,-48.55494217270751,因本月成衣銷售額比上期減少所致
2017,02,國內上市,1447,力鵬,紡織纖維,1549027,1336833,873174,15.87288763817171,77.40186950138231,2885860,1836072,57.175753456291474,"因尼龍粒原料價格上漲下游需求大增故數量較去年同期增加約4仟噸,銷售單價增加約30%~40%"
2017,02,國內上市,1449,佳和,紡織纖維,187151,153441,190487,21.96935629981557,-1.751300613690173,340592,386983,-11.987865100017313,-
2017,02,國內上市,1451,年興,紡織纖維,754009,855384,847948,-11.851402411080873,-11.078391599484874,1609393,1984435,-18.899182890848024,-
2017,02,國內上市,1452,宏益,紡織纖維,183200,147639,152008,24.08645412120104,20.519972633019314,330838,314236,5.28329026591479,-
2017,02,國內上市,1453,大將,建材營造,962,1062,3361,-9.416195856873824,-71.37756620053555,2024,4894,-58.643236616264815,本月及本年累計營收減少，係因紡紗產品產業景氣不佳，出貨量減少所致。
2017,02,國內上市,1454,台富,紡織纖維,142465,135401,108452,5.21709588555476,31.36226164570501,277865,238578,16.467151204218325,-
2017,02,國內上市,1455,集盛,紡織纖維,1356846,1287085,808503,5.420077151081708,67.82201179216403,2643930,1777854,48.71468635782241,除因價格呈上漲趨勢提昇銷量，主係受原料CPL大幅上漲，售價也同步大幅提昇所致。
2017,02,國內上市,1456,怡華,建材營造,99033,47594,32620,108.07874942219608,203.5959534028204,146627,68645,113.6018646660354,建設業完工交屋
2017,02,國內上市,1457,宜進,紡織纖維,368323,328621,286213,12.081394676542278,28.688424355287847,696944,717784,-2.90338040413272,-
2017,02,國內上市,1459,聯發,紡織纖維,282359,186820,198762,51.13959961460229,42.05884424588201,468524,465092,0.7379185193467099,-
2017,02,國內上市,1460,宏遠,紡織纖維,636071,737997,635145,-13.811167254067428,0.1457934802289241,1374076,1357463,1.2238270951031447,-
2017,02,國內上市,1463,強盛新,紡織纖維,66401,227948,36182,-70.87011072700791,83.51942955060527,294349,73449,300.75290337513104,子公司保強建設建案交屋入帳
2017,02,國內上市,1464,得力,紡織纖維,603760,547238,496957,10.32859560191361,21.49139663995074,1150998,1152994,-0.1731145175083304,-
2017,02,國內上市,1465,偉全,紡織纖維,97456,142722,46903,-31.716203528538,107.78201820779054,240178,229430,4.684653271150242,因春節時段不同致影響月份營收差異
2017,02,國內上市,1466,聚隆,紡織纖維,270046,268682,260272,0.507663334350645,3.755302145447839,538728,509654,5.704654530328419,-
2017,02,國內上市,1467,南緯,紡織纖維,519754,523722,583267,-0.757653869801154,-10.88918111259509,1043476,1193739,-12.587592430171084,-
2017,02,國內上市,1468,昶和,紡織纖維,38017,60479,23810,-37.14016435456936,59.668206635867286,98496,81932,20.21676512229654,因比較基期數據偏低及二月因春節假日故工作天數減少所致，較不具代表性。
2017,02,國內上市,1470,大統新創,紡織纖維,58106,47341,50908,22.739274624532648,14.139231554961892,105447,109982,-4.123402011238203,-
2017,02,國內上市,1471,首利,電子零組件業,85619,77782,58630,10.075595896222776,46.03274774006481,163401,157228,3.926145470272471,-
2017,02,國內上市,1472,三洋實業,建材營造,46692,52101,36783,-10.38175850751425,26.939075116222167,98793,74693,32.26540639685111,-
2017,02,國內上市,1473,台南,紡織纖維,616554,764222,801150,-19.32265755238661,-23.041378019097547,1380776,1808676,-23.658189747638605,-
2017,02,國內上市,1474,弘裕,紡織纖維,243096,209404,222918,16.089472980458826,9.051758942750247,452500,516261,-12.350535872359137,-
2017,02,國內上市,1475,業旺,紡織纖維,15711,15663,15818,0.3064547021643363,-0.6764445568339866,31374,27186,15.404987861399247,-
2017,02,國內上市,1476,儒鴻,紡織纖維,1428118,1942609,1814649,-26.484537032413627,-21.300593117456877,3370727,3781753,-10.868663289220637,-
2017,02,國內上市,1477,聚陽,紡織纖維,1619254,1805828,1770940,-10.331770246114248,-8.565281714795532,3425082,4112852,-16.722459256982745,-
2017,02,國內上市,1503,士電,電機機械,1526990,1722035,1317803,-11.32642484037781,15.873920457003058,3249026,3142127,3.4021221930240246,-
2017,02,國內上市,1504,東元,電機機械,3689301,3952621,3539829,-6.661908642391972,4.222576853288675,7641922,7248631,5.425727975392871,-
2017,02,國內上市,1506,正道,電機機械,110119,110090,132220,0.0263420837496593,-16.715322946604143,220209,276869,-20.4645518277597,-
2017,02,國內上市,1512,瑞利,汽車工業,192830,293947,291431,-34.39973872841022,-33.83339452563386,486777,681368,-28.558869803101995,-
2017,02,國內上市,1513,中興電,電機機械,698395,789341,478828,-11.521763090983493,45.85508783947472,1487736,1941789,-23.38323061877475,-
2017,02,國內上市,1514,亞力,電機機械,240915,223582,374713,7.752412984945121,-35.70679426654533,464497,701612,-33.79574465659082,-
2017,02,國內上市,1515,力山,電機機械,218403,291766,201910,-25.144465085033897,8.168490911792382,510169,509933,0.0462805898029741,-
2017,02,國內上市,1516,川飛,其他,149857,72877,60594,105.63003416715836,147.31326533980263,222734,118779,87.51967940460855,主係積極擴展業務所致
2017,02,國內上市,1517,利奇,電機機械,201709,212859,162069,-5.238209331059528,24.458718200272724,414568,437229,-5.182867559105183,-
2017,02,國內上市,1519,華城,電機機械,277964,157204,267458,76.81738378158316,3.928093382886285,435168,606898,-28.296352929157784,-
2017,02,國內上市,1521,大億,汽車工業,401382,430627,406884,-6.791260185729181,-1.352228153478633,832009,936721,-11.17856864530634,-
2017,02,國內上市,1522,堤維西,汽車工業,1220347,1331807,1195449,-8.369080504907993,2.082732094802873,2552154,2549391,0.1083788245898726,-
2017,02,國內上市,1524,耿鼎,汽車工業,200841,205189,175305,-2.1190219748622003,14.566612475400015,406030,384187,5.685512523849063,-
2017,02,國內上市,1525,江申,汽車工業,75650,77032,65528,-1.7940596115899885,15.446831888658284,152682,149966,1.8110771774935648,-
