公司代號,年度,月份,加權(A/B)平均價,year_quarter
1108,106,6,9.48,2017Q2
1108,106,9,8.76,2017Q3
1108,106,12,8.38,2017Q4
1108,107,3,8.16,2018Q1
1108,107,6,8.03,2018Q2
1108,107,9,7.82,2018Q3
1108,107,12,7.29,2018Q4
1108,108,3,7.43,2019Q1
1108,108,6,6.9,2019Q2
1108,108,9,6.95,2019Q3
1108,108,12,8.23,2019Q4
1108,109,3,6.52,2020Q1
1108,109,6,10.05,2020Q2
1108,109,9,11.48,2020Q3
1108,109,12,12.19,2020Q4
1108,110,3,12.79,2021Q1
1108,110,6,13.97,2021Q2
1108,110,9,11.98,2021Q3
1108,110,12,11.63,2021Q4
1108,111,3,11.61,2022Q1
1108,111,6,10.88,2022Q2
1108,111,9,10.62,2022Q3
1108,111,12,10.84,2022Q4
1108,112,3,13.88,2023Q1
1108,112,6,16.39,2023Q2
1108,112,9,15.07,2023Q3
1108,112,12,15.68,2023Q4
1108,113,3,15.85,2024Q1
1108,113,6,16.87,2024Q2
1108,113,9,14.8,2024Q3
1108,113,12,14.54,2024Q4
1108,114,3,15.04,2025Q1
1108,114,6,,2025Q2
1108,114,9,,2025Q3
1108,114,12,,2025Q4
1109,105,3,10.01,2016Q1
1109,105,6,10.1,2016Q2
1109,105,9,10.28,2016Q3
1109,105,12,10.0,2016Q4
1109,106,3,10.38,2017Q1
1109,106,6,10.33,2017Q2
1109,106,9,11.86,2017Q3
1109,106,12,12.68,2017Q4
1109,107,3,14.09,2018Q1
1109,107,6,15.39,2018Q2
1109,107,9,15.24,2018Q3
1109,107,12,14.22,2018Q4
1109,108,3,14.01,2019Q1
1109,108,6,19.05,2019Q2
1109,108,9,17.24,2019Q3
1109,108,12,19.76,2019Q4
1109,109,3,15.51,2020Q1
1109,109,6,18.08,2020Q2
1109,109,9,19.81,2020Q3
1109,109,12,20.34,2020Q4
1109,110,3,21.22,2021Q1
1109,110,6,25.91,2021Q2
1109,110,9,22.95,2021Q3
1109,110,12,20.19,2021Q4
