股票代碼,年月,平均價,殖利率,本益比,股價淨值比
1104,201712,,,,
1104,201801,,,,
1104,201802,,,,
1104,201803,,,,
1104,201804,,,,
1104,201805,,,,
1104,201806,,,,
1104,201807,,,,
1104,201808,,,,
1104,201809,,,,
1104,201810,,,,
1104,201811,,,,
1104,201812,,,,
1104,201901,,,,
1104,201902,,,,
1104,201903,,,,
1104,201904,,,,
1104,201905,,,,
1104,201906,,,,
1104,201907,,,,
1104,201908,,,,
1104,201909,,,,
1104,201910,,,,
1104,201911,,,,
1104,201912,,,,
1104,202001,,,,
1104,202002,,,,
1104,202003,,,,
1104,202004,,,,
1104,202005,,,,
1104,202006,,,,
1104,202007,,,,
1104,202008,,,,
1104,202009,,,,
1104,202010,,,,
1104,202011,,,,
1104,202012,,,,
1104,202101,,,,
1104,202102,,,,
1104,202103,,,,
1104,202104,,,,
1104,202105,,,,
1104,202106,,,,
1104,202107,,,,
1104,202108,,,,
1104,202109,,,,
1104,202110,,,,
1104,202111,,,,
1104,202112,,,,
1104,202201,,,,
1104,202202,,,,
1104,202203,,,,
1104,202204,,,,
1104,202205,,,,
1104,202206,,,,
1104,202207,,,,
1104,202208,,,,
1104,202209,,,,
1104,202210,,,,
1104,202211,,,,
1104,202212,,,,
1104,202301,,,,
1104,202302,,,,
1104,202303,,,,
1104,202304,,,,
1104,202305,,,,
1104,202306,,,,
1104,202307,,,,
1104,202308,,,,
1104,202309,,,,
1104,202310,,,,
1104,202311,,,,
1104,202312,,,,
1104,202401,,,,
1104,202402,,,,
1104,202403,,,,
1104,202404,,,,
1104,202405,,,,
1104,202406,,,,
1104,202407,,,,
1104,202408,,,,
1104,202409,,,,
1104,202410,,,,
1104,202411,,,,
1104,202412,,,,
1104,202501,,,,
1104,202502,,,,
1104,202503,,,,
1104,202504,,,,
1104,202505,,12.78,6.16,0.80
1108,201701,,,,
1108,201702,,,,
1108,201703,,,,
1108,201704,,,,
1108,201705,,,,
1108,201706,,,,
1108,201707,,,,
1108,201708,,,,
1108,201709,,,,
1108,201710,,,,
1108,201711,,,,
1108,201712,,,,
1108,201801,,,,
1108,201802,,,,
1108,201803,,,,
1108,201804,,,,
1108,201805,,,,
1108,201806,,,,
1108,201807,,,,
1108,201808,,,,
1108,201809,,,,
1108,201810,,,,
1108,201811,,,,
1108,201812,,,,
1108,201901,,,,
1108,201902,,,,
1108,201903,,,,
1108,201904,,,,
1108,201905,,,,
1108,201906,,,,
1108,201907,,,,
1108,201908,,,,
1108,201909,,,,
1108,201910,,,,
1108,201911,,,,
1108,201912,,,,
1108,202001,,,,
1108,202002,,,,
1108,202003,,,,
1108,202004,,,,
1108,202005,,,,
1108,202006,,,,
1108,202007,,,,
1108,202008,,,,
1108,202009,,,,
1108,202010,,,,
1108,202011,,,,
1108,202012,,,,
1108,202101,,,,
1108,202102,,,,
1108,202103,,,,
1108,202104,,,,
1108,202105,,,,
1108,202106,,,,
1108,202107,,,,
1108,202108,,,,
1108,202109,,,,
1108,202110,,,,
1108,202111,,,,
1108,202112,,,,
1108,202201,,,,
1108,202202,,,,
1108,202203,,,,
1108,202204,,,,
1108,202205,,,,
1108,202206,,,,
1108,202207,,,,
1108,202208,,,,
1108,202209,,,,
1108,202210,,,,
1108,202211,,,,
1108,202212,,,,
1108,202301,,,,
1108,202302,,,,
1108,202303,,,,
1108,202304,,,,
1108,202305,,,,
1108,202306,,,,
1108,202307,,,,
1108,202308,,,,
1108,202309,,,,
1108,202310,,,,
1108,202311,,,,
1108,202312,,,,
1108,202401,,,,
1108,202402,,,,
1108,202403,,,,
1108,202404,,,,
1108,202405,,,,
1108,202406,,,,
1108,202407,,,,
1108,202408,,,,
1108,202409,,,,
1108,202410,,,,
1108,202411,,,,
1108,202412,,,,
1108,202501,,,,
1108,202502,,,,
1108,202503,,,,
1108,202504,,,,
1108,202505,,11.35,5.05,1.08
1109,201701,,,,
1109,201702,,,,
1109,201703,,,,
1109,201704,,,,
1109,201705,,,,
1109,201706,,,,
1109,201707,,,,
